date,site ,air_temp,thermo_depth,sdd,water_depth,notes
6/14/24,SAB,65,NA,2.4,7.2,
6/14/24,SKI,68,NA,0.7,8.1,
6/14/24,JLB,69,5,2.7,56.9,
6/14/24,WAD,70,6,1.2,27,
6/14/24,MCI,68,NA,1.85,8,
6/14/24,SPB,72,4,4.2,29.9,
6/14/24,TSC,76,NA,3.8,7.8,
6/20/24,SAB,65,NA,2.8,4.8,
6/20/24,SKI,65,NA,2.1,8,
6/20/24,JLB,65,7,2.6,54.5,
6/20/24,WAD,65,7,2.7,31,
6/20/24,MCI,65,NA,2.2,8,
6/20/24,SPB,65,5,3.8,29.8,
6/20/24,TSC,65,NA,3.7,7.3,
6/28/24,SAB,54,NA,5.1,6.8,
6/28/24,SKI,54,NA,3.8,7.9,
6/28/24,JLB,56,7,4.1,57.1,
6/28/24,WAD,56,5.5,5.1,39,
6/28/24,MCI,54,NA,4.6,8.3,
6/28/24,SPB,54,3,4.6,29.9,
6/28/24,TSC,60,NA,4.8,7,
7/5/24,SAB,60,NA,6.3,6.3,
7/5/24,SKI,66,NA,5.3,7.7,
7/5/24,JLB,68,5,6.1,56,
7/5/24,WAD,67,7.5,6.5,31.9,
7/5/24,MCI,69,NA,5.3,7.8,
7/5/24,SPB,66,7,6.5,29.7,
7/5/24,TSC,71,NA,5.2,6.9,
7/12/24,SAB,66,NA,7.6,7.6,
7/12/24,SKI,71,NA,6.5,7.6,
7/12/24,JLB,72,7,7.5,54.9,
7/12/24,WAD,73,6,9,31.1,
7/12/24,MCI,75,NA,7.9,7.9,
7/12/24,SPB,73,5.5,8,29.8,
7/12/24,TSC,76,NA,7.1,7.1,
7/19/24,SAB,65,NA,5.6,5.6,
7/19/24,SKI,69,NA,7.5,7.5,
7/19/24,JLB,74,6,7,53.9,
7/19/24,WAD,73,6,11,31.4,
7/19/24,MCI,74,NA,7.4,7.4,
7/19/24,SPB,77,9,7.5,29.2,
7/19/24,TSC,79,NA,6.5,6.5,
7/26/24,SAB,66,NA,7,7.7,
7/26/24,SKI,66,NA,7.2,7.2,
7/26/24,JLB,68,7,9.5,55.8,
7/26/24,WAD,68,8,8,29.7,
7/26/24,MCI,71,NA,7,7.6,
7/26/24,SPB,73,5,8,29,
7/26/24,TSC,73,NA,6.4,6.4,
8/2/24,SAB,62,NA,5.4,5.4,
8/2/24,SKI,73,NA,6.1,7.1,logged as SAB on YSI
8/2/24,JLB,74,6.5,7.5,54.3,
8/2/24,WAD,76,9,8.5,29.5,
8/2/24,MCI,78,NA,7.1,7.1,
8/2/24,SPB,82,9,7,28.7,
8/2/24,TSC,83,NA,6.1,6.1,buoy moved to 25'
8/9/24,SAB,60,NA,6.5,7.9,buoy moved to 8m
8/9/24,SKI,62,NA,6.5,7.9,
8/9/24,JLB,61,7.5,6,57.4,
8/9/24,WAD,65,7.5,7.5,16.6,
8/9/24,MCI,67,NA,7.5,7.5,buoy moved to 7.8m
8/9/24,SPB,66,8,6.5,28.3,
8/9/24,TSC,69,NA,6.5,7.6,buoy moved to 7.6m
8/15/24,SAB,56,NA,6.2,7.8,
8/15/24,SKI,59,NA,3.2,7.3,
8/15/24,JLB,59,10,8.25,55.4,
8/15/24,WAD,60,10,8.3,31.8,
8/15/24,MCI,62,NA,7.4,7.4,
8/15/24,SPB,64,9,9.6,28.6,
8/15/24,TSC,64,NA,6.75,7.6,
8/23/24,SAB,67,NA,6.8,7.5,
8/23/24,SKI,67,NA,4,7.6,
8/23/24,JLB,69,10,8,55.5,
8/23/24,WAD,70,10,8,24.3,
8/23/24,MCI,71,NA,6.75,7.2,
8/23/24,SPB,67,9,7.8,27.7,
8/23/24,TSC,67,NA,7.2,7.2,
