"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008788, SEN S/N: 22008788)","Intensity, lum/ft² (LGR S/N: 22008788, SEN S/N: 22008788)"
1,07/05/24 13:00:00,65.167,4096.0
2,07/05/24 13:10:00,65.338,1920.0
3,07/05/24 13:20:00,65.509,1920.0
4,07/05/24 13:30:00,65.338,1344.0
5,07/05/24 13:40:00,65.680,2304.0
6,07/05/24 13:50:00,65.338,1664.0
7,07/05/24 14:00:00,65.167,1280.0
8,07/05/24 14:10:00,65.167,2816.0
9,07/05/24 14:20:00,65.167,1216.0
10,07/05/24 14:30:00,65.509,2176.0
11,07/05/24 14:40:00,65.167,896.0
12,07/05/24 14:50:00,65.167,1216.0
13,07/05/24 15:00:00,65.509,3968.0
14,07/05/24 15:10:00,65.338,1792.0
15,07/05/24 15:20:00,66.366,2816.0
16,07/05/24 15:30:00,67.050,3200.0
17,07/05/24 15:40:00,66.537,960.0
18,07/05/24 15:50:00,66.879,1536.0
19,07/05/24 16:00:00,67.221,768.0
20,07/05/24 16:10:00,67.221,2560.0
21,07/05/24 16:20:00,67.392,2688.0
22,07/05/24 16:30:00,66.366,896.0
23,07/05/24 16:40:00,66.366,704.0
24,07/05/24 16:50:00,66.022,2048.0
25,07/05/24 17:00:00,65.680,576.0
26,07/05/24 17:10:00,65.851,896.0
27,07/05/24 17:20:00,66.022,480.0
28,07/05/24 17:30:00,66.193,1920.0
29,07/05/24 17:40:00,66.537,3456.0
30,07/05/24 17:50:00,66.537,576.0
31,07/05/24 18:00:00,66.708,368.0
32,07/05/24 18:10:00,66.879,1152.0
33,07/05/24 18:20:00,66.537,960.0
34,07/05/24 18:30:00,66.708,512.0
35,07/05/24 18:40:00,66.708,320.0
36,07/05/24 18:50:00,66.366,400.0
37,07/05/24 19:00:00,66.537,464.0
38,07/05/24 19:10:00,66.537,368.0
39,07/05/24 19:20:00,66.366,272.0
40,07/05/24 19:30:00,66.537,608.0
41,07/05/24 19:40:00,66.022,496.0
42,07/05/24 19:50:00,66.022,400.0
43,07/05/24 20:00:00,65.851,288.0
44,07/05/24 20:10:00,65.680,336.0
45,07/05/24 20:20:00,65.509,123.0
46,07/05/24 20:30:00,65.338,60.0
47,07/05/24 20:40:00,65.338,45.0
48,07/05/24 20:50:00,65.509,31.0
49,07/05/24 21:00:00,65.509,18.0
50,07/05/24 21:10:00,65.509,8.0
51,07/05/24 21:20:00,65.338,2.0
52,07/05/24 21:30:00,65.338,0.0
53,07/05/24 21:40:00,65.509,0.0
54,07/05/24 21:50:00,65.509,0.0
55,07/05/24 22:00:00,65.338,0.0
56,07/05/24 22:10:00,65.167,0.0
57,07/05/24 22:20:00,65.167,0.0
58,07/05/24 22:30:00,65.167,0.0
59,07/05/24 22:40:00,65.167,0.0
60,07/05/24 22:50:00,64.996,0.0
61,07/05/24 23:00:00,64.996,0.0
62,07/05/24 23:10:00,64.996,0.0
63,07/05/24 23:20:00,64.825,0.0
64,07/05/24 23:30:00,64.825,0.0
65,07/05/24 23:40:00,64.825,0.0
66,07/05/24 23:50:00,64.825,0.0
67,07/06/24 00:00:00,64.825,0.0
68,07/06/24 00:10:00,64.825,0.0
69,07/06/24 00:20:00,64.825,0.0
70,07/06/24 00:30:00,64.652,0.0
71,07/06/24 00:40:00,64.652,0.0
72,07/06/24 00:50:00,64.652,0.0
73,07/06/24 01:00:00,64.652,0.0
74,07/06/24 01:10:00,64.652,0.0
75,07/06/24 01:20:00,64.481,0.0
76,07/06/24 01:30:00,64.481,0.0
77,07/06/24 01:40:00,64.481,0.0
78,07/06/24 01:50:00,64.481,0.0
79,07/06/24 02:00:00,64.310,0.0
80,07/06/24 02:10:00,64.310,0.0
81,07/06/24 02:20:00,64.310,0.0
82,07/06/24 02:30:00,64.139,0.0
83,07/06/24 02:40:00,64.139,0.0
84,07/06/24 02:50:00,64.139,0.0
85,07/06/24 03:00:00,63.968,0.0
86,07/06/24 03:10:00,63.968,0.0
87,07/06/24 03:20:00,63.968,0.0
88,07/06/24 03:30:00,63.968,0.0
89,07/06/24 03:40:00,63.797,0.0
90,07/06/24 03:50:00,63.797,0.0
91,07/06/24 04:00:00,63.797,0.0
92,07/06/24 04:10:00,63.797,0.0
93,07/06/24 04:20:00,63.626,0.0
94,07/06/24 04:30:00,63.626,0.0
95,07/06/24 04:40:00,63.626,0.0
96,07/06/24 04:50:00,63.455,0.0
97,07/06/24 05:00:00,63.455,0.0
98,07/06/24 05:10:00,63.455,0.0
99,07/06/24 05:20:00,63.455,0.0
100,07/06/24 05:30:00,63.282,0.0
101,07/06/24 05:40:00,63.282,3.0
102,07/06/24 05:50:00,63.282,11.0
103,07/06/24 06:00:00,63.111,22.0
104,07/06/24 06:10:00,63.111,33.0
105,07/06/24 06:20:00,62.940,45.0
106,07/06/24 06:30:00,62.940,53.0
107,07/06/24 06:40:00,62.940,60.0
108,07/06/24 06:50:00,62.940,64.0
109,07/06/24 07:00:00,62.769,70.0
110,07/06/24 07:10:00,62.769,75.0
111,07/06/24 07:20:00,62.769,78.0
112,07/06/24 07:30:00,62.769,80.0
113,07/06/24 07:40:00,62.769,83.0
114,07/06/24 07:50:00,62.769,82.0
115,07/06/24 08:00:00,62.769,86.0
116,07/06/24 08:10:00,62.769,99.0
117,07/06/24 08:20:00,62.769,176.0
118,07/06/24 08:30:00,62.769,144.0
119,07/06/24 08:40:00,62.598,119.0
120,07/06/24 08:50:00,62.769,124.0
121,07/06/24 09:00:00,62.769,136.0
122,07/06/24 09:10:00,62.940,240.0
123,07/06/24 09:20:00,63.282,216.0
124,07/06/24 09:30:00,63.626,1152.0
125,07/06/24 09:40:00,64.310,1088.0
126,07/06/24 09:50:00,64.825,992.0
127,07/06/24 10:00:00,64.825,2048.0
128,07/06/24 10:10:00,65.167,1216.0
129,07/06/24 10:20:00,65.338,3712.0
130,07/06/24 10:30:00,65.680,3712.0
131,07/06/24 10:40:00,66.193,1536.0
132,07/06/24 10:50:00,66.366,3456.0
133,07/06/24 11:00:00,66.366,2432.0
134,07/06/24 11:10:00,66.537,3456.0
135,07/06/24 11:20:00,66.708,6656.0
136,07/06/24 11:30:00,66.537,5888.0
137,07/06/24 11:40:00,66.708,12288.0
138,07/06/24 11:50:00,66.193,5120.0
