"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008790, SEN S/N: 22008790)","Intensity, lum/ft² (LGR S/N: 22008790, SEN S/N: 22008790)","Coupler Attached (LGR S/N: 22008790)","Host Connected (LGR S/N: 22008790)","Stopped (LGR S/N: 22008790)","End Of File (LGR S/N: 22008790)"
1,07/19/24 13:00:00,70.651,6400.0,,,,
2,07/19/24 13:10:00,70.308,4608.0,,,,
3,07/19/24 13:20:00,70.308,5120.0,,,,
4,07/19/24 13:30:00,70.480,3968.0,,,,
5,07/19/24 13:40:00,69.793,4608.0,,,,
6,07/19/24 13:50:00,69.622,4096.0,,,,
7,07/19/24 14:00:00,70.651,3584.0,,,,
8,07/19/24 14:10:00,68.763,480.0,,,,
9,07/19/24 14:20:00,70.137,4608.0,,,,
10,07/19/24 14:30:00,69.793,2560.0,,,,
11,07/19/24 14:40:00,69.793,2048.0,,,,
12,07/19/24 14:50:00,69.793,1408.0,,,,
13,07/19/24 15:00:00,69.964,1088.0,,,,
14,07/19/24 15:10:00,70.480,1920.0,,,,
15,07/19/24 15:20:00,70.308,960.0,,,,
16,07/19/24 15:30:00,69.964,800.0,,,,
17,07/19/24 15:40:00,69.278,1856.0,,,,
18,07/19/24 15:50:00,69.793,1344.0,,,,
19,07/19/24 16:00:00,69.449,768.0,,,,
20,07/19/24 16:10:00,69.107,704.0,,,,
21,07/19/24 16:20:00,69.622,768.0,,,,
22,07/19/24 16:30:00,69.622,768.0,,,,
23,07/19/24 16:40:00,69.793,512.0,,,,
24,07/19/24 16:50:00,69.793,512.0,,,,
25,07/19/24 17:00:00,69.622,864.0,,,,
26,07/19/24 17:10:00,69.278,512.0,,,,
27,07/19/24 17:20:00,69.449,1216.0,,,,
28,07/19/24 17:30:00,69.793,992.0,,,,
29,07/19/24 17:40:00,70.137,432.0,,,,
30,07/19/24 17:50:00,69.449,320.0,,,,
31,07/19/24 18:00:00,70.137,416.0,,,,
32,07/19/24 18:10:00,69.278,704.0,,,,
33,07/19/24 18:20:00,69.278,2432.0,,,,
34,07/19/24 18:30:00,69.449,448.0,,,,
35,07/19/24 18:40:00,69.107,704.0,,,,
36,07/19/24 18:50:00,68.934,304.0,,,,
37,07/19/24 19:00:00,68.592,320.0,,,,
38,07/19/24 19:10:00,68.248,288.0,,,,
39,07/19/24 19:20:00,67.906,160.0,,,,
40,07/19/24 19:30:00,67.906,168.0,,,,
41,07/19/24 19:40:00,68.077,160.0,,,,
42,07/19/24 19:50:00,67.735,144.0,,,,
43,07/19/24 20:00:00,68.248,97.0,,,,
44,07/19/24 20:10:00,68.248,86.0,,,,
45,07/19/24 20:20:00,68.592,78.0,,,,
46,07/19/24 20:30:00,68.592,61.0,,,,
47,07/19/24 20:40:00,68.763,39.0,,,,
48,07/19/24 20:50:00,68.592,16.0,,,,
49,07/19/24 21:00:00,68.763,8.0,,,,
50,07/19/24 21:10:00,68.763,2.0,,,,
51,07/19/24 21:20:00,68.763,0.0,,,,
52,07/19/24 21:30:00,68.763,0.0,,,,
53,07/19/24 21:40:00,68.763,0.0,,,,
54,07/19/24 21:50:00,68.763,0.0,,,,
55,07/19/24 22:00:00,68.592,0.0,,,,
56,07/19/24 22:10:00,68.592,0.0,,,,
57,07/19/24 22:20:00,68.592,0.0,,,,
58,07/19/24 22:30:00,68.592,0.0,,,,
59,07/19/24 22:40:00,68.592,0.0,,,,
60,07/19/24 22:50:00,68.592,0.0,,,,
61,07/19/24 23:00:00,68.592,0.0,,,,
62,07/19/24 23:10:00,68.592,0.0,,,,
63,07/19/24 23:20:00,68.421,0.0,,,,
64,07/19/24 23:30:00,68.421,0.0,,,,
65,07/19/24 23:40:00,68.421,0.0,,,,
66,07/19/24 23:50:00,68.421,0.0,,,,
67,07/20/24 00:00:00,68.421,0.0,,,,
68,07/20/24 00:10:00,68.421,0.0,,,,
69,07/20/24 00:20:00,68.421,0.0,,,,
70,07/20/24 00:30:00,68.421,0.0,,,,
71,07/20/24 00:40:00,68.421,0.0,,,,
72,07/20/24 00:50:00,68.421,0.0,,,,
73,07/20/24 01:00:00,68.421,0.0,,,,
74,07/20/24 01:10:00,68.421,0.0,,,,
75,07/20/24 01:20:00,68.421,0.0,,,,
76,07/20/24 01:30:00,68.421,0.0,,,,
77,07/20/24 01:40:00,68.421,0.0,,,,
78,07/20/24 01:50:00,68.421,0.0,,,,
79,07/20/24 02:00:00,68.248,0.0,,,,
80,07/20/24 02:10:00,68.248,0.0,,,,
81,07/20/24 02:20:00,68.248,0.0,,,,
82,07/20/24 02:30:00,68.248,0.0,,,,
83,07/20/24 02:40:00,68.248,0.0,,,,
84,07/20/24 02:50:00,68.248,0.0,,,,
85,07/20/24 03:00:00,68.077,0.0,,,,
86,07/20/24 03:10:00,68.248,0.0,,,,
87,07/20/24 03:20:00,68.077,0.0,,,,
88,07/20/24 03:30:00,68.077,0.0,,,,
89,07/20/24 03:40:00,68.077,0.0,,,,
90,07/20/24 03:50:00,68.077,0.0,,,,
91,07/20/24 04:00:00,68.077,0.0,,,,
92,07/20/24 04:10:00,68.077,0.0,,,,
93,07/20/24 04:20:00,67.906,0.0,,,,
94,07/20/24 04:30:00,67.906,0.0,,,,
95,07/20/24 04:40:00,67.906,0.0,,,,
96,07/20/24 04:50:00,67.906,0.0,,,,
97,07/20/24 05:00:00,67.906,0.0,,,,
98,07/20/24 05:10:00,67.906,0.0,,,,
99,07/20/24 05:20:00,67.906,0.0,,,,
100,07/20/24 05:30:00,67.906,0.0,,,,
101,07/20/24 05:40:00,67.906,0.0,,,,
102,07/20/24 05:50:00,67.735,3.0,,,,
103,07/20/24 06:00:00,67.735,12.0,,,,
104,07/20/24 06:10:00,67.735,38.0,,,,
105,07/20/24 06:20:00,67.735,105.0,,,,
106,07/20/24 06:30:00,67.906,152.0,,,,
107,07/20/24 06:40:00,67.906,256.0,,,,
108,07/20/24 06:50:00,67.906,232.0,,,,
109,07/20/24 07:00:00,67.906,216.0,,,,
110,07/20/24 07:10:00,67.906,248.0,,,,
111,07/20/24 07:20:00,67.906,400.0,,,,
112,07/20/24 07:30:00,68.077,400.0,,,,
113,07/20/24 07:40:00,68.077,352.0,,,,
114,07/20/24 07:50:00,68.077,368.0,,,,
115,07/20/24 08:00:00,67.906,224.0,,,,
116,07/20/24 08:10:00,67.906,336.0,,,,
117,07/20/24 08:20:00,68.077,384.0,,,,
118,07/20/24 08:30:00,68.421,512.0,,,,
119,07/20/24 08:40:00,68.592,480.0,,,,
120,07/20/24 08:50:00,68.592,480.0,,,,
121,07/20/24 09:00:00,68.421,608.0,,,,
122,07/20/24 09:10:00,68.421,512.0,,,,
123,07/20/24 09:20:00,68.592,512.0,,,,
124,07/20/24 09:30:00,68.763,496.0,,,,
125,07/20/24 09:40:00,68.763,480.0,,,,
126,07/20/24 09:50:00,68.763,768.0,,,,
127,07/20/24 10:00:00,68.934,800.0,,,,
128,07/20/24 10:10:00,68.934,800.0,,,,
129,07/20/24 10:20:00,69.107,1152.0,,,,
130,07/20/24 10:30:00,69.107,960.0,,,,
