"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008791, SEN S/N: 22008791)","Intensity, lum/ft² (LGR S/N: 22008791, SEN S/N: 22008791)","Host Connected (LGR S/N: 22008791)","Coupler Attached (LGR S/N: 22008791)","Stopped (LGR S/N: 22008791)","End Of File (LGR S/N: 22008791)"
1,09/13/24 12:40:00,67.735,8192.0,,,,
2,09/13/24 12:50:00,63.282,1472.0,,,,
3,09/13/24 13:00:00,62.769,4864.0,,,,
4,09/13/24 13:10:00,62.598,960.0,,,,
5,09/13/24 13:20:00,61.227,512.0,,,,
6,09/13/24 13:30:00,62.769,864.0,,,,
7,09/13/24 13:40:00,61.398,672.0,,,,
8,09/13/24 13:50:00,61.912,800.0,,,,
9,09/13/24 14:00:00,62.254,768.0,,,,
10,09/13/24 14:10:00,62.083,608.0,,,,
11,09/13/24 14:20:00,62.769,5376.0,,,,
12,09/13/24 14:30:00,62.425,1088.0,,,,
13,09/13/24 14:40:00,62.425,768.0,,,,
14,09/13/24 14:50:00,62.083,304.0,,,,
15,09/13/24 15:00:00,61.741,800.0,,,,
16,09/13/24 15:10:00,61.569,304.0,,,,
17,09/13/24 15:20:00,62.425,1728.0,,,,
18,09/13/24 15:30:00,62.254,1728.0,,,,
19,09/13/24 15:40:00,62.425,4608.0,,,,
20,09/13/24 15:50:00,62.425,704.0,,,,
21,09/13/24 16:00:00,62.425,4608.0,,,,
22,09/13/24 16:10:00,62.254,2816.0,,,,
23,09/13/24 16:20:00,62.254,416.0,,,,
24,09/13/24 16:30:00,62.083,1280.0,,,,
25,09/13/24 16:40:00,62.083,288.0,,,,
26,09/13/24 16:50:00,61.912,2944.0,,,,
27,09/13/24 17:00:00,61.912,480.0,,,,
28,09/13/24 17:10:00,61.912,1024.0,,,,
29,09/13/24 17:20:00,61.741,464.0,,,,
30,09/13/24 17:30:00,61.741,304.0,,,,
31,09/13/24 17:40:00,61.569,608.0,,,,
32,09/13/24 17:50:00,61.569,2176.0,,,,
33,09/13/24 18:00:00,61.398,108.0,,,,
34,09/13/24 18:10:00,61.398,216.0,,,,
35,09/13/24 18:20:00,61.227,248.0,,,,
36,09/13/24 18:30:00,61.227,248.0,,,,
