"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008793, SEN S/N: 22008793)","Intensity, lum/ft² (LGR S/N: 22008793, SEN S/N: 22008793)"
1,07/05/24 13:00:00,64.139,3712.0
2,07/05/24 13:10:00,63.968,2944.0
3,07/05/24 13:20:00,63.968,3072.0
4,07/05/24 13:30:00,64.310,4864.0
5,07/05/24 13:40:00,64.139,2432.0
6,07/05/24 13:50:00,64.481,2432.0
7,07/05/24 14:00:00,64.310,3968.0
8,07/05/24 14:10:00,64.310,3200.0
9,07/05/24 14:20:00,64.310,3968.0
10,07/05/24 14:30:00,64.310,1728.0
11,07/05/24 14:40:00,64.652,4096.0
12,07/05/24 14:50:00,65.167,3968.0
13,07/05/24 15:00:00,65.167,2176.0
14,07/05/24 15:10:00,65.167,2432.0
15,07/05/24 15:20:00,65.167,6400.0
16,07/05/24 15:30:00,64.996,1856.0
17,07/05/24 15:40:00,64.652,2048.0
18,07/05/24 15:50:00,64.825,3200.0
19,07/05/24 16:00:00,64.825,3584.0
20,07/05/24 16:10:00,64.652,3584.0
21,07/05/24 16:20:00,64.481,6400.0
22,07/05/24 16:30:00,64.481,1536.0
23,07/05/24 16:40:00,64.310,960.0
24,07/05/24 16:50:00,64.139,1408.0
25,07/05/24 17:00:00,63.968,1152.0
26,07/05/24 17:10:00,63.797,1472.0
27,07/05/24 17:20:00,63.626,1408.0
28,07/05/24 17:30:00,63.626,3072.0
29,07/05/24 17:40:00,63.455,1472.0
30,07/05/24 17:50:00,63.455,512.0
31,07/05/24 18:00:00,63.111,1536.0
32,07/05/24 18:10:00,63.111,800.0
33,07/05/24 18:20:00,63.111,512.0
34,07/05/24 18:30:00,62.940,248.0
35,07/05/24 18:40:00,62.769,400.0
36,07/05/24 18:50:00,62.769,496.0
37,07/05/24 19:00:00,62.598,400.0
38,07/05/24 19:10:00,62.598,240.0
39,07/05/24 19:20:00,62.425,216.0
40,07/05/24 19:30:00,62.254,512.0
41,07/05/24 19:40:00,61.912,144.0
42,07/05/24 19:50:00,61.912,240.0
43,07/05/24 20:00:00,61.741,160.0
44,07/05/24 20:10:00,61.741,123.0
45,07/05/24 20:20:00,61.741,77.0
46,07/05/24 20:30:00,61.741,60.0
47,07/05/24 20:40:00,61.741,48.0
48,07/05/24 20:50:00,61.741,33.0
49,07/05/24 21:00:00,61.569,20.0
50,07/05/24 21:10:00,61.398,9.0
51,07/05/24 21:20:00,61.398,3.0
52,07/05/24 21:30:00,61.398,0.0
53,07/05/24 21:40:00,61.398,0.0
54,07/05/24 21:50:00,61.398,0.0
55,07/05/24 22:00:00,61.398,0.0
56,07/05/24 22:10:00,61.227,0.0
57,07/05/24 22:20:00,61.054,0.0
58,07/05/24 22:30:00,60.883,0.0
59,07/05/24 22:40:00,60.883,0.0
60,07/05/24 22:50:00,60.712,0.0
61,07/05/24 23:00:00,60.712,0.0
62,07/05/24 23:10:00,60.712,0.0
63,07/05/24 23:20:00,60.539,0.0
64,07/05/24 23:30:00,60.539,0.0
65,07/05/24 23:40:00,60.539,0.0
66,07/05/24 23:50:00,60.539,0.0
67,07/06/24 00:00:00,60.539,0.0
68,07/06/24 00:10:00,60.539,0.0
69,07/06/24 00:20:00,60.539,0.0
70,07/06/24 00:30:00,60.539,0.0
71,07/06/24 00:40:00,60.368,0.0
72,07/06/24 00:50:00,60.368,0.0
73,07/06/24 01:00:00,60.368,0.0
74,07/06/24 01:10:00,60.368,0.0
75,07/06/24 01:20:00,60.368,0.0
76,07/06/24 01:30:00,60.368,0.0
77,07/06/24 01:40:00,60.368,0.0
78,07/06/24 01:50:00,60.368,0.0
79,07/06/24 02:00:00,60.368,0.0
80,07/06/24 02:10:00,60.195,0.0
81,07/06/24 02:20:00,60.368,0.0
82,07/06/24 02:30:00,60.195,0.0
83,07/06/24 02:40:00,60.195,0.0
84,07/06/24 02:50:00,60.195,0.0
85,07/06/24 03:00:00,60.195,0.0
86,07/06/24 03:10:00,60.368,0.0
87,07/06/24 03:20:00,60.195,0.0
88,07/06/24 03:30:00,60.195,0.0
89,07/06/24 03:40:00,60.195,0.0
90,07/06/24 03:50:00,60.195,0.0
91,07/06/24 04:00:00,60.195,0.0
92,07/06/24 04:10:00,60.195,0.0
93,07/06/24 04:20:00,60.368,0.0
94,07/06/24 04:30:00,60.368,0.0
95,07/06/24 04:40:00,60.195,0.0
96,07/06/24 04:50:00,60.368,0.0
97,07/06/24 05:00:00,60.368,0.0
98,07/06/24 05:10:00,60.368,0.0
99,07/06/24 05:20:00,60.195,0.0
100,07/06/24 05:30:00,60.368,1.0
101,07/06/24 05:40:00,60.368,3.0
