"","datetime","temp","do","do_sat","lux","par_est"
"1",2024-05-18 14:30:00,5.78,9.402,75.112612,1920,35.52
"2",2024-05-18 14:40:00,5.504,9.505,75.402421,768,14.208
"3",2024-05-18 14:50:00,5.405,9.543,75.512157,608,11.248
"4",2024-05-18 15:00:00,5.355,9.589,75.778906,480,8.88
"5",2024-05-18 15:10:00,5.315,9.599,75.780084,512,9.472
"6",2024-05-18 15:20:00,5.325,9.59,75.728474,576,10.656
"7",2024-05-18 15:30:00,5.315,9.596,75.7564,576,10.656
"8",2024-05-18 15:40:00,5.395,9.601,75.951626,1536,28.416
"9",2024-05-18 15:50:00,5.405,9.62,76.121445,3072,56.832
"10",2024-05-18 16:00:00,5.395,9.623,76.125663,576,10.656
"11",2024-05-18 16:10:00,5.385,9.603,75.947969,1088,20.128
"12",2024-05-18 16:20:00,5.405,9.606,76.010665,1856,34.336
"13",2024-05-18 16:30:00,5.415,9.604,76.014322,896,16.576
"14",2024-05-18 16:40:00,5.434,9.597,75.995912,1280,23.68
"15",2024-05-18 16:50:00,5.405,9.627,76.176835,432,7.992
"16",2024-05-18 17:00:00,5.375,9.62,76.062907,480,8.88
"17",2024-05-18 17:10:00,5.365,9.648,76.26473,496,9.176
"18",2024-05-18 17:20:00,5.355,9.663,76.363705,864,15.984
"19",2024-05-18 17:30:00,5.355,9.652,76.276775,1536,28.416
"20",2024-05-18 17:40:00,5.365,9.674,76.470252,480,8.88
"21",2024-05-18 17:50:00,5.395,9.723,76.916744,416,7.696
"22",2024-05-18 18:00:00,5.345,9.681,76.486323,352,6.512
"23",2024-05-18 18:10:00,5.375,9.719,76.845675,704,13.024
"24",2024-05-18 18:20:00,5.325,9.702,76.612894,368,6.808
"25",2024-05-18 18:30:00,5.286,9.692,76.457306,320,5.92
"26",2024-05-18 18:40:00,5.256,9.685,76.343202,240,4.44
"27",2024-05-18 18:50:00,5.226,9.71,76.481246,224,4.144
"28",2024-05-18 19:00:00,5.136,9.743,76.56358,136,2.516
"29",2024-05-18 19:10:00,5.136,9.79,76.932921,176,3.256
"30",2024-05-18 19:20:00,5.146,9.784,76.905581,136,2.516
"31",2024-05-18 19:30:00,5.037,9.818,76.956234,113,2.0905
"32",2024-05-18 19:40:00,5.037,9.803,76.83866,81,1.4985
"33",2024-05-18 19:50:00,5.037,9.801,76.822983,46,0.851
"34",2024-05-18 20:00:00,5.027,9.805,76.8345,34,0.629
"35",2024-05-18 20:10:00,5.027,9.821,76.95988,26,0.481
"36",2024-05-18 20:20:00,5.027,9.816,76.920699,16,0.296
"37",2024-05-18 20:30:00,5.067,9.803,76.898166,10,0.185
"38",2024-05-18 20:40:00,5.057,9.815,76.972437,3,0.0555
"39",2024-05-18 20:50:00,5.087,9.817,77.047722,0,0
"40",2024-05-18 21:00:00,5.037,9.843,77.152191,0,0
"41",2024-05-18 21:10:00,4.997,9.838,77.033395,0,0
"42",2024-05-18 21:20:00,4.977,9.805,76.735339,0,0
"43",2024-05-18 21:30:00,4.937,9.789,76.530947,0,0
"44",2024-05-18 21:40:00,4.947,9.785,76.519458,0,0
"45",2024-05-18 21:50:00,4.957,9.778,76.484488,0,0
"46",2024-05-18 22:00:00,4.977,9.759,76.375336,0,0
"47",2024-05-18 22:10:00,4.937,9.754,76.257315,0,0
"48",2024-05-18 22:20:00,4.947,9.751,76.253575,0,0
"49",2024-05-18 22:30:00,4.967,9.744,76.23824,0,0
"50",2024-05-18 22:40:00,4.777,9.845,76.650486,0,0
"51",2024-05-18 22:50:00,4.716,9.876,76.770219,0,0
"52",2024-05-18 23:00:00,4.716,9.874,76.754672,0,0
"53",2024-05-18 23:10:00,4.747,9.838,76.536394,0,0
"54",2024-05-18 23:20:00,4.686,9.874,76.694889,0,0
"55",2024-05-18 23:30:00,4.747,9.85,76.62975,0,0
"56",2024-05-18 23:40:00,4.867,9.802,76.4939,0,0
"57",2024-05-18 23:50:00,4.937,9.753,76.249497,0,0
"58",NA,4.947,9.748,76.230115,0,0
"59",2024-05-19 00:10:00,4.937,9.754,76.257315,0,0
"60",2024-05-19 00:20:00,4.977,9.735,76.187509,0,0
"61",2024-05-19 00:30:00,4.957,9.748,76.249825,0,0
"62",2024-05-19 00:40:00,4.967,9.728,76.113054,0,0
"63",2024-05-19 00:50:00,4.907,9.752,76.182539,0,0
"64",2024-05-19 01:00:00,4.897,9.737,76.045678,0,0
"65",2024-05-19 01:10:00,4.827,9.766,76.134036,0,0
"66",2024-05-19 01:20:00,4.837,9.788,76.325317,0,0
"67",2024-05-19 01:30:00,4.736,9.819,76.366775,0,0
"68",2024-05-19 01:40:00,4.696,9.882,76.776971,0,0
"69",2024-05-19 01:50:00,4.736,9.88,76.8412,0,0
"70",2024-05-19 02:00:00,4.736,9.853,76.631209,0,0
"71",2024-05-19 02:10:00,4.747,9.834,76.505275,0,0
"72",2024-05-19 02:20:00,4.696,9.837,76.427349,0,0
"73",2024-05-19 02:30:00,4.616,9.856,76.415889,0,0
"74",2024-05-19 02:40:00,4.666,9.831,76.321219,0,0
"75",2024-05-19 02:50:00,4.666,9.828,76.297929,0,0
"76",2024-05-19 03:00:00,4.656,9.832,76.309145,0,0
"77",2024-05-19 03:10:00,4.485,9.905,76.534218,0,0
"78",2024-05-19 03:20:00,4.455,9.901,76.443467,0,0
"79",2024-05-19 03:30:00,4.434,9.903,76.417018,0,0
