"","datetime","temp","do","do_sat","lux","par_est"
"1",2024-05-18 14:40:00,21.275,7.113,80.220001,2304,42.624
"2",2024-05-18 14:50:00,22.386,6.938,79.943052,2688,49.728
"3",2024-05-18 15:00:00,23.365,6.836,80.247013,4352,80.512
"4",2024-05-18 15:10:00,20.957,7.257,81.337483,800,14.8
"5",2024-05-18 15:20:00,24.278,6.874,82.085608,1856,34.336
"6",2024-05-18 15:40:00,23.909,6.799,80.632717,2176,40.256
"7",2024-05-21 01:00:00,8.967,9.355,80.865402,0,0
"8",2024-05-21 01:10:00,8.967,9.36,80.908623,0,0
"9",2024-05-21 01:20:00,8.995,9.347,80.850586,0,0
"10",2024-05-21 01:30:00,9.032,9.337,80.835825,0,0
"11",2024-05-21 01:40:00,9.032,9.342,80.879113,0,0
"12",2024-05-21 01:50:00,9.004,9.354,80.928615,0,0
"13",2024-05-21 02:00:00,8.995,9.356,80.928435,0,0
"14",2024-05-21 02:10:00,9.023,9.344,80.878964,0,0
"15",2024-05-21 02:20:00,9.023,9.33,80.757784,0,0
"16",2024-05-21 02:30:00,9.013,9.326,80.703795,0,0
"17",2024-05-21 02:40:00,8.985,9.296,80.39014,0,0
"18",2024-05-21 02:50:00,9.004,9.32,80.634455,0,0
"19",2024-05-21 03:00:00,9.004,9.317,80.6085,0,0
"20",2024-05-21 03:10:00,8.985,9.289,80.329605,0,0
"21",2024-05-21 03:20:00,8.92,9.265,79.997048,0,0
"22",2024-05-21 03:30:00,8.902,9.281,80.100527,0,0
"23",2024-05-21 05:10:00,8.65,9.332,80.053039,0,0
"24",2024-05-21 05:20:00,8.603,9.297,79.662269,0,0
"25",2024-05-21 05:30:00,8.566,9.313,79.727995,0,0
"26",2024-05-21 07:40:00,8.388,9.357,79.759922,128,2.368
"27",2024-05-21 17:40:00,9.43,9.363,81.835726,1856,34.336
"28",2024-05-21 17:50:00,9.494,9.35,81.846687,1600,29.6
"29",2024-05-21 18:00:00,9.504,9.347,81.83989,448,8.288
