"","datetime","temp","do","do_sat","lux","par_est"
"1",2024-05-18 15:10:00,21.433,6.783,76.73374,1280,23.68
"2",2024-05-18 15:50:00,9.762,8.824,77.735081,608,11.248
"3",2024-05-18 16:00:00,9.643,8.873,77.946613,368,6.808
"4",2024-05-18 16:10:00,9.431,8.857,77.414962,576,10.656
"5",2024-05-18 16:20:00,9.301,8.849,77.105667,576,10.656
"6",2024-05-18 16:30:00,9.32,8.872,77.341142,672,12.432
"7",2024-05-18 16:40:00,9.689,8.899,78.26034,480,8.88
"8",2024-05-18 16:50:00,9.532,8.82,77.277049,336,6.216
"9",2024-05-18 17:00:00,9.403,8.867,77.450691,288,5.328
"10",2024-05-18 17:10:00,9.218,8.87,77.135552,240,4.44
"11",2024-05-18 17:20:00,9.19,8.867,77.057851,400,7.4
"12",2024-05-18 17:30:00,9.181,8.825,76.676344,160,2.96
"13",2024-05-18 17:40:00,9.236,8.845,76.951249,184,3.404
"14",2024-05-18 17:50:00,9.153,8.826,76.633669,288,5.328
"15",2024-05-18 18:00:00,9.069,8.842,76.618273,200,3.7
"16",2024-05-18 18:10:00,8.883,8.892,76.708169,184,3.404
"17",2024-05-18 18:20:00,9.283,8.926,77.743188,304,5.624
"18",2024-05-18 18:30:00,9.366,8.939,78.010761,272,5.032
"19",2024-05-18 18:40:00,9.523,8.904,77.99633,232,4.292
"20",2024-05-18 18:50:00,9.523,8.888,77.856175,81,1.4985
"21",2024-05-18 19:00:00,9.449,8.902,77.841643,47,0.8695
"22",2024-05-18 19:10:00,9.412,8.886,77.633295,64,1.184
"23",2024-05-18 19:20:00,9.357,8.89,77.566489,56,1.036
"24",2024-05-18 19:30:00,9.292,8.898,77.515971,34,0.629
"25",2024-05-18 19:40:00,9.301,8.894,77.497774,35,0.6475
"26",2024-05-18 19:50:00,9.274,8.898,77.48266,32,0.592
"27",2024-05-18 20:00:00,9.246,8.883,77.300318,14,0.259
"28",2024-05-18 20:10:00,9.209,8.875,77.162428,11,0.2035
"29",2024-05-18 20:20:00,9.134,8.874,77.015401,6,0.111
"30",2024-05-18 20:30:00,9.088,8.868,76.878571,3,0.0555
"31",2024-05-18 20:40:00,9.032,8.877,76.853338,1,0.0185
"32",2024-05-18 20:50:00,9.042,8.88,76.897753,0,0
"33",2024-05-18 21:00:00,9.014,8.876,76.811502,0,0
