"","datetime","temp","do","do_sat","lux","par_est"
"1",2024-05-18 14:40:00,20.072,6.906,76.065062,8704,161.024
"2",2024-05-18 15:00:00,5.428,9.449,74.81244,2816,52.096
"3",2024-05-18 15:10:00,5.259,9.518,75.032591,2816,52.096
"4",2024-05-18 17:00:00,5.12,9.536,74.90602,608,11.248
"5",2024-05-18 17:10:00,5.05,9.525,74.684671,704,13.024
"6",2024-05-18 17:20:00,5.04,9.538,74.767305,672,12.432
"7",2024-05-18 17:40:00,5.03,9.5,74.450207,480,8.88
"8",2024-05-18 17:50:00,4.98,9.498,74.338475,320,5.92
"9",2024-05-18 18:00:00,4.96,9.5,74.315707,304,5.624
"10",2024-05-18 18:10:00,4.97,9.498,74.319268,480,8.88
"11",2024-05-24 10:40:00,5.428,9.385,74.30572,512,9.472
"12",2024-05-24 10:50:00,5.438,9.406,74.491072,576,10.656
"13",2024-05-24 11:00:00,5.497,9.384,74.429204,496,9.176
"14",2024-05-24 11:10:00,5.507,9.386,74.46412,1536,28.416
"15",2024-05-24 11:20:00,5.477,9.386,74.406965,512,9.472
"16",2024-05-24 11:30:00,5.507,9.391,74.503787,2560,47.36
"17",2024-05-24 11:40:00,5.517,9.403,74.618079,1216,22.496
"18",2024-05-24 11:50:00,5.527,9.402,74.629231,864,15.984
"19",2024-05-24 12:00:00,5.547,9.419,74.80242,14336,265.216
"20",2024-05-24 12:10:00,5.626,9.4,74.802362,4864,89.984
"21",2024-05-24 12:20:00,5.626,9.389,74.714828,4608,85.248
"22",2024-05-24 12:30:00,5.695,9.38,74.774738,4864,89.984
"23",2024-05-24 12:40:00,5.695,9.397,74.910257,2432,44.992
"24",2024-05-24 12:50:00,5.98,9.41,75.559574,2432,44.992
"25",2024-05-24 13:00:00,6.078,9.38,75.505972,992,18.352
"26",2024-05-24 13:10:00,5.872,9.379,75.104421,960,17.76
"27",2024-05-24 13:20:00,5.803,9.406,75.188573,864,15.984
"28",2024-05-24 13:30:00,5.764,9.406,75.11396,864,15.984
"29",2024-05-24 13:40:00,5.823,9.396,75.146866,2688,49.728
"30",2024-05-24 13:50:00,5.931,9.396,75.353401,4352,80.512
"31",2024-05-24 14:00:00,5.94,9.407,75.458857,1920,35.52
"32",2024-05-24 14:10:00,5.931,9.389,75.297263,992,18.352
"33",2024-05-24 14:20:00,5.931,9.409,75.457658,3968,73.408
"34",2024-05-24 14:30:00,5.94,9.399,75.394684,7680,142.08
"35",2024-05-24 14:40:00,5.96,9.402,75.45704,464,8.584
"36",2024-05-24 14:50:00,5.98,9.403,75.503366,960,17.76
"37",2024-05-24 15:00:00,6.019,9.402,75.57003,432,7.992
"38",2024-05-24 15:10:00,6.038,9.395,75.550135,3584,66.304
"39",2024-05-24 15:20:00,6.019,9.372,75.3289,576,10.656
"40",2024-05-24 15:30:00,6.087,9.384,75.555385,1472,27.232
"41",2024-05-24 15:40:00,6.126,9.383,75.62193,512,9.472
"42",2024-05-24 15:50:00,6.156,9.386,75.703523,1152,21.312
"43",2024-05-24 16:00:00,6.205,9.397,75.886156,1152,21.312
"44",2024-05-24 16:10:00,6.185,9.403,75.89625,1728,31.968
"45",2024-05-24 16:20:00,6.146,9.381,75.644066,1408,26.048
"46",2024-05-24 16:30:00,6.195,9.381,75.737812,1472,27.232
"47",2024-05-24 16:40:00,6.156,9.386,75.703523,704,13.024
"48",2024-05-24 16:50:00,6.136,9.389,75.68943,1216,22.496
"49",2024-05-24 17:00:00,6.175,9.383,75.715683,672,12.432
"50",2024-05-24 17:10:00,6.166,9.388,75.738799,672,12.432
"51",2024-05-24 17:20:00,6.156,9.399,75.808375,432,7.992
"52",2024-05-24 17:30:00,6.146,9.386,75.684384,800,14.8
"53",2024-05-24 17:40:00,6.175,9.385,75.731822,448,8.288
"54",2024-05-24 17:50:00,6.126,9.398,75.742822,992,18.352
"55",2024-05-24 18:00:00,6.126,9.39,75.678346,768,14.208
"56",2024-05-24 18:10:00,6.146,9.384,75.668256,864,15.984
"57",2024-05-24 18:20:00,6.175,9.39,75.772169,704,13.024
