"","datetime","temp","do","do_sat","lux","par_est"
"1",2024-05-18 14:40:00,18.051,7.41,78.355717,3200,59.2
"2",2024-05-18 14:50:00,19.395,7.22,78.456494,2944,54.464
"3",2024-05-18 15:20:00,6.608,9.338,76.178405,1600,29.6
"4",2024-05-20 12:30:00,6.219,9.379,75.767582,1344,24.864
"5",2024-05-20 13:00:00,6.306,9.35,75.699309,992,18.352
"6",2024-05-20 13:20:00,6.394,9.373,76.053943,3584,66.304
"7",2024-05-20 13:30:00,6.375,9.377,76.050011,3200,59.2
"8",2024-05-20 13:40:00,6.423,9.359,75.995786,2176,40.256
"9",2024-05-20 14:00:00,6.443,9.374,76.155891,1216,22.496
"10",2024-05-20 14:20:00,6.394,9.377,76.086399,1536,28.416
"11",2024-05-20 14:30:00,6.375,9.379,76.066232,3072,56.832
"12",2024-05-21 14:20:00,6.228,9.373,75.736322,1856,34.336
"13",2024-05-21 14:40:00,6.228,9.373,75.736322,3072,56.832
"14",2024-05-22 20:30:00,6.199,9.375,75.69702,2,0.037
"15",2024-05-22 20:50:00,6.219,9.375,75.735269,0,0
"16",2024-05-22 21:00:00,6.228,9.377,75.768643,0,0
"17",2024-05-22 21:10:00,6.219,9.369,75.686798,0,0
"18",2024-05-22 22:00:00,6.199,9.374,75.688945,0,0
"19",2024-05-24 11:20:00,6.511,9.307,75.74091,464,8.584
"20",2024-05-24 11:30:00,6.491,9.308,75.710997,448,8.288
"21",2024-05-24 11:40:00,6.53,9.306,75.768918,464,8.584
"22",2024-05-24 11:50:00,6.511,9.32,75.846705,896,16.576
"23",2024-05-24 12:00:00,6.462,9.317,75.728985,864,15.984
"24",2024-05-24 12:10:00,6.433,9.322,75.714388,992,18.352
"25",2024-05-24 12:20:00,6.443,9.344,75.912166,512,9.472
"26",2024-05-24 12:30:00,6.472,9.349,76.008187,1344,24.864
"27",2024-05-24 12:40:00,6.511,9.327,75.903672,1280,23.68
"28",2024-05-24 12:50:00,6.569,9.334,76.071323,1088,20.128
"29",2024-05-24 13:00:00,6.608,9.34,76.194721,1088,20.128
"30",2024-05-24 13:10:00,6.588,9.336,76.123899,576,10.656
"31",2024-05-24 13:20:00,6.598,9.337,76.151149,896,16.576
"32",2024-05-24 13:30:00,6.559,9.35,76.182602,1088,20.128
"33",2024-05-24 13:40:00,6.578,9.351,76.227082,1024,18.944
"34",2024-05-24 13:50:00,6.588,9.35,76.238052,1088,20.128
"35",2024-05-24 14:00:00,6.608,9.35,76.2763,1088,20.128
"36",2024-05-24 14:10:00,6.704,9.324,76.247343,1152,21.312
"37",2024-05-24 14:20:00,6.974,9.355,77.018292,1792,33.152
"38",2024-05-24 14:30:00,6.926,9.321,76.646652,2304,42.624
"39",2024-05-24 14:40:00,6.965,9.363,77.066877,992,18.352
"40",2024-05-24 14:50:00,6.974,9.33,76.812471,1216,22.496
"41",2024-05-24 15:00:00,6.965,9.327,76.770561,1216,22.496
"42",2024-05-24 15:10:00,6.946,9.341,76.849409,1600,29.6
