"","datetime","temp","do","do_sat"
"2",2024-05-18 13:10:00,22.035,6.979,79.875458
"5",2024-05-18 13:40:00,22.027,6.873,78.650163
"11",2024-05-18 14:40:00,21.275,7.113,80.220001
"12",2024-05-18 14:50:00,22.386,6.938,79.943052
"13",2024-05-18 15:00:00,23.365,6.836,80.247013
"14",2024-05-18 15:10:00,20.957,7.257,81.337483
"15",2024-05-18 15:20:00,24.278,6.874,82.085608
"17",2024-05-18 15:40:00,23.909,6.799,80.632717
"361",2024-05-21 01:00:00,8.967,9.355,80.865402
"362",2024-05-21 01:10:00,8.967,9.36,80.908623
"363",2024-05-21 01:20:00,8.995,9.347,80.850586
"364",2024-05-21 01:30:00,9.032,9.337,80.835825
"365",2024-05-21 01:40:00,9.032,9.342,80.879113
"366",2024-05-21 01:50:00,9.004,9.354,80.928615
"367",2024-05-21 02:00:00,8.995,9.356,80.928435
"368",2024-05-21 02:10:00,9.023,9.344,80.878964
"369",2024-05-21 02:20:00,9.023,9.33,80.757784
"370",2024-05-21 02:30:00,9.013,9.326,80.703795
"371",2024-05-21 02:40:00,8.985,9.296,80.39014
"372",2024-05-21 02:50:00,9.004,9.32,80.634455
"373",2024-05-21 03:00:00,9.004,9.317,80.6085
"374",2024-05-21 03:10:00,8.985,9.289,80.329605
"375",2024-05-21 03:20:00,8.92,9.265,79.997048
"376",2024-05-21 03:30:00,8.902,9.281,80.100527
"386",2024-05-21 05:10:00,8.65,9.332,80.053039
"387",2024-05-21 05:20:00,8.603,9.297,79.662269
"388",2024-05-21 05:30:00,8.566,9.313,79.727995
"401",2024-05-21 07:40:00,8.388,9.357,79.759922
"461",2024-05-21 17:40:00,9.43,9.363,81.835726
"462",2024-05-21 17:50:00,9.494,9.35,81.846687
"463",2024-05-21 18:00:00,9.504,9.347,81.83989
"464",2024-05-21 18:10:00,9.513,9.347,81.857409
"465",2024-05-21 18:20:00,9.559,9.352,81.9908
"466",2024-05-21 18:30:00,9.642,9.33,81.959275
"467",2024-05-21 18:40:00,9.623,9.347,82.071601
"468",2024-05-21 18:50:00,9.614,9.355,82.1243
"469",2024-05-21 19:00:00,9.587,9.352,82.045352
"470",2024-05-21 19:10:00,9.522,9.351,81.909967
"471",2024-05-21 19:20:00,9.522,9.33,81.726017
"472",2024-05-21 19:30:00,9.43,9.358,81.792025
"884",2024-05-24 16:10:00,8.958,9.362,80.90842
"885",2024-05-24 16:20:00,8.313,9.364,79.674332
"887",2024-05-24 16:40:00,8.425,9.321,79.524411
"888",2024-05-24 16:50:00,8.115,9.313,78.859318
"889",2024-05-24 17:00:00,8.096,9.348,79.119005
"892",2024-05-24 17:30:00,7.765,9.357,78.556238
"896",2024-05-24 18:10:00,7.888,9.34,78.650361
"902",2024-05-24 19:10:00,8.463,9.355,79.888059
"903",2024-05-24 19:20:00,8.463,9.331,79.683108
"904",2024-05-24 19:30:00,8.453,9.346,79.791859
"905",2024-05-24 19:40:00,8.5,9.326,79.711837
"906",2024-05-24 19:50:00,8.472,9.325,79.649241
"907",2024-05-24 20:00:00,8.388,9.335,79.572392
"908",2024-05-24 20:10:00,8.388,9.35,79.700253
"909",2024-05-24 20:20:00,8.397,9.316,79.42778
"910",2024-05-24 20:30:00,8.313,9.3,79.129783
"911",2024-05-24 20:40:00,8.228,9.343,79.331474
"912",2024-05-24 20:50:00,8.181,9.342,79.232249
"913",2024-05-24 21:00:00,8.162,9.354,79.297305
"914",2024-05-24 21:10:00,8.143,9.357,79.286011
"915",2024-05-24 21:20:00,8.124,9.359,79.266227
"916",2024-05-24 21:30:00,8.087,9.36,79.203174
"926",2024-05-24 23:10:00,7.879,9.357,78.776147
"928",2024-05-24 23:30:00,7.841,9.36,78.72806
"930",2024-05-24 23:50:00,7.727,9.356,78.474582
"931",2024-05-25,7.66,9.363,78.404072
"932",2024-05-25 00:10:00,7.641,9.31,77.923831
"933",2024-05-25 00:20:00,7.527,9.309,77.697008
"936",2024-05-25 00:50:00,7.556,9.325,77.886203
"937",2024-05-25 01:00:00,7.565,9.311,77.786517
"938",2024-05-25 01:10:00,7.594,9.312,77.850459
"939",2024-05-25 01:20:00,7.575,9.316,77.847464
"940",2024-05-25 01:30:00,7.575,9.327,77.939383
"941",2024-05-25 01:40:00,7.556,9.351,78.103366
"942",2024-05-25 01:50:00,7.565,9.322,77.878414
"943",2024-05-25 02:00:00,7.575,9.312,77.814038
"944",2024-05-25 02:10:00,7.575,9.313,77.822395
"945",2024-05-25 02:20:00,7.575,9.323,77.905958
"946",2024-05-25 02:30:00,7.613,9.316,77.920341
"947",2024-05-25 02:40:00,7.622,9.304,77.837212
"948",2024-05-25 02:50:00,7.594,9.324,77.950782
"949",2024-05-25 03:00:00,7.622,9.322,77.9878
"950",2024-05-25 03:10:00,7.594,9.329,77.992583
"951",2024-05-25 03:20:00,7.594,9.334,78.034384
"952",2024-05-25 03:30:00,7.546,9.324,77.858661
"953",2024-05-25 03:40:00,7.527,9.3,77.62189
"954",2024-05-25 03:50:00,7.499,9.311,77.660059
"955",2024-05-25 04:00:00,7.479,9.292,77.463354
"956",2024-05-25 04:10:00,7.489,9.272,77.315697
"957",2024-05-25 04:20:00,7.47,9.265,77.221113
"958",2024-05-25 04:30:00,7.451,9.269,77.218228
"969",2024-05-25 06:20:00,7.106,9.343,77.17248
"990",2024-05-25 09:50:00,7.327,9.362,77.754321
"991",2024-05-25 10:00:00,7.508,9.356,78.052714
"992",2024-05-25 10:10:00,7.641,9.355,78.300477
"993",2024-05-25 10:20:00,7.708,9.356,78.437959
"994",2024-05-25 10:30:00,7.746,9.36,78.544776
"995",2024-05-25 10:40:00,7.812,9.341,78.512401
"996",2024-05-25 10:50:00,7.831,9.325,78.414445
"997",2024-05-25 11:00:00,7.831,9.336,78.506945
"998",2024-05-25 11:10:00,7.831,9.342,78.557399
"999",2024-05-25 11:20:00,7.841,9.339,78.551427
"1000",2024-05-25 11:30:00,7.822,9.333,78.4644
"1001",2024-05-25 11:40:00,7.945,9.337,78.734883
"1002",2024-05-25 11:50:00,8.011,9.338,78.870497
"1003",2024-05-25 12:00:00,8.039,9.324,78.806141
"1004",2024-05-25 12:10:00,8.077,9.328,78.913132
"1005",2024-05-25 12:20:00,8.247,9.31,79.087832
"1006",2024-05-25 12:30:00,8.228,9.316,79.102217
"1007",2024-05-25 12:40:00,8.266,9.321,79.217886
"1008",2024-05-25 12:50:00,8.2,9.311,79.005884
"1009",2024-05-25 13:00:00,8.2,9.305,78.954973
"1010",2024-05-25 13:10:00,8.134,9.308,78.853508
"1011",2024-05-25 13:20:00,8.02,9.317,78.710435
"1012",2024-05-25 13:30:00,8.011,9.329,78.794481
"1013",2024-05-25 13:40:00,8.039,9.325,78.814593
"1014",2024-05-25 13:50:00,8.068,9.337,78.971919
"1015",2024-05-25 14:00:00,8.068,9.313,78.768928
"1016",2024-05-25 14:10:00,8.134,9.33,79.039883
"1017",2024-05-25 14:20:00,8.171,9.313,78.96705
"1018",2024-05-25 14:30:00,8.134,9.309,78.861979
"1019",2024-05-25 14:40:00,8.087,9.34,79.033936
"1020",2024-05-25 14:50:00,8.124,9.344,79.139184
"1021",2024-05-25 15:00:00,8.294,9.352,79.535487
