"","datetime","temp","do","do_sat"
"14",2024-05-18 15:10:00,21.433,6.783,76.73374
"18",2024-05-18 15:50:00,9.762,8.824,77.735081
"19",2024-05-18 16:00:00,9.643,8.873,77.946613
"20",2024-05-18 16:10:00,9.431,8.857,77.414962
"21",2024-05-18 16:20:00,9.301,8.849,77.105667
"22",2024-05-18 16:30:00,9.32,8.872,77.341142
"23",2024-05-18 16:40:00,9.689,8.899,78.26034
"24",2024-05-18 16:50:00,9.532,8.82,77.277049
"25",2024-05-18 17:00:00,9.403,8.867,77.450691
"26",2024-05-18 17:10:00,9.218,8.87,77.135552
"27",2024-05-18 17:20:00,9.19,8.867,77.057851
"28",2024-05-18 17:30:00,9.181,8.825,76.676344
"29",2024-05-18 17:40:00,9.236,8.845,76.951249
"30",2024-05-18 17:50:00,9.153,8.826,76.633669
"31",2024-05-18 18:00:00,9.069,8.842,76.618273
"32",2024-05-18 18:10:00,8.883,8.892,76.708169
"33",2024-05-18 18:20:00,9.283,8.926,77.743188
"34",2024-05-18 18:30:00,9.366,8.939,78.010761
"35",2024-05-18 18:40:00,9.523,8.904,77.99633
"36",2024-05-18 18:50:00,9.523,8.888,77.856175
"37",2024-05-18 19:00:00,9.449,8.902,77.841643
"38",2024-05-18 19:10:00,9.412,8.886,77.633295
"39",2024-05-18 19:20:00,9.357,8.89,77.566489
"40",2024-05-18 19:30:00,9.292,8.898,77.515971
"41",2024-05-18 19:40:00,9.301,8.894,77.497774
"42",2024-05-18 19:50:00,9.274,8.898,77.48266
"43",2024-05-18 20:00:00,9.246,8.883,77.300318
"44",2024-05-18 20:10:00,9.209,8.875,77.162428
"45",2024-05-18 20:20:00,9.134,8.874,77.015401
"46",2024-05-18 20:30:00,9.088,8.868,76.878571
"47",2024-05-18 20:40:00,9.032,8.877,76.853338
"48",2024-05-18 20:50:00,9.042,8.88,76.897753
"49",2024-05-18 21:00:00,9.014,8.876,76.811502
"50",2024-05-18 21:10:00,8.986,8.876,76.759898
"51",2024-05-18 21:20:00,8.949,8.876,76.69172
"52",2024-05-18 21:30:00,8.921,8.867,76.562425
"53",2024-05-18 21:40:00,8.865,8.881,76.580108
"54",2024-05-18 21:50:00,8.883,8.86,76.432116
"55",2024-05-18 22:00:00,8.855,8.858,76.363404
"56",2024-05-18 22:10:00,8.846,8.861,76.372722
"57",2024-05-18 22:20:00,8.827,8.864,76.363643
"58",2024-05-18 22:30:00,8.809,8.859,76.287493
"59",2024-05-18 22:40:00,8.799,8.865,76.320775
"60",2024-05-18 22:50:00,8.771,8.867,76.286507
"61",2024-05-18 23:00:00,8.771,8.871,76.320921
"62",2024-05-18 23:10:00,8.753,8.862,76.210415
"63",2024-05-18 23:20:00,8.771,8.862,76.24349
"64",2024-05-18 23:30:00,8.734,8.873,76.270059
"65",2024-05-18 23:40:00,8.762,8.855,76.166741
"66",2024-05-18 23:50:00,8.762,8.853,76.149538
"67",2024-05-19,8.743,8.861,76.183444
"68",2024-05-19 00:10:00,8.753,8.855,76.150217
"69",2024-05-19 00:20:00,8.743,8.856,76.140456
"70",2024-05-19 00:30:00,8.762,8.86,76.209749
"71",2024-05-19 00:40:00,8.771,8.85,76.140249
"72",2024-05-19 00:50:00,8.771,8.851,76.148852
"73",2024-05-19 01:00:00,8.771,8.849,76.131645
"74",2024-05-19 01:10:00,8.809,8.839,76.115267
"75",2024-05-19 01:20:00,8.781,8.852,76.175812
"76",2024-05-19 01:30:00,8.809,8.833,76.063599
"77",2024-05-19 01:40:00,8.743,8.859,76.166249
"78",2024-05-19 01:50:00,8.762,8.845,76.080726
"79",2024-05-19 02:00:00,8.753,8.858,76.176016
"80",2024-05-19 02:10:00,8.753,8.858,76.176016
"81",2024-05-19 02:20:00,9.107,8.931,77.459986
"82",2024-05-19 02:30:00,9.311,8.879,77.385541
"83",2024-05-19 02:40:00,9.458,8.859,77.482237
"84",2024-05-19 02:50:00,9.449,8.858,77.456894
"85",2024-05-19 03:00:00,9.422,8.865,77.468279
"86",2024-05-19 03:10:00,9.412,8.858,77.388671
"87",2024-05-19 03:20:00,9.357,8.864,77.339635
"88",2024-05-19 03:30:00,9.357,8.861,77.31346
"89",2024-05-19 03:40:00,9.394,8.864,77.407883
"90",2024-05-19 03:50:00,9.403,8.855,77.345874
"91",2024-05-19 04:00:00,9.403,8.852,77.31967
"92",2024-05-19 04:10:00,9.375,8.841,77.172071
"93",2024-05-19 04:20:00,9.357,8.849,77.208758
"94",2024-05-19 04:30:00,9.338,8.843,77.12145
"95",2024-05-19 04:40:00,9.255,8.841,76.951378
"96",2024-05-19 04:50:00,9.144,8.848,76.80814
"97",2024-05-19 05:00:00,9.107,8.841,76.679402
"98",2024-05-19 05:10:00,9.051,8.843,76.593876
"99",2024-05-19 05:20:00,8.995,8.855,76.594837
