"","datetime","temp","do","do_sat"
"2",2024-05-18 13:10:00,21.877,6.836,78.000943
"3",2024-05-18 13:20:00,22.646,6.783,78.546316
"5",2024-05-18 13:40:00,19.318,7.333,79.561332
"6",2024-05-18 13:50:00,22.521,6.827,78.867427
"7",2024-05-18 14:00:00,24.396,6.618,79.202234
"8",2024-05-18 14:10:00,21.326,6.901,77.906386
"9",2024-05-18 14:20:00,22.003,6.907,79.002722
"11",2024-05-18 14:40:00,20.072,6.906,76.065062
"13",2024-05-18 15:00:00,5.428,9.449,74.81244
"14",2024-05-18 15:10:00,5.259,9.518,75.032591
"25",2024-05-18 17:00:00,5.12,9.536,74.90602
"26",2024-05-18 17:10:00,5.05,9.525,74.684671
"27",2024-05-18 17:20:00,5.04,9.538,74.767305
"29",2024-05-18 17:40:00,5.03,9.5,74.450207
"30",2024-05-18 17:50:00,4.98,9.498,74.338475
"31",2024-05-18 18:00:00,4.96,9.5,74.315707
"32",2024-05-18 18:10:00,4.97,9.498,74.319268
"851",2024-05-24 10:40:00,5.428,9.385,74.30572
"852",2024-05-24 10:50:00,5.438,9.406,74.491072
"853",2024-05-24 11:00:00,5.497,9.384,74.429204
"854",2024-05-24 11:10:00,5.507,9.386,74.46412
"855",2024-05-24 11:20:00,5.477,9.386,74.406965
"856",2024-05-24 11:30:00,5.507,9.391,74.503787
"857",2024-05-24 11:40:00,5.517,9.403,74.618079
"858",2024-05-24 11:50:00,5.527,9.402,74.629231
"859",2024-05-24 12:00:00,5.547,9.419,74.80242
"860",2024-05-24 12:10:00,5.626,9.4,74.802362
"861",2024-05-24 12:20:00,5.626,9.389,74.714828
"862",2024-05-24 12:30:00,5.695,9.38,74.774738
"863",2024-05-24 12:40:00,5.695,9.397,74.910257
"864",2024-05-24 12:50:00,5.98,9.41,75.559574
"865",2024-05-24 13:00:00,6.078,9.38,75.505972
"866",2024-05-24 13:10:00,5.872,9.379,75.104421
"867",2024-05-24 13:20:00,5.803,9.406,75.188573
"868",2024-05-24 13:30:00,5.764,9.406,75.11396
"869",2024-05-24 13:40:00,5.823,9.396,75.146866
"870",2024-05-24 13:50:00,5.931,9.396,75.353401
"871",2024-05-24 14:00:00,5.94,9.407,75.458857
"872",2024-05-24 14:10:00,5.931,9.389,75.297263
"873",2024-05-24 14:20:00,5.931,9.409,75.457658
"874",2024-05-24 14:30:00,5.94,9.399,75.394684
"875",2024-05-24 14:40:00,5.96,9.402,75.45704
"876",2024-05-24 14:50:00,5.98,9.403,75.503366
"877",2024-05-24 15:00:00,6.019,9.402,75.57003
"878",2024-05-24 15:10:00,6.038,9.395,75.550135
"879",2024-05-24 15:20:00,6.019,9.372,75.3289
"880",2024-05-24 15:30:00,6.087,9.384,75.555385
"881",2024-05-24 15:40:00,6.126,9.383,75.62193
"882",2024-05-24 15:50:00,6.156,9.386,75.703523
"883",2024-05-24 16:00:00,6.205,9.397,75.886156
"884",2024-05-24 16:10:00,6.185,9.403,75.89625
"885",2024-05-24 16:20:00,6.146,9.381,75.644066
"886",2024-05-24 16:30:00,6.195,9.381,75.737812
"887",2024-05-24 16:40:00,6.156,9.386,75.703523
"888",2024-05-24 16:50:00,6.136,9.389,75.68943
"889",2024-05-24 17:00:00,6.175,9.383,75.715683
