MiniDOT Logger Concatenated Data File
Sensor:             7450-274906
Concatenation Date: 2024Jun20 14:22:36 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.530000,     22.380000,          6.712000,                    77.330085,      0.954000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     25.414000,          6.389000,                    77.911257,      0.954000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.530000,     27.911000,          6.125000,                    78.127140,      0.955000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.530000,     23.291000,          6.732000,                    78.915857,      0.954000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.530000,     25.995000,          6.355000,                    78.322400,      0.956000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.530000,     20.725000,          5.173000,                    57.716573,      0.934000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.560000,      5.637000,          8.688000,                    69.155899,      0.949000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.550000,      4.671000,          8.923000,                    69.281124,      0.954000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.550000,      4.460000,          9.016000,                    69.619656,      0.955000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.550000,      4.439000,          9.014000,                    69.566081,      0.956000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.550000,      4.409000,          8.964000,                    69.126041,      0.957000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.550000,      4.460000,          8.923000,                    68.901530,      0.957000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.550000,      4.530000,          8.923000,                    69.027395,      0.957000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.550000,      4.510000,          8.870000,                    68.581638,      0.957000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.550000,      4.450000,          8.877000,                    68.528445,      0.957000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.550000,      4.419000,          8.824000,                    68.064200,      0.956000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.550000,      4.450000,          8.829000,                    68.157895,      0.957000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.550000,      4.450000,          8.775000,                    67.741028,      0.956000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.550000,      4.328000,          8.661000,                    66.648218,      0.956000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.550000,      4.247000,          8.671000,                    66.583860,      0.956000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.550000,      4.196000,          8.582000,                    65.812420,      0.956000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      4.135000,          8.520000,                    65.232495,      0.956000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.550000,      4.074000,          8.461000,                    64.677070,      0.956000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.550000,      4.105000,          8.465000,                    64.760364,      0.956000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.550000,      4.074000,          8.468000,                    64.730579,      0.956000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.550000,      4.013000,          8.387000,                    64.008661,      0.956000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.550000,      4.064000,          8.464000,                    64.683001,      0.957000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.550000,      4.023000,          8.425000,                    64.315589,      0.956000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.550000,      4.013000,          8.405000,                    64.146035,      0.957000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.540000,      4.013000,          8.392000,                    64.046821,      0.956000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.540000,      3.983000,          8.366000,                    63.798007,      0.956000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.540000,      3.983000,          8.352000,                    63.691244,      0.956000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.540000,      3.952000,          8.352000,                    63.639279,      0.956000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.540000,      3.993000,          8.368000,                    63.830056,      0.956000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.540000,      3.993000,          8.371000,                    63.852940,      0.956000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.540000,      4.013000,          8.390000,                    64.031557,      0.956000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.540000,      3.993000,          8.353000,                    63.715638,      0.956000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.540000,      4.023000,          8.410000,                    64.201081,      0.956000
                1716082260,           2024-05-19 01:31:00,           2024-05-18 19:31:00,      3.540000,      4.034000,          8.415000,                    64.257837,      0.956000
                1716082860,           2024-05-19 01:41:00,           2024-05-18 19:41:00,      3.540000,      4.003000,          8.318000,                    63.465361,      0.956000
                1716083460,           2024-05-19 01:51:00,           2024-05-18 19:51:00,      3.540000,      4.023000,          8.368000,                    63.880457,      0.956000
                1716084060,           2024-05-19 02:01:00,           2024-05-18 20:01:00,      3.540000,      3.993000,          8.357000,                    63.746149,      0.956000
                1716084660,           2024-05-19 02:11:00,           2024-05-18 20:11:00,      3.540000,      3.962000,          8.343000,                    63.587446,      0.956000
                1716085260,           2024-05-19 02:21:00,           2024-05-18 20:21:00,      3.540000,      3.932000,          8.298000,                    63.194516,      0.956000
                1716085860,           2024-05-19 02:31:00,           2024-05-18 20:31:00,      3.540000,      3.952000,          8.352000,                    63.639279,      0.956000
                1716086460,           2024-05-19 02:41:00,           2024-05-18 20:41:00,      3.540000,      4.003000,          8.389000,                    64.007083,      0.956000
