MiniDOT Logger Concatenated Data File
Sensor:             7450-342723
Concatenation Date: 2024Jun20 15:16:03 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.530000,     21.877000,          6.836000,                    78.000943,      0.946000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     22.646000,          6.783000,                    78.546316,      0.941000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.530000,     24.690000,          6.497000,                    78.179224,      0.940000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.540000,     19.318000,          7.333000,                    79.561332,      0.939000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.530000,     22.521000,          6.827000,                    78.867427,      0.939000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.530000,     24.396000,          6.618000,                    79.202234,      0.939000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.540000,     21.326000,          6.901000,                    77.906386,      0.937000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.530000,     22.003000,          6.907000,                    79.002722,      0.942000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.530000,     24.127000,          6.520000,                    77.639543,      0.942000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.530000,     20.072000,          6.906000,                    76.065062,      0.939000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.550000,      6.068000,          9.142000,                    73.571517,      0.921000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.560000,      5.428000,          9.449000,                    74.812440,      0.922000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.550000,      5.259000,          9.518000,                    75.032591,      0.923000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.550000,      5.189000,          9.559000,                    75.220243,      0.924000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.550000,      5.130000,          9.548000,                    75.019610,      0.924000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.550000,      5.120000,          9.572000,                    75.188802,      0.925000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.550000,      5.100000,          9.559000,                    75.047987,      0.925000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.550000,      5.080000,          9.570000,                    75.095610,      0.925000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.550000,      5.050000,          9.567000,                    75.013990,      0.925000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.550000,      5.050000,          9.547000,                    74.857171,      0.925000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.550000,      5.070000,          9.585000,                    75.193917,      0.925000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      5.080000,          9.559000,                    75.009293,      0.925000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.550000,      5.160000,          9.570000,                    75.250597,      0.925000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.550000,      5.120000,          9.536000,                    74.906020,      0.925000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.550000,      5.050000,          9.525000,                    74.684671,      0.925000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.550000,      5.040000,          9.538000,                    74.767305,      0.925000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.550000,      5.000000,          9.544000,                    74.737111,      0.925000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.540000,      5.030000,          9.500000,                    74.450207,      0.924000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.540000,      4.980000,          9.498000,                    74.338475,      0.925000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.540000,      4.960000,          9.500000,                    74.315707,      0.924000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.540000,      4.970000,          9.498000,                    74.319268,      0.924000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.540000,      4.920000,          9.506000,                    74.285768,      0.925000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.540000,      4.930000,          9.475000,                    74.062669,      0.924000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.540000,      4.930000,          9.497000,                    74.234635,      0.924000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.540000,      4.930000,          9.500000,                    74.258085,      0.925000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.540000,      4.910000,          9.493000,                    74.164989,      0.924000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.540000,      4.920000,          9.491000,                    74.168549,      0.924000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.540000,      4.930000,          9.491000,                    74.187735,      0.924000
                1716082260,           2024-05-19 01:31:00,           2024-05-18 19:31:00,      3.540000,      4.920000,          9.489000,                    74.152920,      0.924000
                1716082860,           2024-05-19 01:41:00,           2024-05-18 19:41:00,      3.540000,      4.870000,          9.441000,                    73.682413,      0.924000
                1716083460,           2024-05-19 01:51:00,           2024-05-18 19:51:00,      3.540000,      4.900000,          9.465000,                    73.927106,      0.924000
                1716084060,           2024-05-19 02:01:00,           2024-05-18 20:01:00,      3.540000,      4.880000,          9.480000,                    74.005946,      0.925000
                1716084660,           2024-05-19 02:11:00,           2024-05-18 20:11:00,      3.540000,      4.890000,          9.465000,                    73.907976,      0.924000
                1716085260,           2024-05-19 02:21:00,           2024-05-18 20:21:00,      3.540000,      4.890000,          9.456000,                    73.837699,      0.924000
                1716085860,           2024-05-19 02:31:00,           2024-05-18 20:31:00,      3.540000,      4.870000,          9.449000,                    73.744849,      0.924000
                1716086460,           2024-05-19 02:41:00,           2024-05-18 20:41:00,      3.540000,      4.860000,          9.466000,                    73.858398,      0.924000
                1716087060,           2024-05-19 02:51:00,           2024-05-18 20:51:00,      3.540000,      4.860000,          9.463000,                    73.834991,      0.924000
                1716087660,           2024-05-19 03:01:00,           2024-05-18 21:01:00,      3.540000,      4.860000,          9.446000,                    73.702348,      0.924000
                1716088260,           2024-05-19 03:11:00,           2024-05-18 21:11:00,      3.540000,      4.870000,          9.463000,                    73.854112,      0.924000
                1716088860,           2024-05-19 03:21:00,           2024-05-18 21:21:00,      3.540000,      4.860000,          9.463000,                    73.834991,      0.924000
