MiniDOT Logger Concatenated Data File
Sensor:             7450-342723
Concatenation Date: 2024Aug02 12:49:22 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1718919000,           2024-06-20 21:30:00,           2024-06-20 15:30:00,      3.430000,     14.348000,          8.455000,                    82.668943,      0.939000
                1718919600,           2024-06-20 21:40:00,           2024-06-20 15:40:00,      3.440000,     14.028000,          8.553000,                    83.043367,      0.940000
                1718920200,           2024-06-20 21:50:00,           2024-06-20 15:50:00,      3.450000,     13.941000,          8.577000,                    83.117379,      0.941000
                1718920800,           2024-06-20 22:00:00,           2024-06-20 16:00:00,      3.450000,     13.863000,          8.595000,                    83.149007,      0.942000
                1718921400,           2024-06-20 22:10:00,           2024-06-20 16:10:00,      3.460000,     13.802000,          8.590000,                    82.989056,      0.942000
                1718922000,           2024-06-20 22:20:00,           2024-06-20 16:20:00,      3.460000,     13.880000,          8.598000,                    83.209160,      0.942000
                1718922600,           2024-06-20 22:30:00,           2024-06-20 16:30:00,      3.460000,     13.915000,          8.604000,                    83.331371,      0.942000
                1718923200,           2024-06-20 22:40:00,           2024-06-20 16:40:00,      3.460000,     13.958000,          8.583000,                    83.206611,      0.942000
                1718923800,           2024-06-20 22:50:00,           2024-06-20 16:50:00,      3.460000,     14.080000,          8.562000,                    83.225655,      0.942000
                1718924400,           2024-06-20 23:00:00,           2024-06-20 17:00:00,      3.470000,     14.088000,          8.562000,                    83.240257,      0.942000
                1718925000,           2024-06-20 23:10:00,           2024-06-20 17:10:00,      3.470000,     14.123000,          8.578000,                    83.459823,      0.942000
                1718925600,           2024-06-20 23:20:00,           2024-06-20 17:20:00,      3.470000,     14.201000,          8.554000,                    83.368609,      0.942000
                1718926200,           2024-06-20 23:30:00,           2024-06-20 17:30:00,      3.470000,     14.167000,          8.559000,                    83.355272,      0.941000
                1718926800,           2024-06-20 23:40:00,           2024-06-20 17:40:00,      3.470000,     14.045000,          8.589000,                    83.424022,      0.942000
                1718927400,           2024-06-20 23:50:00,           2024-06-20 17:50:00,      3.470000,     14.062000,          8.607000,                    83.630044,      0.942000
                1718928000,           2024-06-21 00:00:00,           2024-06-20 18:00:00,      3.480000,     14.010000,          8.614000,                    83.602586,      0.941000
                1718928600,           2024-06-21 00:10:00,           2024-06-20 18:10:00,      3.470000,     14.288000,          8.584000,                    83.820324,      0.942000
                1718929200,           2024-06-21 00:20:00,           2024-06-20 18:20:00,      3.470000,     14.461000,          8.577000,                    84.068728,      0.942000
                1718929800,           2024-06-21 00:30:00,           2024-06-20 18:30:00,      3.470000,     14.452000,          8.556000,                    83.846449,      0.942000
                1718930400,           2024-06-21 00:40:00,           2024-06-20 18:40:00,      3.480000,     14.487000,          8.543000,                    83.782910,      0.942000
                1718931000,           2024-06-21 00:50:00,           2024-06-20 18:50:00,      3.480000,     14.513000,          8.536000,                    83.761664,      0.942000
                1718931600,           2024-06-21 01:00:00,           2024-06-20 19:00:00,      3.480000,     14.444000,          8.550000,                    83.773044,      0.942000
                1718932200,           2024-06-21 01:10:00,           2024-06-20 19:10:00,      3.480000,     14.711000,          8.532000,                    84.083431,      0.942000
                1718932800,           2024-06-21 01:20:00,           2024-06-20 19:20:00,      3.480000,     14.806000,          8.555000,                    84.483894,      0.942000
                1718933400,           2024-06-21 01:30:00,           2024-06-20 19:30:00,      3.480000,     14.668000,          8.526000,                    83.945925,      0.941000
                1718934000,           2024-06-21 01:40:00,           2024-06-20 19:40:00,      3.490000,     14.729000,          8.517000,                    83.968383,      0.941000
                1718934600,           2024-06-21 01:50:00,           2024-06-20 19:50:00,      3.480000,     14.582000,          8.537000,                    83.897323,      0.941000
                1718935200,           2024-06-21 02:00:00,           2024-06-20 20:00:00,      3.480000,     14.530000,          8.549000,                    83.920276,      0.942000
                1718935800,           2024-06-21 02:10:00,           2024-06-20 20:10:00,      3.480000,     14.634000,          8.542000,                    84.041383,      0.941000
                1718936400,           2024-06-21 02:20:00,           2024-06-20 20:20:00,      3.480000,     14.582000,          8.573000,                    84.251113,      0.941000
                1718937000,           2024-06-21 02:30:00,           2024-06-20 20:30:00,      3.480000,     14.547000,          8.585000,                    84.304844,      0.941000
                1718937600,           2024-06-21 02:40:00,           2024-06-20 20:40:00,      3.490000,     14.677000,          8.543000,                    84.129741,      0.941000
                1718938200,           2024-06-21 02:50:00,           2024-06-20 20:50:00,      3.490000,     14.409000,          8.582000,                    84.022444,      0.941000
                1718938800,           2024-06-21 03:00:00,           2024-06-20 21:00:00,      3.490000,     14.452000,          8.586000,                    84.140441,      0.941000
                1718939400,           2024-06-21 03:10:00,           2024-06-20 21:10:00,      3.490000,     14.392000,          8.596000,                    84.128313,      0.941000
                1718940000,           2024-06-21 03:20:00,           2024-06-20 21:20:00,      3.490000,     14.331000,          8.597000,                    84.026157,      0.941000
                1718940600,           2024-06-21 03:30:00,           2024-06-20 21:30:00,      3.490000,     14.305000,          8.605000,                    84.056600,      0.941000
                1718941200,           2024-06-21 03:40:00,           2024-06-20 21:40:00,      3.490000,     14.357000,          8.589000,                    83.995631,      0.941000
                1718941800,           2024-06-21 03:50:00,           2024-06-20 21:50:00,      3.490000,     14.392000,          8.593000,                    84.098952,      0.941000
                1718942400,           2024-06-21 04:00:00,           2024-06-20 22:00:00,      3.490000,     14.530000,          8.561000,                    84.038072,      0.941000
                1718943000,           2024-06-21 04:10:00,           2024-06-20 22:10:00,      3.490000,     14.470000,          8.571000,                    84.026392,      0.942000
                1718943600,           2024-06-21 04:20:00,           2024-06-20 22:20:00,      3.490000,     14.487000,          8.568000,                    84.028090,      0.942000
                1718944200,           2024-06-21 04:30:00,           2024-06-20 22:30:00,      3.490000,     14.660000,          8.536000,                    84.029787,      0.942000
                1718944800,           2024-06-21 04:40:00,           2024-06-20 22:40:00,      3.490000,     14.660000,          8.517000,                    83.842748,      0.941000
                1718945400,           2024-06-21 04:50:00,           2024-06-20 22:50:00,      3.490000,     14.608000,          8.526000,                    83.836590,      0.942000
                1718946000,           2024-06-21 05:00:00,           2024-06-20 23:00:00,      3.490000,     14.591000,          8.526000,                    83.805617,      0.941000
                1718946600,           2024-06-21 05:10:00,           2024-06-20 23:10:00,      3.490000,     14.582000,          8.522000,                    83.749911,      0.941000
                1718947200,           2024-06-21 05:20:00,           2024-06-20 23:20:00,      3.490000,     14.573000,          8.519000,                    83.704046,      0.942000
                1718947800,           2024-06-21 05:30:00,           2024-06-20 23:30:00,      3.490000,     14.504000,          8.531000,                    83.696200,      0.941000
                1718948400,           2024-06-21 05:40:00,           2024-06-20 23:40:00,      3.490000,     14.521000,          8.513000,                    83.550519,      0.942000
                1718949000,           2024-06-21 05:50:00,           2024-06-20 23:50:00,      3.490000,     14.521000,          8.491000,                    83.334601,      0.942000
                1718949600,           2024-06-21 06:00:00,           2024-06-21 00:00:00,      3.490000,     14.521000,          8.497000,                    83.393487,      0.942000
                1718950200,           2024-06-21 06:10:00,           2024-06-21 00:10:00,      3.490000,     14.521000,          8.492000,                    83.344415,      0.941000
                1718950800,           2024-06-21 06:20:00,           2024-06-21 00:20:00,      3.490000,     14.556000,          8.468000,                    83.172185,      0.941000
                1718951400,           2024-06-21 06:30:00,           2024-06-21 00:30:00,      3.490000,     14.565000,          8.469000,                    83.198291,      0.942000
                1718952000,           2024-06-21 06:40:00,           2024-06-21 00:40:00,      3.500000,     14.573000,          8.453000,                    83.055558,      0.941000
                1718952600,           2024-06-21 06:50:00,           2024-06-21 00:50:00,      3.500000,     14.686000,          8.389000,                    82.629320,      0.941000
                1718953200,           2024-06-21 07:00:00,           2024-06-21 01:00:00,      3.500000,     14.599000,          8.438000,                    82.955053,      0.941000
                1718953800,           2024-06-21 07:10:00,           2024-06-21 01:10:00,      3.500000,     14.565000,          8.455000,                    83.060757,      0.942000
                1718954400,           2024-06-21 07:20:00,           2024-06-21 01:20:00,      3.500000,     14.591000,          8.433000,                    82.891482,      0.941000
                1718955000,           2024-06-21 07:30:00,           2024-06-21 01:30:00,      3.500000,     14.478000,          8.468000,                    83.031093,      0.942000
                1718955600,           2024-06-21 07:40:00,           2024-06-21 01:40:00,      3.500000,     14.452000,          8.477000,                    83.072271,      0.942000
                1718956200,           2024-06-21 07:50:00,           2024-06-21 01:50:00,      3.500000,     14.400000,          8.489000,                    83.095612,      0.942000
                1718956800,           2024-06-21 08:00:00,           2024-06-21 02:00:00,      3.500000,     14.374000,          8.491000,                    83.068059,      0.942000
                1718957400,           2024-06-21 08:10:00,           2024-06-21 02:10:00,      3.500000,     14.642000,          8.392000,                    82.579941,      0.941000
                1718958000,           2024-06-21 08:20:00,           2024-06-21 02:20:00,      3.500000,     14.694000,          8.373000,                    82.486044,      0.941000
                1718958600,           2024-06-21 08:30:00,           2024-06-21 02:30:00,      3.500000,     14.634000,          8.409000,                    82.732848,      0.942000
                1718959200,           2024-06-21 08:40:00,           2024-06-21 02:40:00,      3.500000,     14.582000,          8.426000,                    82.806471,      0.942000
                1718959800,           2024-06-21 08:50:00,           2024-06-21 02:50:00,      3.500000,     14.582000,          8.409000,                    82.639404,      0.942000
                1718960400,           2024-06-21 09:00:00,           2024-06-21 03:00:00,      3.500000,     14.496000,          8.416000,                    82.553574,      0.941000
                1718961000,           2024-06-21 09:10:00,           2024-06-21 03:10:00,      3.500000,     14.461000,          8.414000,                    82.471060,      0.941000
                1718961600,           2024-06-21 09:20:00,           2024-06-21 03:20:00,      3.500000,     14.487000,          8.393000,                    82.311830,      0.941000
                1718962200,           2024-06-21 09:30:00,           2024-06-21 03:30:00,      3.500000,     14.418000,          8.418000,                    82.432971,      0.942000
                1718962800,           2024-06-21 09:40:00,           2024-06-21 03:40:00,      3.500000,     14.418000,          8.408000,                    82.335047,      0.942000
                1718963400,           2024-06-21 09:50:00,           2024-06-21 03:50:00,      3.500000,     14.452000,          8.416000,                    82.474488,      0.942000
                1718964000,           2024-06-21 10:00:00,           2024-06-21 04:00:00,      3.500000,     14.487000,          8.384000,                    82.223565,      0.941000
                1718964600,           2024-06-21 10:10:00,           2024-06-21 04:10:00,      3.500000,     14.452000,          8.381000,                    82.131497,      0.941000
                1718965200,           2024-06-21 10:20:00,           2024-06-21 04:20:00,      3.500000,     14.444000,          8.384000,                    82.146574,      0.941000
                1718965800,           2024-06-21 10:30:00,           2024-06-21 04:30:00,      3.500000,     14.426000,          8.384000,                    82.114349,      0.941000
                1718966400,           2024-06-21 10:40:00,           2024-06-21 04:40:00,      3.500000,     14.435000,          8.374000,                    82.032500,      0.942000
                1718967000,           2024-06-21 10:50:00,           2024-06-21 04:50:00,      3.500000,     14.426000,          8.369000,                    81.967436,      0.942000
                1718967600,           2024-06-21 11:00:00,           2024-06-21 05:00:00,      3.500000,     14.400000,          8.366000,                    81.891612,      0.941000
                1718968200,           2024-06-21 11:10:00,           2024-06-21 05:10:00,      3.500000,     14.366000,          8.373000,                    81.899357,      0.942000
                1718968800,           2024-06-21 11:20:00,           2024-06-21 05:20:00,      3.500000,     14.357000,          8.360000,                    81.756139,      0.941000
                1718969400,           2024-06-21 11:30:00,           2024-06-21 05:30:00,      3.500000,     14.271000,          8.390000,                    81.895534,      0.942000
                1718970000,           2024-06-21 11:40:00,           2024-06-21 05:40:00,      3.500000,     14.219000,          8.389000,                    81.792704,      0.942000
                1718970600,           2024-06-21 11:50:00,           2024-06-21 05:50:00,      3.500000,     14.193000,          8.399000,                    81.843623,      0.942000
