"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008789, SEN S/N: 22008789)","Intensity, lum/ft² (LGR S/N: 22008789, SEN S/N: 22008789)"
1,06/20/24 14:30:00,97.525,1664.0
2,06/20/24 14:40:00,60.712,768.0
3,06/20/24 14:50:00,59.337,992.0
4,06/20/24 15:00:00,60.024,480.0
5,06/20/24 15:10:00,59.337,480.0
6,06/20/24 15:20:00,61.054,4864.0
7,06/20/24 15:30:00,61.398,800.0
8,06/20/24 15:40:00,62.083,2816.0
9,06/20/24 15:50:00,61.398,512.0
10,06/20/24 16:00:00,61.741,2304.0
11,06/20/24 16:10:00,61.054,432.0
12,06/20/24 16:20:00,61.227,992.0
13,06/20/24 16:30:00,60.368,432.0
14,06/20/24 16:40:00,60.712,464.0
15,06/20/24 16:50:00,60.539,480.0
16,06/20/24 17:00:00,60.883,768.0
17,06/20/24 17:10:00,60.539,480.0
18,06/20/24 17:20:00,60.539,256.0
19,06/20/24 17:30:00,60.712,608.0
20,06/20/24 17:40:00,60.539,320.0
21,06/20/24 17:50:00,60.368,304.0
22,06/20/24 18:00:00,60.368,368.0
23,06/20/24 18:10:00,60.195,352.0
24,06/20/24 18:20:00,60.024,336.0
25,06/20/24 18:30:00,60.024,288.0
26,06/20/24 18:40:00,59.851,216.0
27,06/20/24 18:50:00,59.851,232.0
28,06/20/24 19:00:00,59.680,224.0
29,06/20/24 19:10:00,59.508,160.0
30,06/20/24 19:20:00,59.337,128.0
31,06/20/24 19:30:00,59.164,126.0
32,06/20/24 19:40:00,56.923,144.0
33,06/20/24 19:50:00,58.647,152.0
34,06/20/24 20:00:00,59.164,144.0
35,06/20/24 20:10:00,59.851,124.0
36,06/20/24 20:20:00,59.508,61.0
37,06/20/24 20:30:00,59.680,65.0
38,06/20/24 20:40:00,59.337,60.0
39,06/20/24 20:50:00,59.508,30.0
40,06/20/24 21:00:00,58.476,16.0
41,06/20/24 21:10:00,57.096,2.0
42,06/20/24 21:20:00,57.096,0.0
43,06/20/24 21:30:00,57.096,0.0
44,06/20/24 21:40:00,56.923,0.0
45,06/20/24 21:50:00,56.750,0.0
46,06/20/24 22:00:00,56.057,0.0
47,06/20/24 22:10:00,56.404,0.0
48,06/20/24 22:20:00,56.230,0.0
49,06/20/24 22:30:00,57.096,0.0
50,06/20/24 22:40:00,56.577,0.0
51,06/20/24 22:50:00,56.230,0.0
52,06/20/24 23:00:00,58.131,0.0
53,06/20/24 23:10:00,58.993,0.0
54,06/20/24 23:20:00,58.820,0.0
55,06/20/24 23:30:00,59.164,0.0
56,06/20/24 23:40:00,59.337,0.0
57,06/20/24 23:50:00,59.337,0.0
58,06/21/24 00:00:00,59.337,0.0
59,06/21/24 00:10:00,59.337,0.0
60,06/21/24 00:20:00,59.337,0.0
61,06/21/24 00:30:00,58.993,0.0
