"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008789, SEN S/N: 22008789)","Intensity, lum/ft² (LGR S/N: 22008789, SEN S/N: 22008789)","Coupler Attached (LGR S/N: 22008789)","Coupler Detached (LGR S/N: 22008789)","Host Connected (LGR S/N: 22008789)","Stopped (LGR S/N: 22008789)","End Of File (LGR S/N: 22008789)"
1,08/30/24 12:40:00,56.923,320.0,,,,,
2,08/30/24 12:50:00,64.310,896.0,,,,,
3,08/30/24 13:00:00,64.825,1152.0,,,,,
4,08/30/24 13:10:00,65.338,3712.0,,,,,
5,08/30/24 13:20:00,66.022,2432.0,,,,,
6,08/30/24 13:30:00,65.851,3456.0,,,,,
7,08/30/24 13:40:00,66.022,4608.0,,,,,
8,08/30/24 13:50:00,66.022,6912.0,,,,,
9,08/30/24 14:00:00,66.022,6144.0,,,,,
10,08/30/24 14:10:00,66.022,4352.0,,,,,
11,08/30/24 14:20:00,65.851,2688.0,,,,,
12,08/30/24 14:30:00,64.996,2304.0,,,,,
13,08/30/24 14:40:00,65.167,1728.0,,,,,
14,08/30/24 14:50:00,65.680,5888.0,,,,,
15,08/30/24 15:00:00,65.509,2048.0,,,,,
16,08/30/24 15:10:00,64.825,1920.0,,,,,
17,08/30/24 15:20:00,64.652,960.0,,,,,
18,08/30/24 15:30:00,64.825,608.0,,,,,
19,08/30/24 15:40:00,64.996,1536.0,,,,,
20,08/30/24 15:50:00,65.167,1536.0,,,,,
21,08/30/24 16:00:00,66.022,3072.0,,,,,
22,08/30/24 16:10:00,66.193,3200.0,,,,,
23,08/30/24 16:20:00,66.193,5376.0,,,,,
24,08/30/24 16:30:00,66.193,2560.0,,,,,
25,08/30/24 16:40:00,66.193,2688.0,,,,,
26,08/30/24 16:50:00,65.851,2432.0,,,,,
27,08/30/24 17:00:00,65.338,464.0,,,,,
28,08/30/24 17:10:00,65.509,432.0,,,,,
29,08/30/24 17:20:00,66.022,464.0,,,,,
30,08/30/24 17:30:00,65.851,352.0,,,,,
31,08/30/24 17:40:00,65.167,368.0,,,,,
32,08/30/24 17:50:00,65.680,224.0,,,,,
33,08/30/24 18:00:00,65.851,192.0,,,,,
34,08/30/24 18:10:00,66.193,240.0,,,,,
35,08/30/24 18:20:00,66.022,240.0,,,,,
36,08/30/24 18:30:00,66.022,232.0,,,,,
37,08/30/24 18:40:00,66.193,90.0,,,,,
38,08/30/24 18:50:00,65.338,84.0,,,,,
39,08/30/24 19:00:00,64.481,83.0,,,,,
40,08/30/24 19:10:00,66.022,71.0,,,,,
41,08/30/24 19:20:00,64.825,64.0,,,,,
42,08/30/24 19:30:00,65.338,53.0,,,,,
43,08/30/24 19:40:00,65.851,41.0,,,,,
44,08/30/24 19:50:00,66.193,26.0,,,,,
45,08/30/24 20:00:00,65.509,12.0,,,,,
