"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008790, SEN S/N: 22008790)","Intensity, lum/ft² (LGR S/N: 22008790, SEN S/N: 22008790)"
1,06/20/24 15:00:00,59.851,672.0
2,06/20/24 15:10:00,59.680,1152.0
3,06/20/24 15:20:00,61.398,3968.0
4,06/20/24 15:30:00,60.368,960.0
5,06/20/24 15:40:00,60.883,1152.0
6,06/20/24 15:50:00,60.539,704.0
7,06/20/24 16:00:00,60.712,800.0
8,06/20/24 16:10:00,60.712,704.0
9,06/20/24 16:20:00,60.539,480.0
10,06/20/24 16:30:00,60.539,512.0
11,06/20/24 16:40:00,60.368,496.0
12,06/20/24 16:50:00,60.539,496.0
13,06/20/24 17:00:00,60.539,576.0
14,06/20/24 17:10:00,60.712,992.0
15,06/20/24 17:20:00,60.883,608.0
16,06/20/24 17:30:00,61.227,384.0
17,06/20/24 17:40:00,61.054,400.0
18,06/20/24 17:50:00,59.680,304.0
19,06/20/24 18:00:00,59.164,496.0
20,06/20/24 18:10:00,58.303,400.0
21,06/20/24 18:20:00,58.131,480.0
22,06/20/24 18:30:00,58.303,400.0
23,06/20/24 18:40:00,57.614,320.0
24,06/20/24 18:50:00,57.614,400.0
25,06/20/24 19:00:00,57.785,288.0
26,06/20/24 19:10:00,58.131,256.0
27,06/20/24 19:20:00,59.337,208.0
28,06/20/24 19:30:00,59.164,200.0
29,06/20/24 19:40:00,59.164,256.0
30,06/20/24 19:50:00,59.337,216.0
31,06/20/24 20:00:00,59.337,144.0
32,06/20/24 20:10:00,59.508,109.0
33,06/20/24 20:20:00,59.337,88.0
34,06/20/24 20:30:00,59.337,102.0
35,06/20/24 20:40:00,59.164,76.0
36,06/20/24 20:50:00,58.993,38.0
37,06/20/24 21:00:00,58.993,20.0
38,06/20/24 21:10:00,58.820,4.0
39,06/20/24 21:20:00,58.820,1.0
40,06/20/24 21:30:00,58.647,0.0
41,06/20/24 21:40:00,58.820,0.0
42,06/20/24 21:50:00,58.820,0.0
43,06/20/24 22:00:00,58.647,0.0
44,06/20/24 22:10:00,58.476,0.0
45,06/20/24 22:20:00,58.476,0.0
46,06/20/24 22:30:00,58.303,0.0
47,06/20/24 22:40:00,57.785,0.0
48,06/20/24 22:50:00,57.614,0.0
49,06/20/24 23:00:00,57.785,0.0
50,06/20/24 23:10:00,57.958,0.0
51,06/20/24 23:20:00,58.476,0.0
52,06/20/24 23:30:00,58.647,0.0
53,06/20/24 23:40:00,58.476,0.0
54,06/20/24 23:50:00,58.476,0.0
55,06/21/24 00:00:00,58.303,0.0
56,06/21/24 00:10:00,58.476,0.0
57,06/21/24 00:20:00,58.476,0.0
58,06/21/24 00:30:00,58.476,0.0
59,06/21/24 00:40:00,58.303,0.0
60,06/21/24 00:50:00,58.131,0.0
61,06/21/24 01:00:00,57.785,0.0
62,06/21/24 01:10:00,57.614,0.0
63,06/21/24 01:20:00,57.441,0.0
64,06/21/24 01:30:00,57.614,0.0
65,06/21/24 01:40:00,57.785,0.0
66,06/21/24 01:50:00,57.614,0.0
67,06/21/24 02:00:00,57.614,0.0
68,06/21/24 02:10:00,57.268,0.0
69,06/21/24 02:20:00,57.096,0.0
70,06/21/24 02:30:00,57.441,0.0
71,06/21/24 02:40:00,57.268,0.0
72,06/21/24 02:50:00,57.096,0.0
73,06/21/24 03:00:00,57.441,0.0
74,06/21/24 03:10:00,57.096,0.0
75,06/21/24 03:20:00,57.096,0.0
76,06/21/24 03:30:00,57.268,0.0
77,06/21/24 03:40:00,57.441,0.0
78,06/21/24 03:50:00,56.577,0.0
79,06/21/24 04:00:00,57.785,0.0
80,06/21/24 04:10:00,56.750,0.0
81,06/21/24 04:20:00,56.230,0.0
82,06/21/24 04:30:00,56.057,0.0
83,06/21/24 04:40:00,56.057,0.0
84,06/21/24 04:50:00,56.404,0.0
85,06/21/24 05:00:00,56.750,0.0
86,06/21/24 05:10:00,57.268,0.0
87,06/21/24 05:20:00,57.268,0.0
88,06/21/24 05:30:00,57.268,3.0
89,06/21/24 05:40:00,57.096,10.0
90,06/21/24 05:50:00,57.096,22.0
91,06/21/24 06:00:00,56.923,36.0
92,06/21/24 06:10:00,56.923,56.0
93,06/21/24 06:20:00,56.923,90.0
94,06/21/24 06:30:00,56.923,124.0
95,06/21/24 06:40:00,56.923,208.0
