"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008790, SEN S/N: 22008790)","Intensity, lum/ft² (LGR S/N: 22008790, SEN S/N: 22008790)","Coupler Attached (LGR S/N: 22008790)","Coupler Detached (LGR S/N: 22008790)","Host Connected (LGR S/N: 22008790)","Stopped (LGR S/N: 22008790)","End Of File (LGR S/N: 22008790)"
1,08/15/24 11:40:00,67.735,4096.0,,,,,
2,08/15/24 11:50:00,67.221,4352.0,,,,,
3,08/15/24 12:00:00,67.392,4096.0,,,,,
4,08/15/24 12:10:00,67.564,4352.0,,,,,
5,08/15/24 12:20:00,67.735,8704.0,,,,,
6,08/15/24 12:30:00,67.050,2688.0,,,,,
7,08/15/24 12:40:00,67.735,1152.0,,,,,
8,08/15/24 12:50:00,67.735,4608.0,,,,,
9,08/15/24 13:00:00,66.708,800.0,,,,,
10,08/15/24 13:10:00,67.735,4096.0,,,,,
11,08/15/24 13:20:00,66.879,448.0,,,,,
12,08/15/24 13:30:00,67.050,2176.0,,,,,
13,08/15/24 13:40:00,66.879,9728.0,,,,,
14,08/15/24 13:50:00,67.221,1536.0,,,,,
15,08/15/24 14:00:00,67.221,992.0,,,,,
16,08/15/24 14:10:00,66.879,5376.0,,,,,
17,08/15/24 14:20:00,66.193,6144.0,,,,,
18,08/15/24 14:30:00,66.022,864.0,,,,,
19,08/15/24 14:40:00,66.193,768.0,,,,,
20,08/15/24 14:50:00,66.022,992.0,,,,,
21,08/15/24 15:00:00,66.366,464.0,,,,,
22,08/15/24 15:10:00,66.366,576.0,,,,,
23,08/15/24 15:20:00,66.193,1024.0,,,,,
24,08/15/24 15:30:00,66.193,672.0,,,,,
25,08/15/24 15:40:00,66.193,512.0,,,,,
26,08/15/24 15:50:00,65.680,248.0,,,,,
27,08/15/24 16:00:00,65.509,118.0,,,,,
28,08/15/24 16:10:00,65.680,176.0,,,,,
29,08/15/24 16:20:00,65.851,94.0,,,,,
30,08/15/24 16:30:00,65.851,48.0,,,,,
31,08/15/24 16:40:00,65.680,74.0,,,,,
32,08/15/24 16:50:00,65.509,128.0,,,,,
33,08/15/24 17:00:00,65.509,136.0,,,,,
34,08/15/24 17:10:00,65.509,248.0,,,,,
