"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008793, SEN S/N: 22008793)","Intensity, lum/ft² (LGR S/N: 22008793, SEN S/N: 22008793)"
1,06/20/24 13:40:00,72.891,2560.0
2,06/20/24 13:50:00,59.851,608.0
3,06/20/24 14:00:00,59.680,672.0
4,06/20/24 14:10:00,59.508,704.0
5,06/20/24 14:20:00,59.680,800.0
6,06/20/24 14:30:00,59.680,768.0
7,06/20/24 14:40:00,59.680,896.0
8,06/20/24 14:50:00,59.337,768.0
9,06/20/24 15:00:00,59.680,1024.0
10,06/20/24 15:10:00,58.993,432.0
11,06/20/24 15:20:00,59.164,1152.0
12,06/20/24 15:30:00,59.164,608.0
13,06/20/24 15:40:00,59.164,992.0
14,06/20/24 15:50:00,58.993,1024.0
15,06/20/24 16:00:00,57.441,288.0
16,06/20/24 16:10:00,58.131,1152.0
17,06/20/24 16:20:00,57.614,1152.0
18,06/20/24 16:30:00,57.096,448.0
19,06/20/24 16:40:00,57.268,352.0
20,06/20/24 16:50:00,57.268,864.0
21,06/20/24 17:00:00,56.750,352.0
22,06/20/24 17:10:00,56.750,448.0
23,06/20/24 17:20:00,56.750,400.0
24,06/20/24 17:30:00,57.096,384.0
25,06/20/24 17:40:00,56.750,352.0
26,06/20/24 17:50:00,56.577,248.0
27,06/20/24 18:00:00,56.404,240.0
28,06/20/24 18:10:00,56.404,240.0
29,06/20/24 18:20:00,56.230,224.0
30,06/20/24 18:30:00,56.230,272.0
31,06/20/24 18:40:00,56.230,272.0
32,06/20/24 18:50:00,56.057,240.0
33,06/20/24 19:00:00,56.230,384.0
34,06/20/24 19:10:00,56.057,216.0
35,06/20/24 19:20:00,56.057,152.0
36,06/20/24 19:30:00,56.057,125.0
37,06/20/24 19:40:00,56.057,208.0
38,06/20/24 19:50:00,56.057,256.0
39,06/20/24 20:00:00,56.057,272.0
40,06/20/24 20:10:00,55.884,192.0
41,06/20/24 20:20:00,55.884,119.0
42,06/20/24 20:30:00,55.884,54.0
43,06/20/24 20:40:00,55.884,53.0
44,06/20/24 20:50:00,55.884,26.0
45,06/20/24 21:00:00,55.884,16.0
46,06/20/24 21:10:00,55.711,2.0
47,06/20/24 21:20:00,55.711,0.0
48,06/20/24 21:30:00,55.711,0.0
49,06/20/24 21:40:00,55.711,0.0
50,06/20/24 21:50:00,55.537,0.0
51,06/20/24 22:00:00,55.537,0.0
52,06/20/24 22:10:00,55.537,0.0
53,06/20/24 22:20:00,55.537,0.0
54,06/20/24 22:30:00,55.537,0.0
55,06/20/24 22:40:00,55.711,0.0
56,06/20/24 22:50:00,55.711,0.0
57,06/20/24 23:00:00,55.711,0.0
58,06/20/24 23:10:00,55.884,0.0
59,06/20/24 23:20:00,55.884,0.0
60,06/20/24 23:30:00,55.884,0.0
61,06/20/24 23:40:00,55.884,0.0
62,06/20/24 23:50:00,55.884,0.0
63,06/21/24 00:00:00,55.711,0.0
64,06/21/24 00:10:00,55.711,0.0
65,06/21/24 00:20:00,55.711,0.0
66,06/21/24 00:30:00,55.711,0.0
67,06/21/24 00:40:00,55.537,0.0
68,06/21/24 00:50:00,55.537,0.0
69,06/21/24 01:00:00,55.537,0.0
70,06/21/24 01:10:00,55.537,0.0
71,06/21/24 01:20:00,55.537,0.0
72,06/21/24 01:30:00,55.537,0.0
73,06/21/24 01:40:00,56.057,0.0
74,06/21/24 01:50:00,55.711,0.0
75,06/21/24 02:00:00,56.057,0.0
76,06/21/24 02:10:00,55.884,0.0
77,06/21/24 02:20:00,55.537,0.0
78,06/21/24 02:30:00,55.364,0.0
79,06/21/24 02:40:00,55.364,0.0
80,06/21/24 02:50:00,55.364,0.0
81,06/21/24 03:00:00,55.189,0.0
82,06/21/24 03:10:00,55.189,0.0
83,06/21/24 03:20:00,55.364,0.0
84,06/21/24 03:30:00,56.057,0.0
85,06/21/24 03:40:00,56.057,0.0
86,06/21/24 03:50:00,56.057,0.0
87,06/21/24 04:00:00,55.884,0.0
88,06/21/24 04:10:00,55.884,0.0
89,06/21/24 04:20:00,55.884,0.0
90,06/21/24 04:30:00,55.884,0.0
91,06/21/24 04:40:00,55.711,0.0
92,06/21/24 04:50:00,55.711,0.0
93,06/21/24 05:00:00,55.711,0.0
