"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 22008793, SEN S/N: 22008793)","Intensity, lum/ft² (LGR S/N: 22008793, SEN S/N: 22008793)","Coupler Attached (LGR S/N: 22008793)","Host Connected (LGR S/N: 22008793)","Stopped (LGR S/N: 22008793)","End Of File (LGR S/N: 22008793)"
1,09/13/24 11:10:00,61.227,448.0,,,,
2,09/13/24 11:20:00,61.054,608.0,,,,
3,09/13/24 11:30:00,61.227,800.0,,,,
4,09/13/24 11:40:00,61.569,1984.0,,,,
5,09/13/24 11:50:00,62.254,1216.0,,,,
6,09/13/24 12:00:00,62.425,992.0,,,,
7,09/13/24 12:10:00,62.425,1536.0,,,,
8,09/13/24 12:20:00,62.083,1152.0,,,,
9,09/13/24 12:30:00,62.769,3200.0,,,,
10,09/13/24 12:40:00,63.111,3072.0,,,,
11,09/13/24 12:50:00,63.111,2432.0,,,,
12,09/13/24 13:00:00,62.598,2816.0,,,,
13,09/13/24 13:10:00,62.598,4352.0,,,,
14,09/13/24 13:20:00,62.083,1152.0,,,,
15,09/13/24 13:30:00,62.425,2560.0,,,,
16,09/13/24 13:40:00,62.940,5120.0,,,,
17,09/13/24 13:50:00,62.769,1728.0,,,,
18,09/13/24 14:00:00,62.940,1344.0,,,,
19,09/13/24 14:10:00,62.940,4864.0,,,,
20,09/13/24 14:20:00,63.111,2304.0,,,,
21,09/13/24 14:30:00,63.111,2048.0,,,,
22,09/13/24 14:40:00,62.425,1088.0,,,,
23,09/13/24 14:50:00,63.282,3456.0,,,,
24,09/13/24 15:00:00,62.598,864.0,,,,
25,09/13/24 15:10:00,63.111,3968.0,,,,
26,09/13/24 15:20:00,62.940,3584.0,,,,
27,09/13/24 15:30:00,62.940,2816.0,,,,
28,09/13/24 15:40:00,62.254,496.0,,,,
29,09/13/24 15:50:00,62.254,480.0,,,,
30,09/13/24 16:00:00,63.111,2048.0,,,,
31,09/13/24 16:10:00,62.254,336.0,,,,
32,09/13/24 16:20:00,62.425,336.0,,,,
33,09/13/24 16:30:00,62.425,232.0,,,,
34,09/13/24 16:40:00,62.254,576.0,,,,
35,09/13/24 16:50:00,62.083,1536.0,,,,
36,09/13/24 17:00:00,61.741,192.0,,,,
37,09/13/24 17:10:00,62.254,2048.0,,,,
38,09/13/24 17:20:00,62.083,672.0,,,,
39,09/13/24 17:30:00,62.083,480.0,,,,
40,09/13/24 17:40:00,62.083,432.0,,,,
41,09/13/24 17:50:00,61.741,800.0,,,,
42,09/13/24 18:00:00,61.741,352.0,,,,
43,09/13/24 18:10:00,61.569,704.0,,,,
44,09/13/24 18:20:00,61.569,208.0,,,,
45,09/13/24 18:30:00,61.398,128.0,,,,
46,09/13/24 18:40:00,61.227,93.0,,,,
47,09/13/24 18:50:00,61.227,89.0,,,,
48,09/13/24 19:00:00,61.054,58.0,,,,
49,09/13/24 19:10:00,61.054,56.0,,,,
50,09/13/24 19:20:00,60.883,31.0,,,,
51,09/13/24 19:30:00,60.883,12.0,,,,
52,09/13/24 19:40:00,60.712,7.0,,,,
53,09/13/24 19:50:00,60.712,0.0,,,,
54,09/13/24 20:00:00,60.712,0.0,,,,
55,09/13/24 20:10:00,60.712,0.0,,,,
56,09/13/24 20:20:00,60.712,0.0,,,,
57,09/13/24 20:30:00,60.539,0.0,,,,
58,09/13/24 20:40:00,60.539,0.0,,,,
59,09/13/24 20:50:00,60.539,0.0,,,,
60,09/13/24 21:00:00,60.539,0.0,,,,
61,09/13/24 21:10:00,60.368,0.0,,,,
62,09/13/24 21:20:00,60.368,0.0,,,,
63,09/13/24 21:30:00,60.368,0.0,,,,
64,09/13/24 21:40:00,60.368,0.0,,,,
65,09/13/24 21:50:00,60.368,0.0,,,,
66,09/13/24 22:00:00,60.368,0.0,,,,
67,09/13/24 22:10:00,60.368,0.0,,,,
68,09/13/24 22:20:00,60.368,0.0,,,,
69,09/13/24 22:30:00,60.195,0.0,,,,
70,09/13/24 22:40:00,60.195,0.0,,,,
71,09/13/24 22:50:00,60.195,0.0,,,,
72,09/13/24 23:00:00,60.195,0.0,,,,
73,09/13/24 23:10:00,60.195,0.0,,,,
74,09/13/24 23:20:00,60.195,0.0,,,,
75,09/13/24 23:30:00,60.195,0.0,,,,
76,09/13/24 23:40:00,60.195,0.0,,,,
77,09/13/24 23:50:00,60.195,0.0,,,,
78,09/14/24 00:00:00,60.024,0.0,,,,
79,09/14/24 00:10:00,60.024,0.0,,,,
80,09/14/24 00:20:00,60.024,0.0,,,,
81,09/14/24 00:30:00,60.024,0.0,,,,
82,09/14/24 00:40:00,60.024,0.0,,,,
83,09/14/24 00:50:00,60.024,0.0,,,,
84,09/14/24 01:00:00,60.024,0.0,,,,
85,09/14/24 01:10:00,60.024,0.0,,,,
86,09/14/24 01:20:00,60.024,0.0,,,,
87,09/14/24 01:30:00,59.851,0.0,,,,
88,09/14/24 01:40:00,59.851,0.0,,,,
89,09/14/24 01:50:00,59.851,0.0,,,,
90,09/14/24 02:00:00,59.851,0.0,,,,
91,09/14/24 02:10:00,59.851,0.0,,,,
92,09/14/24 02:20:00,59.851,0.0,,,,
93,09/14/24 02:30:00,59.851,0.0,,,,
94,09/14/24 02:40:00,59.851,0.0,,,,
95,09/14/24 02:50:00,59.851,0.0,,,,
96,09/14/24 03:00:00,59.851,0.0,,,,
97,09/14/24 03:10:00,59.851,0.0,,,,
98,09/14/24 03:20:00,59.851,0.0,,,,
99,09/14/24 03:30:00,59.851,0.0,,,,
100,09/14/24 03:40:00,59.851,0.0,,,,
101,09/14/24 03:50:00,59.851,0.0,,,,
102,09/14/24 04:00:00,59.851,0.0,,,,
103,09/14/24 04:10:00,59.851,0.0,,,,
104,09/14/24 04:20:00,59.851,0.0,,,,
105,09/14/24 04:30:00,59.851,0.0,,,,
106,09/14/24 04:40:00,59.851,0.0,,,,
107,09/14/24 04:50:00,59.851,0.0,,,,
108,09/14/24 05:00:00,59.851,0.0,,,,
109,09/14/24 05:10:00,59.851,0.0,,,,
110,09/14/24 05:20:00,59.851,0.0,,,,
111,09/14/24 05:30:00,59.851,0.0,,,,
112,09/14/24 05:40:00,59.851,0.0,,,,
113,09/14/24 05:50:00,59.851,0.0,,,,
114,09/14/24 06:00:00,59.851,0.0,,,,
115,09/14/24 06:10:00,59.851,0.0,,,,
116,09/14/24 06:20:00,59.851,0.0,,,,
117,09/14/24 06:30:00,59.851,0.0,,,,
118,09/14/24 06:40:00,59.851,0.0,,,,
119,09/14/24 06:50:00,59.851,0.0,,,,
120,09/14/24 07:00:00,59.851,4.0,,,,
121,09/14/24 07:10:00,59.851,14.0,,,,
122,09/14/24 07:20:00,59.851,33.0,,,,
123,09/14/24 07:30:00,59.851,53.0,,,,
124,09/14/24 07:40:00,60.024,128.0,,,,
125,09/14/24 07:50:00,60.195,152.0,,,,
126,09/14/24 08:00:00,60.368,184.0,,,,
127,09/14/24 08:10:00,60.368,232.0,,,,
128,09/14/24 08:20:00,60.368,272.0,,,,
129,09/14/24 08:30:00,60.539,368.0,,,,
130,09/14/24 08:40:00,60.539,464.0,,,,
131,09/14/24 08:50:00,60.539,608.0,,,,
132,09/14/24 09:00:00,60.883,480.0,,,,
133,09/14/24 09:10:00,60.883,256.0,,,,
134,09/14/24 09:20:00,61.054,384.0,,,,
135,09/14/24 09:30:00,61.054,1088.0,,,,
136,09/14/24 09:40:00,61.054,480.0,,,,
137,09/14/24 09:50:00,61.054,480.0,,,,
138,09/14/24 10:00:00,61.054,320.0,,,,
139,09/14/24 10:10:00,61.227,704.0,,,,
140,09/14/24 10:20:00,61.398,768.0,,,,
141,09/14/24 10:30:00,61.398,864.0,,,,
142,09/14/24 10:40:00,61.398,496.0,,,,
143,09/14/24 10:50:00,61.741,800.0,,,,
144,09/14/24 11:00:00,61.912,1536.0,,,,
145,09/14/24 11:10:00,61.912,608.0,,,,
146,09/14/24 11:20:00,62.254,1344.0,,,,
147,09/14/24 11:30:00,61.398,576.0,,,,
148,09/14/24 11:40:00,61.227,496.0,,,,
149,09/14/24 11:50:00,61.227,704.0,,,,
150,09/14/24 12:00:00,61.227,704.0,,,,
151,09/14/24 12:10:00,61.569,896.0,,,,
152,09/14/24 12:20:00,61.398,416.0,,,,
153,09/14/24 12:30:00,61.569,800.0,,,,
154,09/14/24 12:40:00,61.741,1344.0,,,,
155,09/14/24 12:50:00,63.111,2432.0,,,,
156,09/14/24 13:00:00,63.111,464.0,,,,
157,09/14/24 13:10:00,63.111,8192.0,,,,
158,09/14/24 13:20:00,63.282,3200.0,,,,
159,09/14/24 13:30:00,63.455,3072.0,,,,
160,09/14/24 13:40:00,63.455,3840.0,,,,
161,09/14/24 13:50:00,63.626,8704.0,,,,
162,09/14/24 14:00:00,63.626,3200.0,,,,
163,09/14/24 14:10:00,63.626,3328.0,,,,
164,09/14/24 14:20:00,63.797,3200.0,,,,
165,09/14/24 14:30:00,63.797,1600.0,,,,
166,09/14/24 14:40:00,63.797,3328.0,,,,
167,09/14/24 14:50:00,63.626,3072.0,,,,
168,09/14/24 15:00:00,63.626,1728.0,,,,
169,09/14/24 15:10:00,63.626,3072.0,,,,
170,09/14/24 15:20:00,63.455,3328.0,,,,
171,09/14/24 15:30:00,63.455,1856.0,,,,
172,09/14/24 15:40:00,63.282,3200.0,,,,
173,09/14/24 15:50:00,63.282,2944.0,,,,
174,09/14/24 16:00:00,63.111,2816.0,,,,
175,09/14/24 16:10:00,63.111,2688.0,,,,
176,09/14/24 16:20:00,62.940,2304.0,,,,
177,09/14/24 16:30:00,63.111,4352.0,,,,
178,09/14/24 16:40:00,62.769,1152.0,,,,
179,09/14/24 16:50:00,62.425,1920.0,,,,
180,09/14/24 17:00:00,62.425,1280.0,,,,
181,09/14/24 17:10:00,62.254,1728.0,,,,
182,09/14/24 17:20:00,62.254,768.0,,,,
183,09/14/24 17:30:00,62.083,1472.0,,,,
184,09/14/24 17:40:00,61.912,768.0,,,,
185,09/14/24 17:50:00,61.741,1344.0,,,,
186,09/14/24 18:00:00,61.741,896.0,,,,
187,09/14/24 18:10:00,61.569,1152.0,,,,
188,09/14/24 18:20:00,61.741,320.0,,,,
189,09/14/24 18:30:00,61.569,124.0,,,,
190,09/14/24 18:40:00,61.398,100.0,,,,
191,09/14/24 18:50:00,61.398,87.0,,,,
192,09/14/24 19:00:00,61.227,66.0,,,,
193,09/14/24 19:10:00,61.227,48.0,,,,
194,09/14/24 19:20:00,61.054,28.0,,,,
195,09/14/24 19:30:00,61.054,14.0,,,,
196,09/14/24 19:40:00,60.883,4.0,,,,
197,09/14/24 19:50:00,60.883,0.0,,,,
198,09/14/24 20:00:00,60.712,0.0,,,,
199,09/14/24 20:10:00,60.712,0.0,,,,
200,09/14/24 20:20:00,60.539,0.0,,,,
201,09/14/24 20:30:00,60.539,0.0,,,,
202,09/14/24 20:40:00,60.539,0.0,,,,
203,09/14/24 20:50:00,60.368,0.0,,,,
204,09/14/24 21:00:00,60.368,0.0,,,,
205,09/14/24 21:10:00,60.368,0.0,,,,
206,09/14/24 21:20:00,60.195,0.0,,,,
207,09/14/24 21:30:00,60.195,0.0,,,,
208,09/14/24 21:40:00,60.195,0.0,,,,
209,09/14/24 21:50:00,60.195,0.0,,,,
210,09/14/24 22:00:00,60.195,0.0,,,,
211,09/14/24 22:10:00,60.195,0.0,,,,
212,09/14/24 22:20:00,60.024,0.0,,,,
213,09/14/24 22:30:00,60.024,0.0,,,,
214,09/14/24 22:40:00,60.024,0.0,,,,
215,09/14/24 22:50:00,60.024,0.0,,,,
216,09/14/24 23:00:00,60.024,0.0,,,,
217,09/14/24 23:10:00,60.024,0.0,,,,
218,09/14/24 23:20:00,60.024,0.0,,,,
219,09/14/24 23:30:00,60.024,0.0,,,,
220,09/14/24 23:40:00,60.024,0.0,,,,
221,09/14/24 23:50:00,60.024,0.0,,,,
222,09/15/24 00:00:00,60.024,0.0,,,,
223,09/15/24 00:10:00,60.024,0.0,,,,
224,09/15/24 00:20:00,60.024,0.0,,,,
225,09/15/24 00:30:00,60.024,0.0,,,,
226,09/15/24 00:40:00,60.024,0.0,,,,
227,09/15/24 00:50:00,60.024,0.0,,,,
228,09/15/24 01:00:00,59.851,0.0,,,,
229,09/15/24 01:10:00,59.851,0.0,,,,
230,09/15/24 01:20:00,59.851,0.0,,,,
231,09/15/24 01:30:00,59.851,0.0,,,,
232,09/15/24 01:40:00,59.851,0.0,,,,
233,09/15/24 01:50:00,59.851,0.0,,,,
234,09/15/24 02:00:00,59.851,0.0,,,,
235,09/15/24 02:10:00,59.851,0.0,,,,
236,09/15/24 02:20:00,59.851,0.0,,,,
237,09/15/24 02:30:00,59.851,0.0,,,,
238,09/15/24 02:40:00,59.851,0.0,,,,
239,09/15/24 02:50:00,59.851,0.0,,,,
240,09/15/24 03:00:00,59.851,0.0,,,,
241,09/15/24 03:10:00,59.851,0.0,,,,
242,09/15/24 03:20:00,59.851,0.0,,,,
243,09/15/24 03:30:00,59.851,0.0,,,,
244,09/15/24 03:40:00,59.851,0.0,,,,
245,09/15/24 03:50:00,59.851,0.0,,,,
246,09/15/24 04:00:00,59.851,0.0,,,,
247,09/15/24 04:10:00,59.851,0.0,,,,
248,09/15/24 04:20:00,59.851,0.0,,,,
249,09/15/24 04:30:00,59.851,0.0,,,,
250,09/15/24 04:40:00,59.680,0.0,,,,
251,09/15/24 04:50:00,59.680,0.0,,,,
252,09/15/24 05:00:00,59.680,0.0,,,,
253,09/15/24 05:10:00,59.680,0.0,,,,
254,09/15/24 05:20:00,59.680,0.0,,,,
255,09/15/24 05:30:00,59.680,0.0,,,,
256,09/15/24 05:40:00,59.680,0.0,,,,
257,09/15/24 05:50:00,59.680,0.0,,,,
258,09/15/24 06:00:00,59.680,0.0,,,,
259,09/15/24 06:10:00,59.680,0.0,,,,
260,09/15/24 06:20:00,59.508,0.0,,,,
261,09/15/24 06:30:00,59.508,0.0,,,,
262,09/15/24 06:40:00,59.508,0.0,,,,
263,09/15/24 06:50:00,59.680,1.0,,,,
264,09/15/24 07:00:00,59.680,8.0,,,,
265,09/15/24 07:10:00,59.508,15.0,,,,
266,09/15/24 07:20:00,59.680,20.0,,,,
267,09/15/24 07:30:00,59.680,43.0,,,,
268,09/15/24 07:40:00,59.680,33.0,,,,
269,09/15/24 07:50:00,59.680,128.0,,,,
270,09/15/24 08:00:00,59.851,108.0,,,,
271,09/15/24 08:10:00,60.024,184.0,,,,
272,09/15/24 08:20:00,60.024,192.0,,,,
273,09/15/24 08:30:00,60.195,416.0,,,,
274,09/15/24 08:40:00,60.368,608.0,,,,
275,09/15/24 08:50:00,60.195,288.0,,,,
276,09/15/24 09:00:00,60.195,272.0,,,,
277,09/15/24 09:10:00,60.539,232.0,,,,
278,09/15/24 09:20:00,60.368,320.0,,,,
279,09/15/24 09:30:00,60.539,576.0,,,,
280,09/15/24 09:40:00,60.712,432.0,,,,
281,09/15/24 09:50:00,60.712,608.0,,,,
282,09/15/24 10:00:00,61.398,896.0,,,,
283,09/15/24 10:10:00,61.741,768.0,,,,
284,09/15/24 10:20:00,62.083,1984.0,,,,
285,09/15/24 10:30:00,62.254,3072.0,,,,
286,09/15/24 10:40:00,62.254,1280.0,,,,
287,09/15/24 10:50:00,62.425,2048.0,,,,
288,09/15/24 11:00:00,62.254,4352.0,,,,
