"","datetime","temp","do","do_sat"
"5",2024-05-18 13:40:00,18.034,7.527,79.565166
"6",2024-05-18 13:50:00,20.434,7.148,79.296578
"7",2024-05-18 14:00:00,20.91,7.091,79.40383
"8",2024-05-18 14:10:00,19.144,7.179,77.618312
"9",2024-05-18 14:20:00,19.63,7.221,78.83749
"10",2024-05-18 14:30:00,19.856,7.222,79.204736
"11",2024-05-18 14:40:00,18.051,7.41,78.355717
"12",2024-05-18 14:50:00,19.395,7.22,78.456494
"15",2024-05-18 15:20:00,6.608,9.338,76.178405
"286",2024-05-20 12:30:00,6.219,9.379,75.767582
"289",2024-05-20 13:00:00,6.306,9.35,75.699309
"291",2024-05-20 13:20:00,6.394,9.373,76.053943
"292",2024-05-20 13:30:00,6.375,9.377,76.050011
"293",2024-05-20 13:40:00,6.423,9.359,75.995786
"295",2024-05-20 14:00:00,6.443,9.374,76.155891
"297",2024-05-20 14:20:00,6.394,9.377,76.086399
"298",2024-05-20 14:30:00,6.375,9.379,76.066232
"441",2024-05-21 14:20:00,6.228,9.373,75.736322
"443",2024-05-21 14:40:00,6.228,9.373,75.736322
"622",2024-05-22 20:30:00,6.199,9.375,75.69702
"624",2024-05-22 20:50:00,6.219,9.375,75.735269
"625",2024-05-22 21:00:00,6.228,9.377,75.768643
"626",2024-05-22 21:10:00,6.219,9.369,75.686798
"631",2024-05-22 22:00:00,6.199,9.374,75.688945
"855",2024-05-24 11:20:00,6.511,9.307,75.74091
"856",2024-05-24 11:30:00,6.491,9.308,75.710997
"857",2024-05-24 11:40:00,6.53,9.306,75.768918
"858",2024-05-24 11:50:00,6.511,9.32,75.846705
"859",2024-05-24 12:00:00,6.462,9.317,75.728985
"860",2024-05-24 12:10:00,6.433,9.322,75.714388
"861",2024-05-24 12:20:00,6.443,9.344,75.912166
"862",2024-05-24 12:30:00,6.472,9.349,76.008187
"863",2024-05-24 12:40:00,6.511,9.327,75.903672
"864",2024-05-24 12:50:00,6.569,9.334,76.071323
"865",2024-05-24 13:00:00,6.608,9.34,76.194721
"866",2024-05-24 13:10:00,6.588,9.336,76.123899
"867",2024-05-24 13:20:00,6.598,9.337,76.151149
"868",2024-05-24 13:30:00,6.559,9.35,76.182602
"869",2024-05-24 13:40:00,6.578,9.351,76.227082
"870",2024-05-24 13:50:00,6.588,9.35,76.238052
"871",2024-05-24 14:00:00,6.608,9.35,76.2763
"872",2024-05-24 14:10:00,6.704,9.324,76.247343
"873",2024-05-24 14:20:00,6.974,9.355,77.018292
"874",2024-05-24 14:30:00,6.926,9.321,76.646652
"875",2024-05-24 14:40:00,6.965,9.363,77.066877
"876",2024-05-24 14:50:00,6.974,9.33,76.812471
"877",2024-05-24 15:00:00,6.965,9.327,76.770561
"878",2024-05-24 15:10:00,6.946,9.341,76.849409
"879",2024-05-24 15:20:00,6.917,9.349,76.85965
"880",2024-05-24 15:30:00,6.859,9.355,76.797786
"881",2024-05-24 15:40:00,6.84,9.36,76.802397
"882",2024-05-24 15:50:00,6.811,9.356,76.713997
"883",2024-05-24 16:00:00,6.791,9.374,76.82319
"885",2024-05-24 16:20:00,6.714,9.374,76.675407
"886",2024-05-24 16:30:00,6.743,9.378,76.763799
"887",2024-05-24 16:40:00,6.724,9.378,76.727322
"889",2024-05-24 17:00:00,6.82,9.354,76.714842
"890",2024-05-24 17:10:00,6.946,9.359,76.997497
"891",2024-05-24 17:20:00,6.917,9.345,76.826765
"892",2024-05-24 17:30:00,6.897,9.341,76.755591
"893",2024-05-24 17:40:00,6.83,9.358,76.766816
"894",2024-05-24 17:50:00,6.762,9.361,76.66106
"895",2024-05-24 18:00:00,6.733,9.362,76.613664
"896",2024-05-24 18:10:00,6.656,9.359,76.441624
"897",2024-05-24 18:20:00,6.656,9.378,76.596811
"898",2024-05-24 18:30:00,6.724,9.364,76.612779
"899",2024-05-24 18:40:00,6.685,9.364,76.538031
"900",2024-05-24 18:50:00,6.675,9.363,76.510697
"901",2024-05-24 19:00:00,6.637,9.368,76.478717
"902",2024-05-24 19:10:00,6.598,9.368,76.403981
"903",2024-05-24 19:20:00,6.656,9.366,76.498798
"904",2024-05-24 19:30:00,6.675,9.373,76.592413
"905",2024-05-24 19:40:00,6.637,9.371,76.503208
"906",2024-05-24 19:50:00,6.762,9.371,76.742954
"908",2024-05-24 20:10:00,6.811,9.372,76.845189
"909",2024-05-24 20:20:00,6.849,9.376,76.950971
"911",2024-05-24 20:40:00,6.907,9.367,76.988432
"912",2024-05-24 20:50:00,6.897,9.372,77.01032
"913",2024-05-24 21:00:00,6.888,9.376,77.025896
"914",2024-05-24 21:10:00,6.955,9.371,77.113512
"915",2024-05-24 21:20:00,6.946,9.365,77.046859
"916",2024-05-24 21:30:00,6.926,9.37,77.04958
"917",2024-05-24 21:40:00,6.974,9.353,77.001826
"919",2024-05-24 22:00:00,6.869,9.36,76.85801
"920",2024-05-24 22:10:00,6.878,9.378,77.023109
"921",2024-05-24 22:20:00,6.888,9.371,76.98482
"922",2024-05-24 22:30:00,6.936,9.351,76.91251
"923",2024-05-24 22:40:00,6.897,9.36,76.911716
"924",2024-05-24 22:50:00,6.859,9.348,76.740321
"925",2024-05-24 23:00:00,6.84,9.353,76.74496
"926",2024-05-24 23:10:00,6.811,9.353,76.689399
"927",2024-05-24 23:20:00,6.782,9.362,76.707591
"928",2024-05-24 23:30:00,6.733,9.359,76.589114
"929",2024-05-24 23:40:00,6.733,9.367,76.654581
"930",2024-05-24 23:50:00,6.714,9.347,76.454558
"931",2024-05-25,6.666,9.358,76.452605
"932",2024-05-25 00:10:00,6.666,9.352,76.403586
"933",2024-05-25 00:20:00,6.637,9.346,76.299112
"934",2024-05-25 00:30:00,6.617,9.346,76.260874
"935",2024-05-25 00:40:00,6.598,9.342,76.191928
"936",2024-05-25 00:50:00,6.569,9.347,76.177272
"937",2024-05-25 01:00:00,6.54,9.357,76.203287
"938",2024-05-25 01:10:00,6.511,9.345,76.050157
"939",2024-05-25 01:20:00,6.491,9.333,75.914347
"940",2024-05-25 01:30:00,6.452,9.329,75.807459
"941",2024-05-25 01:40:00,6.404,9.327,75.699743
"950",2024-05-25 03:10:00,6.753,9.353,76.57831
"951",2024-05-25 03:20:00,6.704,9.361,76.549912
"952",2024-05-25 03:30:00,6.733,9.353,76.540013
"953",2024-05-25 03:40:00,6.753,9.338,76.455496
"954",2024-05-25 03:50:00,6.685,9.348,76.407253
"955",2024-05-25 04:00:00,6.617,9.344,76.244554
"956",2024-05-25 04:10:00,6.569,9.361,76.291371
"957",2024-05-25 04:20:00,6.704,9.354,76.492669
"958",2024-05-25 04:30:00,6.733,9.348,76.499096
"959",2024-05-25 04:40:00,6.791,9.341,76.552743
"960",2024-05-25 04:50:00,6.762,9.329,76.398999
"961",2024-05-25 05:00:00,6.724,9.329,76.326422
"962",2024-05-25 05:10:00,6.656,9.339,76.27827
"963",2024-05-25 05:20:00,6.617,9.333,76.154797
"964",2024-05-25 05:30:00,6.588,9.327,76.050515
"965",2024-05-25 05:40:00,6.549,9.334,76.033151
"966",2024-05-25 05:50:00,6.53,9.356,76.176015
"967",2024-05-25 06:00:00,6.588,9.362,76.335898
"968",2024-05-25 06:10:00,6.578,9.348,76.202627
"969",2024-05-25 06:20:00,6.578,9.319,75.966226
"970",2024-05-25 06:30:00,6.549,9.347,76.139047
"971",2024-05-25 06:40:00,6.54,9.342,76.081127
"972",2024-05-25 06:50:00,6.53,9.339,76.037602
"973",2024-05-25 07:00:00,6.481,9.365,76.155494
"974",2024-05-25 07:10:00,6.472,9.351,76.024447
"975",2024-05-25 07:20:00,6.501,9.354,76.104279
"976",2024-05-25 07:30:00,6.491,9.353,76.077026
"977",2024-05-25 07:40:00,6.501,9.351,76.079871
"978",2024-05-25 07:50:00,6.501,9.366,76.201911
"979",2024-05-25 08:00:00,6.481,9.366,76.163626
"980",2024-05-25 08:10:00,6.53,9.347,76.102737
"981",2024-05-25 08:20:00,6.511,9.369,76.24547
"983",2024-05-25 08:40:00,6.52,9.375,76.311546
"989",2024-05-25 09:40:00,6.588,9.378,76.466359
"990",2024-05-25 09:50:00,6.569,9.378,76.429919
"993",2024-05-25 10:20:00,6.598,9.379,76.493695
"994",2024-05-25 10:30:00,6.714,9.361,76.569072
"995",2024-05-25 10:40:00,6.772,9.359,76.663845
