"","datetime","temp","do","do_sat"
"2",2024-05-18 13:10:00,22.38,6.712,77.330085
"5",2024-05-18 13:40:00,23.291,6.732,78.915857
"86",2024-05-19 03:10:00,4.962,9.23,72.207309
"108",2024-05-19 06:50:00,5.132,9.24,72.603364
"109",2024-05-19 07:00:00,5.062,9.246,72.519508
"113",2024-05-19 07:40:00,5.082,9.216,72.321508
"117",2024-05-19 08:20:00,5.022,9.235,72.358492
"118",2024-05-19 08:30:00,5.002,9.215,72.164507
"119",2024-05-19 08:40:00,5.002,9.206,72.094026
"377",2024-05-21 03:40:00,6.353,9.233,74.840652
"378",2024-05-21 03:50:00,6.353,9.237,74.873075
"380",2024-05-21 04:10:00,6.304,9.243,74.829244
"381",2024-05-21 04:20:00,6.314,9.243,74.848112
"382",2024-05-21 04:30:00,6.324,9.246,74.891281
"383",2024-05-21 04:40:00,6.285,9.226,74.655835
"384",2024-05-21 04:50:00,6.285,9.231,74.696295
"385",2024-05-21 05:00:00,6.226,9.235,74.617477
"386",2024-05-21 05:10:00,6.236,9.234,74.628237
"387",2024-05-21 05:20:00,6.304,9.231,74.732094
"388",2024-05-21 05:30:00,6.333,9.229,74.770541
"389",2024-05-21 05:40:00,6.333,9.224,74.730033
"390",2024-05-21 05:50:00,6.343,9.229,74.789384
"391",2024-05-21 06:00:00,6.382,9.217,74.765545
"392",2024-05-21 06:10:00,6.411,9.215,74.803906
"393",2024-05-21 06:20:00,6.411,9.215,74.803906
"394",2024-05-21 06:30:00,6.411,9.204,74.714612
"395",2024-05-21 06:40:00,6.431,9.211,74.809069
"396",2024-05-21 06:50:00,6.47,9.209,74.866211
"397",2024-05-21 07:00:00,6.479,9.221,74.980727
"398",2024-05-21 07:10:00,6.47,9.22,74.955638
"399",2024-05-21 07:20:00,6.479,9.227,75.029516
"400",2024-05-21 07:30:00,6.499,9.222,75.026555
"401",2024-05-21 07:40:00,6.489,9.222,75.007706
"402",2024-05-21 07:50:00,6.518,9.217,75.021674
"403",2024-05-21 08:00:00,6.508,9.204,74.897046
"404",2024-05-21 08:10:00,6.508,9.205,74.905184
"405",2024-05-21 08:20:00,6.499,9.215,74.969606
"406",2024-05-21 08:30:00,6.518,9.225,75.08679
"407",2024-05-21 08:40:00,6.576,9.216,75.122825
"408",2024-05-21 08:50:00,6.538,9.236,75.214088
"409",2024-05-21 09:00:00,6.528,9.211,74.991667
"410",2024-05-21 09:10:00,6.528,9.222,75.081224
"411",2024-05-21 09:20:00,6.46,9.226,74.985562
"413",2024-05-21 09:40:00,6.45,9.23,74.999213
"414",2024-05-21 09:50:00,6.47,9.242,75.134491
"415",2024-05-21 10:00:00,6.45,9.236,75.047966
"416",2024-05-21 10:10:00,6.421,9.228,74.928286
"417",2024-05-21 10:20:00,6.431,9.218,74.865921
"419",2024-05-21 10:40:00,6.47,9.226,75.004416
"420",2024-05-21 10:50:00,6.44,9.244,75.094083
"421",2024-05-21 11:00:00,6.46,9.245,75.139987
"423",2024-05-21 11:20:00,6.538,9.241,75.254806
"424",2024-05-21 11:30:00,6.576,9.241,75.326609
"425",2024-05-21 11:40:00,6.596,9.245,75.397029
"428",2024-05-21 12:10:00,6.712,9.246,75.624635
"429",2024-05-21 12:20:00,6.751,9.224,75.518337
"430",2024-05-21 12:30:00,6.751,9.237,75.62477
"431",2024-05-21 12:40:00,6.731,9.222,75.464202
"432",2024-05-21 12:50:00,6.741,9.233,75.573118
"433",2024-05-21 13:00:00,6.731,9.227,75.505118
"434",2024-05-21 13:10:00,6.751,9.24,75.649331
"436",2024-05-21 13:30:00,6.828,9.235,75.754023
"437",2024-05-21 13:40:00,6.934,9.233,75.938168
"438",2024-05-21 13:50:00,7.011,9.238,76.125142
"439",2024-05-21 14:00:00,6.943,9.23,75.930523
"440",2024-05-21 14:10:00,6.789,9.241,75.729424
"441",2024-05-21 14:20:00,6.78,9.231,75.630461
"442",2024-05-21 14:30:00,6.741,9.24,75.630414
"444",2024-05-21 14:50:00,6.76,9.235,75.625413
"445",2024-05-21 15:00:00,6.731,9.221,75.456019
"447",2024-05-21 15:20:00,6.702,9.231,75.483054
"449",2024-05-21 15:40:00,6.693,9.245,75.580504
"451",2024-05-21 16:00:00,6.673,9.202,75.191303
"454",2024-05-21 16:30:00,6.654,9.24,75.465885
"455",2024-05-21 16:40:00,6.518,9.21,74.964698
"458",2024-05-21 17:10:00,6.673,9.236,75.469124
"463",2024-05-21 18:00:00,6.363,9.238,74.900045
"464",2024-05-21 18:10:00,6.177,9.245,74.60587
"473",2024-05-21 19:40:00,5.913,9.246,74.116558
"484",2024-05-21 21:30:00,5.972,9.241,74.187496
"486",2024-05-21 21:50:00,5.962,9.245,74.200781
"487",2024-05-21 22:00:00,5.972,9.239,74.17144
"489",2024-05-21 22:20:00,5.913,9.23,73.988301
"490",2024-05-21 22:30:00,5.884,9.234,73.965855
"492",2024-05-21 22:50:00,5.913,9.243,74.09251
"493",2024-05-21 23:00:00,5.952,9.235,74.101714
"494",2024-05-21 23:10:00,5.933,9.239,74.098066
"496",2024-05-21 23:30:00,5.942,9.238,74.106975
"497",2024-05-21 23:40:00,5.972,9.236,74.147356
"499",2024-05-22,5.962,9.234,74.112494
"500",2024-05-22 00:10:00,5.962,9.223,74.024208
"501",2024-05-22 00:20:00,5.933,9.231,74.033905
"502",2024-05-22 00:30:00,5.952,9.232,74.077642
"503",2024-05-22 00:40:00,5.933,9.23,74.025884
"504",2024-05-22 00:50:00,5.913,9.237,74.044413
"505",2024-05-22 01:00:00,5.874,9.237,73.971085
"506",2024-05-22 01:10:00,5.893,9.233,73.974759
"507",2024-05-22 01:20:00,5.884,9.237,73.989885
"508",2024-05-22 01:30:00,5.864,9.236,73.94428
"509",2024-05-22 01:40:00,5.893,9.229,73.942711
"510",2024-05-22 01:50:00,5.854,9.236,73.925484
"511",2024-05-22 02:00:00,5.854,9.229,73.869456
"512",2024-05-22 02:10:00,5.834,9.229,73.831897
"513",2024-05-22 02:20:00,5.834,9.223,73.783897
"514",2024-05-22 02:30:00,5.805,9.237,73.841399
"515",2024-05-22 02:40:00,5.825,9.232,73.838992
"516",2024-05-22 02:50:00,5.844,9.228,73.842674
"517",2024-05-22 03:00:00,5.825,9.232,73.838992
"518",2024-05-22 03:10:00,5.775,9.239,73.801009
"519",2024-05-22 03:20:00,5.795,9.224,73.718712
"520",2024-05-22 03:30:00,5.756,9.222,73.629579
"521",2024-05-22 03:40:00,5.746,9.237,73.730557
"522",2024-05-22 03:50:00,5.805,9.227,73.761458
"523",2024-05-22 04:00:00,5.805,9.226,73.753464
"524",2024-05-22 04:10:00,5.775,9.222,73.665213
"525",2024-05-22 04:20:00,5.864,9.222,73.832195
"526",2024-05-22 04:30:00,5.844,9.228,73.842674
"527",2024-05-22 04:40:00,5.834,9.229,73.831897
"528",2024-05-22 04:50:00,5.913,9.232,74.004333
"529",2024-05-22 05:00:00,5.962,9.224,74.032234
"530",2024-05-22 05:10:00,5.962,9.23,74.08039
"531",2024-05-22 05:20:00,5.982,9.234,74.150107
"532",2024-05-22 05:30:00,5.991,9.234,74.167034
"533",2024-05-22 05:40:00,6.031,9.227,74.185999
"534",2024-05-22 05:50:00,6.05,9.214,74.117149
"535",2024-05-22 06:00:00,6.011,9.22,74.09215
"536",2024-05-22 06:10:00,6.021,9.231,74.199352
"537",2024-05-22 06:20:00,6.031,9.233,74.234239
"538",2024-05-22 06:30:00,6.031,9.227,74.185999
"539",2024-05-22 06:40:00,6.031,9.224,74.161878
"540",2024-05-22 06:50:00,6.001,9.233,74.177809
"541",2024-05-22 07:00:00,6.031,9.217,74.105598
"542",2024-05-22 07:10:00,6.031,9.224,74.161878
"543",2024-05-22 07:20:00,6.04,9.224,74.178793
"544",2024-05-22 07:30:00,6.031,9.221,74.137758
"545",2024-05-22 07:40:00,6.031,9.219,74.121678
"546",2024-05-22 07:50:00,6.021,9.221,74.118971
"547",2024-05-22 08:00:00,6.021,9.231,74.199352
"548",2024-05-22 08:10:00,6.031,9.229,74.202079
"549",2024-05-22 08:20:00,6.021,9.24,74.271694
"550",2024-05-22 08:30:00,6.021,9.228,74.175238
"552",2024-05-22 08:50:00,6.011,9.233,74.196618
"553",2024-05-22 09:00:00,6.011,9.233,74.196618
"556",2024-05-22 09:30:00,6.001,9.242,74.250115
"564",2024-05-22 10:50:00,5.942,9.238,74.106975
"568",2024-05-22 11:30:00,5.903,9.241,74.057665
"571",2024-05-22 12:00:00,5.884,9.239,74.005906
"576",2024-05-22 12:50:00,5.716,9.246,73.745998
"577",2024-05-22 13:00:00,5.657,9.218,73.412126
"578",2024-05-22 13:10:00,5.608,9.216,73.304444
"579",2024-05-22 13:20:00,5.578,9.205,73.160857
"580",2024-05-22 13:30:00,5.558,9.216,73.210851
"581",2024-05-22 13:40:00,5.499,9.189,72.886292
"582",2024-05-22 13:50:00,5.341,9.145,72.24415
"583",2024-05-22 14:00:00,5.311,9.151,72.235891
"584",2024-05-22 14:10:00,5.291,9.154,72.222461
"585",2024-05-22 14:20:00,5.241,9.167,72.232142
"586",2024-05-22 14:30:00,5.221,9.159,72.131992
"587",2024-05-22 14:40:00,5.201,9.146,71.992556
"588",2024-05-22 14:50:00,5.162,9.147,71.928178
"760",2024-05-23 19:30:00,5.469,9.091,72.053609
"761",2024-05-23 19:40:00,5.578,9.159,72.795251
"762",2024-05-23 19:50:00,5.479,9.107,72.198905
"763",2024-05-23 20:00:00,5.608,9.108,72.445408
"764",2024-05-23 20:10:00,5.687,9.187,73.221256
"765",2024-05-23 20:20:00,5.637,9.142,72.769708
"766",2024-05-23 20:30:00,5.874,9.159,73.346451
"767",2024-05-23 20:40:00,6.001,9.232,74.169775
"768",2024-05-23 20:50:00,6.001,9.214,74.025164
"769",2024-05-23 21:00:00,5.933,9.136,73.271991
