MiniDOT Logger Concatenated Data File
Sensor:             7450-192798
Concatenation Date: 2024Jun20 14:48:48 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.540000,     17.072000,          7.460000,                    77.303881,      0.969000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     20.930000,          7.066000,                    79.154880,      0.971000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.520000,     27.169000,          6.347000,                    79.896789,      0.970000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.520000,     25.134000,          6.647000,                    80.641994,      0.969000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.520000,     28.676000,          6.207000,                    80.247825,      0.969000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.520000,     29.757000,          6.124000,                    80.680169,      0.969000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.530000,     25.454000,          6.448000,                    78.688353,      0.965000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.550000,      7.675000,          8.697000,                    72.853977,      0.962000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.550000,      5.780000,          9.402000,                    75.112612,      0.969000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.550000,      5.504000,          9.505000,                    75.402421,      0.971000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.550000,      5.405000,          9.543000,                    75.512157,      0.972000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.550000,      5.355000,          9.589000,                    75.778906,      0.973000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.550000,      5.315000,          9.599000,                    75.780084,      0.972000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.550000,      5.325000,          9.590000,                    75.728474,      0.972000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.550000,      5.315000,          9.596000,                    75.756400,      0.972000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.550000,      5.395000,          9.601000,                    75.951626,      0.972000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.550000,      5.405000,          9.620000,                    76.121445,      0.973000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.550000,      5.395000,          9.623000,                    76.125663,      0.972000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.550000,      5.385000,          9.603000,                    75.947969,      0.972000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.550000,      5.405000,          9.606000,                    76.010665,      0.972000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.550000,      5.415000,          9.604000,                    76.014322,      0.971000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      5.434000,          9.597000,                    75.995912,      0.972000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.550000,      5.405000,          9.627000,                    76.176835,      0.972000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.550000,      5.375000,          9.620000,                    76.062907,      0.972000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.540000,      5.365000,          9.648000,                    76.264730,      0.972000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.540000,      5.355000,          9.663000,                    76.363705,      0.971000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.540000,      5.355000,          9.652000,                    76.276775,      0.972000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.540000,      5.365000,          9.674000,                    76.470252,      0.971000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.540000,      5.395000,          9.723000,                    76.916744,      0.972000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.540000,      5.345000,          9.681000,                    76.486323,      0.971000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.540000,      5.375000,          9.719000,                    76.845675,      0.972000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.540000,      5.325000,          9.702000,                    76.612894,      0.971000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.540000,      5.286000,          9.692000,                    76.457306,      0.971000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.540000,      5.256000,          9.685000,                    76.343202,      0.972000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.540000,      5.226000,          9.710000,                    76.481246,      0.972000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.530000,      5.136000,          9.743000,                    76.563580,      0.972000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.530000,      5.136000,          9.790000,                    76.932921,      0.972000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.530000,      5.146000,          9.784000,                    76.905581,      0.972000
