MiniDOT Logger Concatenated Data File
Sensor:             7450-198892
Concatenation Date: 2024Aug02 13:15:22 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1718920260,           2024-06-20 21:51:00,           2024-06-20 15:51:00,      3.420000,     14.334000,          8.403000,                    82.135402,      0.948000
                1718920860,           2024-06-20 22:01:00,           2024-06-20 16:01:00,      3.430000,     14.091000,          8.439000,                    82.049842,      0.948000
                1718921460,           2024-06-20 22:11:00,           2024-06-20 16:11:00,      3.440000,     14.463000,          8.463000,                    82.954955,      0.949000
                1718922060,           2024-06-20 22:21:00,           2024-06-20 16:21:00,      3.450000,     14.774000,          8.448000,                    83.369410,      0.950000
                1718922660,           2024-06-20 22:31:00,           2024-06-20 16:31:00,      3.450000,     14.653000,          8.447000,                    83.141018,      0.950000
                1718923260,           2024-06-20 22:41:00,           2024-06-20 16:41:00,      3.450000,     14.351000,          8.439000,                    82.517907,      0.949000
                1718923860,           2024-06-20 22:51:00,           2024-06-20 16:51:00,      3.450000,     14.316000,          8.493000,                    82.982483,      0.950000
                1718924460,           2024-06-20 23:01:00,           2024-06-20 17:01:00,      3.460000,     14.325000,          8.468000,                    82.754481,      0.949000
                1718925060,           2024-06-20 23:11:00,           2024-06-20 17:11:00,      3.460000,     14.429000,          8.471000,                    82.971868,      0.950000
                1718925660,           2024-06-20 23:21:00,           2024-06-20 17:21:00,      3.460000,     14.524000,          8.470000,                    83.133925,      0.950000
                1718926260,           2024-06-20 23:31:00,           2024-06-20 17:31:00,      3.460000,     14.472000,          8.471000,                    83.049654,      0.950000
                1718926860,           2024-06-20 23:41:00,           2024-06-20 17:41:00,      3.470000,     14.731000,          8.462000,                    83.429761,      0.950000
                1718927460,           2024-06-20 23:51:00,           2024-06-20 17:51:00,      3.470000,     14.766000,          8.462000,                    83.493092,      0.950000
                1718928060,           2024-06-21 00:01:00,           2024-06-20 18:01:00,      3.470000,     14.757000,          8.440000,                    83.259778,      0.949000
                1718928660,           2024-06-21 00:11:00,           2024-06-20 18:11:00,      3.470000,     14.886000,          8.421000,                    83.304711,      0.949000
                1718929260,           2024-06-21 00:21:00,           2024-06-20 18:21:00,      3.470000,     14.860000,          8.423000,                    83.277641,      0.949000
                1718929860,           2024-06-21 00:31:00,           2024-06-20 18:31:00,      3.470000,     14.826000,          8.399000,                    82.979265,      0.949000
                1718930460,           2024-06-21 00:41:00,           2024-06-20 18:41:00,      3.480000,     14.826000,          8.382000,                    82.811311,      0.949000
                1718931060,           2024-06-21 00:51:00,           2024-06-20 18:51:00,      3.470000,     14.533000,          8.366000,                    82.129239,      0.949000
                1718931660,           2024-06-21 01:01:00,           2024-06-20 19:01:00,      3.470000,     14.584000,          8.426000,                    82.810072,      0.949000
                1718932260,           2024-06-21 01:11:00,           2024-06-20 19:11:00,      3.480000,     14.662000,          8.410000,                    82.793018,      0.949000
                1718932860,           2024-06-21 01:21:00,           2024-06-20 19:21:00,      3.480000,     14.705000,          8.387000,                    82.643687,      0.949000
                1718933460,           2024-06-21 01:31:00,           2024-06-20 19:31:00,      3.480000,     14.628000,          8.403000,                    82.663041,      0.950000
                1718934060,           2024-06-21 01:41:00,           2024-06-20 19:41:00,      3.480000,     14.541000,          8.424000,                    82.713023,      0.950000
                1718934660,           2024-06-21 01:51:00,           2024-06-20 19:51:00,      3.480000,     14.533000,          8.407000,                    82.531737,      0.949000
                1718935260,           2024-06-21 02:01:00,           2024-06-20 20:01:00,      3.480000,     14.515000,          8.400000,                    82.430719,      0.949000
                1718935860,           2024-06-21 02:11:00,           2024-06-20 20:11:00,      3.480000,     14.524000,          8.392000,                    82.368347,      0.950000
                1718936460,           2024-06-21 02:21:00,           2024-06-20 20:21:00,      3.480000,     14.481000,          8.401000,                    82.379522,      0.949000
                1718937060,           2024-06-21 02:31:00,           2024-06-20 20:31:00,      3.480000,     14.429000,          8.404000,                    82.315616,      0.949000
                1718937660,           2024-06-21 02:41:00,           2024-06-20 20:41:00,      3.480000,     14.403000,          8.409000,                    82.317908,      0.949000
                1718938260,           2024-06-21 02:51:00,           2024-06-20 20:51:00,      3.480000,     14.334000,          8.409000,                    82.194049,      0.949000
                1718938860,           2024-06-21 03:01:00,           2024-06-20 21:01:00,      3.480000,     14.247000,          8.435000,                    82.291590,      0.950000
                1718939460,           2024-06-21 03:11:00,           2024-06-20 21:11:00,      3.480000,     14.316000,          8.402000,                    82.093350,      0.949000
                1718940060,           2024-06-21 03:21:00,           2024-06-20 21:21:00,      3.490000,     14.290000,          8.415000,                    82.173678,      0.950000
                1718940660,           2024-06-21 03:31:00,           2024-06-20 21:31:00,      3.490000,     14.256000,          8.412000,                    82.083355,      0.950000
                1718941260,           2024-06-21 03:41:00,           2024-06-20 21:41:00,      3.490000,     14.256000,          8.406000,                    82.024808,      0.950000
                1718941860,           2024-06-21 03:51:00,           2024-06-20 21:51:00,      3.490000,     14.264000,          8.394000,                    81.922041,      0.949000
                1718942460,           2024-06-21 04:01:00,           2024-06-20 22:01:00,      3.490000,     14.256000,          8.394000,                    81.907713,      0.949000
                1718943060,           2024-06-21 04:11:00,           2024-06-20 22:11:00,      3.490000,     14.256000,          8.400000,                    81.966261,      0.950000
                1718943660,           2024-06-21 04:21:00,           2024-06-20 22:21:00,      3.490000,     14.247000,          8.391000,                    81.862327,      0.949000
                1718944260,           2024-06-21 04:31:00,           2024-06-20 22:31:00,      3.490000,     14.290000,          8.385000,                    81.880724,      0.950000
                1718944860,           2024-06-21 04:41:00,           2024-06-20 22:41:00,      3.490000,     14.316000,          8.394000,                    82.015184,      0.950000
                1718945460,           2024-06-21 04:51:00,           2024-06-20 22:51:00,      3.490000,     14.299000,          8.403000,                    82.072635,      0.950000
                1718946060,           2024-06-21 05:01:00,           2024-06-20 23:01:00,      3.490000,     14.290000,          8.402000,                    82.046731,      0.950000
                1718946660,           2024-06-21 05:11:00,           2024-06-20 23:11:00,      3.490000,     14.273000,          8.404000,                    82.035776,      0.950000
                1718947260,           2024-06-21 05:21:00,           2024-06-20 23:21:00,      3.490000,     14.273000,          8.397000,                    81.967445,      0.950000
                1718947860,           2024-06-21 05:31:00,           2024-06-20 23:31:00,      3.490000,     14.256000,          8.385000,                    81.819892,      0.949000
                1718948460,           2024-06-21 05:41:00,           2024-06-20 23:41:00,      3.490000,     14.238000,          8.406000,                    81.992527,      0.949000
                1718949060,           2024-06-21 05:51:00,           2024-06-20 23:51:00,      3.490000,     14.230000,          8.406000,                    81.978180,      0.950000
                1718949660,           2024-06-21 06:01:00,           2024-06-21 00:01:00,      3.490000,     14.204000,          8.414000,                    82.009532,      0.950000
                1718950260,           2024-06-21 06:11:00,           2024-06-21 00:11:00,      3.490000,     14.221000,          8.411000,                    82.010793,      0.949000
                1718950860,           2024-06-21 06:21:00,           2024-06-21 00:21:00,      3.490000,     14.221000,          8.425000,                    82.147299,      0.949000
