MiniDOT Logger Concatenated Data File
Sensor:             7450-302523
Concatenation Date: 2024Aug30 11:30:30 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.530000,     22.035000,          6.979000,                    79.875458,      0.948000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     26.712000,          6.397000,                    79.868759,      0.949000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.520000,     27.093000,          6.307000,                    79.285375,      0.948000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.530000,     22.027000,          6.873000,                    78.650163,      0.947000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.530000,     24.446000,          6.632000,                    79.443539,      0.948000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.520000,     26.036000,          6.467000,                    79.762127,      0.948000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.530000,     22.972000,          6.624000,                    77.182292,      0.945000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.530000,     24.731000,          6.599000,                    79.466856,      0.948000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.530000,     24.672000,          6.660000,                    80.113930,      0.949000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.530000,     21.275000,          7.113000,                    80.220001,      0.949000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.530000,     22.386000,          6.938000,                    79.943052,      0.949000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.530000,     23.365000,          6.836000,                    80.247013,      0.950000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.530000,     20.957000,          7.257000,                    81.337483,      0.951000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.520000,     24.278000,          6.874000,                    82.085608,      0.952000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.520000,     25.421000,          6.669000,                    81.336170,      0.952000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.530000,     23.909000,          6.799000,                    80.632717,      0.951000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.530000,     19.803000,          6.813000,                    74.640315,      0.940000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.540000,      9.926000,          9.543000,                    84.395663,      0.951000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.540000,      9.780000,          9.613000,                    84.721870,      0.951000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.550000,      9.448000,          9.671000,                    84.563986,      0.952000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.550000,      9.347000,          9.710000,                    84.700900,      0.952000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      9.347000,          9.701000,                    84.622393,      0.953000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.550000,      9.328000,          9.700000,                    84.575326,      0.952000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.550000,      9.254000,          9.711000,                    84.521771,      0.952000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.550000,      9.245000,          9.711000,                    84.503597,      0.952000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.540000,      9.273000,          9.704000,                    84.499188,      0.952000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.550000,      9.143000,          9.703000,                    84.228248,      0.952000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.540000,      9.106000,          9.714000,                    84.249051,      0.952000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.540000,      9.125000,          9.712000,                    84.270047,      0.952000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.540000,      9.069000,          9.711000,                    84.148388,      0.952000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.540000,      9.097000,          9.738000,                    84.438994,      0.952000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.540000,      9.162000,          9.718000,                    84.396831,      0.952000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.540000,      9.208000,          9.696000,                    84.298480,      0.952000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.540000,      9.069000,          9.701000,                    84.061736,      0.952000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.540000,      9.199000,          9.731000,                    84.584569,      0.952000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.540000,      9.328000,          9.677000,                    84.374787,      0.952000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.540000,      9.338000,          9.658000,                    84.229217,      0.952000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.540000,      9.291000,          9.654000,                    84.099945,      0.951000
                1716082260,           2024-05-19 01:31:00,           2024-05-18 19:31:00,      3.540000,      9.328000,          9.668000,                    84.296315,      0.952000
                1716082860,           2024-05-19 01:41:00,           2024-05-18 19:41:00,      3.540000,      9.485000,          9.626000,                    84.244656,      0.951000
                1716083460,           2024-05-19 01:51:00,           2024-05-18 19:51:00,      3.540000,      9.531000,          9.618000,                    84.266778,      0.951000
                1716084060,           2024-05-19 02:01:00,           2024-05-18 20:01:00,      3.540000,      9.531000,          9.610000,                    84.196687,      0.951000
                1716084660,           2024-05-19 02:11:00,           2024-05-18 20:11:00,      3.540000,      9.430000,          9.624000,                    84.116953,      0.952000
                1716085260,           2024-05-19 02:21:00,           2024-05-18 20:21:00,      3.540000,      9.384000,          9.641000,                    84.173235,      0.952000
                1716085860,           2024-05-19 02:31:00,           2024-05-18 20:31:00,      3.540000,      9.291000,          9.647000,                    84.038966,      0.952000
                1716086460,           2024-05-19 02:41:00,           2024-05-18 20:41:00,      3.540000,      9.282000,          9.639000,                    83.951231,      0.952000
                1716087060,           2024-05-19 02:51:00,           2024-05-18 20:51:00,      3.530000,      8.920000,          9.654000,                    83.355801,      0.951000
                1716087660,           2024-05-19 03:01:00,           2024-05-18 21:01:00,      3.530000,      8.883000,          9.685000,                    83.549102,      0.952000
                1716088260,           2024-05-19 03:11:00,           2024-05-18 21:11:00,      3.530000,      8.892000,          9.670000,                    83.437761,      0.952000
                1716088860,           2024-05-19 03:21:00,           2024-05-18 21:21:00,      3.530000,      8.725000,          9.702000,                    83.377832,      0.952000
                1716089460,           2024-05-19 03:31:00,           2024-05-18 21:31:00,      3.530000,      8.799000,          9.687000,                    83.397557,      0.952000
                1716090060,           2024-05-19 03:41:00,           2024-05-18 21:41:00,      3.530000,      8.799000,          9.674000,                    83.285637,      0.952000
                1716090660,           2024-05-19 03:51:00,           2024-05-18 21:51:00,      3.530000,      8.725000,          9.694000,                    83.309081,      0.952000
                1716091260,           2024-05-19 04:01:00,           2024-05-18 22:01:00,      3.530000,      8.585000,          9.704000,                    83.113508,      0.952000
                1716091860,           2024-05-19 04:11:00,           2024-05-18 22:11:00,      3.530000,      8.528000,          9.697000,                    82.939088,      0.952000
                1716092460,           2024-05-19 04:21:00,           2024-05-18 22:21:00,      3.530000,      8.538000,          9.720000,                    83.155935,      0.952000
                1716093060,           2024-05-19 04:31:00,           2024-05-18 22:31:00,      3.530000,      8.519000,          9.713000,                    83.057838,      0.952000
                1716093660,           2024-05-19 04:41:00,           2024-05-18 22:41:00,      3.530000,      8.463000,          9.723000,                    83.030636,      0.952000
                1716094260,           2024-05-19 04:51:00,           2024-05-18 22:51:00,      3.530000,      8.491000,          9.723000,                    83.086988,      0.952000
                1716094860,           2024-05-19 05:01:00,           2024-05-18 23:01:00,      3.530000,      8.435000,          9.705000,                    82.820684,      0.952000
                1716095460,           2024-05-19 05:11:00,           2024-05-18 23:11:00,      3.530000,      8.463000,          9.702000,                    82.851304,      0.952000
                1716096060,           2024-05-19 05:21:00,           2024-05-18 23:21:00,      3.530000,      8.472000,          9.707000,                    82.912084,      0.952000
                1716096660,           2024-05-19 05:31:00,           2024-05-18 23:31:00,      3.530000,      8.463000,          9.708000,                    82.902541,      0.952000
                1716097260,           2024-05-19 05:41:00,           2024-05-18 23:41:00,      3.530000,      8.463000,          9.698000,                    82.817145,      0.952000
                1716097860,           2024-05-19 05:51:00,           2024-05-18 23:51:00,      3.530000,      8.519000,          9.694000,                    82.895365,      0.952000
                1716098460,           2024-05-19 06:01:00,           2024-05-19 00:01:00,      3.530000,      8.566000,          9.684000,                    82.904102,      0.952000
                1716099060,           2024-05-19 06:11:00,           2024-05-19 00:11:00,      3.530000,      8.641000,          9.667000,                    82.908755,      0.952000
                1716099660,           2024-05-19 06:21:00,           2024-05-19 00:21:00,      3.530000,      8.631000,          9.666000,                    82.880151,      0.952000
                1716100260,           2024-05-19 06:31:00,           2024-05-19 00:31:00,      3.530000,      8.659000,          9.659000,                    82.876168,      0.951000
                1716100860,           2024-05-19 06:41:00,           2024-05-19 00:41:00,      3.530000,      8.781000,          9.643000,                    82.982755,      0.952000
                1716101460,           2024-05-19 06:51:00,           2024-05-19 00:51:00,      3.530000,      8.883000,          9.653000,                    83.273050,      0.952000
                1716102060,           2024-05-19 07:01:00,           2024-05-19 01:01:00,      3.530000,      9.013000,          9.593000,                    83.014315,      0.951000
                1716102660,           2024-05-19 07:11:00,           2024-05-19 01:11:00,      3.530000,      8.985000,          9.594000,                    82.967191,      0.951000
                1716103260,           2024-05-19 07:21:00,           2024-05-19 01:21:00,      3.530000,      9.004000,          9.577000,                    82.857959,      0.951000
                1716103860,           2024-05-19 07:31:00,           2024-05-19 01:31:00,      3.530000,      9.023000,          9.573000,                    82.861122,      0.952000
                1716104460,           2024-05-19 07:41:00,           2024-05-19 01:41:00,      3.530000,      9.069000,          9.563000,                    82.865929,      0.951000
                1716105060,           2024-05-19 07:51:00,           2024-05-19 01:51:00,      3.530000,      9.097000,          9.557000,                    82.869528,      0.951000
                1716105660,           2024-05-19 08:01:00,           2024-05-19 02:01:00,      3.530000,      9.060000,          9.554000,                    82.770081,      0.951000
                1716106260,           2024-05-19 08:11:00,           2024-05-19 02:11:00,      3.530000,      9.106000,          9.546000,                    82.791996,      0.951000
                1716106860,           2024-05-19 08:21:00,           2024-05-19 02:21:00,      3.530000,      9.106000,          9.566000,                    82.965455,      0.951000
                1716107460,           2024-05-19 08:31:00,           2024-05-19 02:31:00,      3.530000,      9.115000,          9.560000,                    82.931294,      0.951000
                1716108060,           2024-05-19 08:41:00,           2024-05-19 02:41:00,      3.530000,      9.078000,          9.569000,                    82.935810,      0.951000
                1716108660,           2024-05-19 08:51:00,           2024-05-19 02:51:00,      3.530000,      9.115000,          9.554000,                    82.879245,      0.951000
                1716109260,           2024-05-19 09:01:00,           2024-05-19 03:01:00,      3.530000,      9.106000,          9.556000,                    82.878725,      0.951000
                1716109860,           2024-05-19 09:11:00,           2024-05-19 03:11:00,      3.530000,      9.115000,          9.553000,                    82.870570,      0.951000
                1716110460,           2024-05-19 09:21:00,           2024-05-19 03:21:00,      3.530000,      9.134000,          9.546000,                    82.847534,      0.951000
                1716111060,           2024-05-19 09:31:00,           2024-05-19 03:31:00,      3.530000,      9.153000,          9.543000,                    82.859178,      0.951000
                1716111660,           2024-05-19 09:41:00,           2024-05-19 03:41:00,      3.530000,      9.115000,          9.548000,                    82.827196,      0.951000
                1716112260,           2024-05-19 09:51:00,           2024-05-19 03:51:00,      3.530000,      9.143000,          9.547000,                    82.874068,      0.951000
                1716112860,           2024-05-19 10:01:00,           2024-05-19 04:01:00,      3.530000,      9.143000,          9.535000,                    82.769900,      0.951000
                1716113460,           2024-05-19 10:11:00,           2024-05-19 04:11:00,      3.530000,      9.199000,          9.529000,                    82.828728,      0.951000
                1716114060,           2024-05-19 10:21:00,           2024-05-19 04:21:00,      3.530000,      9.190000,          9.509000,                    82.637093,      0.951000
                1716114660,           2024-05-19 10:31:00,           2024-05-19 04:31:00,      3.530000,      9.180000,          9.514000,                    82.660769,      0.951000
                1716115260,           2024-05-19 10:41:00,           2024-05-19 04:41:00,      3.530000,      9.171000,          9.510000,                    82.608225,      0.951000
                1716115860,           2024-05-19 10:51:00,           2024-05-19 04:51:00,      3.530000,      9.153000,          9.513000,                    82.598696,      0.951000
