MiniDOT Logger Concatenated Data File
Sensor:             7450-342723
Concatenation Date: 2024Sep27 11:27:30 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1720386600,           2024-07-07 21:10:00,           2024-07-07 15:10:00,      3.520000,     17.399000,          7.953000,                    82.974633,      0.937000
                1720387200,           2024-07-07 21:20:00,           2024-07-07 15:20:00,      3.520000,     17.323000,          7.968000,                    83.000184,      0.937000
                1720387800,           2024-07-07 21:30:00,           2024-07-07 15:30:00,      3.520000,     17.314000,          7.958000,                    82.880532,      0.937000
                1720388400,           2024-07-07 21:40:00,           2024-07-07 15:40:00,      3.520000,     17.306000,          7.972000,                    83.012551,      0.937000
                1720389000,           2024-07-07 21:50:00,           2024-07-07 15:50:00,      3.520000,     17.306000,          7.969000,                    82.981311,      0.937000
                1720389600,           2024-07-07 22:00:00,           2024-07-07 16:00:00,      3.520000,     17.289000,          7.982000,                    83.087346,      0.938000
                1720390200,           2024-07-07 22:10:00,           2024-07-07 16:10:00,      3.520000,     17.297000,          7.969000,                    82.965806,      0.937000
                1720390800,           2024-07-07 22:20:00,           2024-07-07 16:20:00,      3.520000,     17.357000,          7.966000,                    83.037912,      0.937000
                1720391400,           2024-07-07 22:30:00,           2024-07-07 16:30:00,      3.520000,     17.365000,          7.966000,                    83.051692,      0.937000
                1720392000,           2024-07-07 22:40:00,           2024-07-07 16:40:00,      3.520000,     17.407000,          7.966000,                    83.124047,      0.937000
                1720392600,           2024-07-07 22:50:00,           2024-07-07 16:50:00,      3.520000,     17.399000,          7.976000,                    83.214595,      0.937000
                1720393200,           2024-07-07 23:00:00,           2024-07-07 17:00:00,      3.520000,     17.399000,          7.980000,                    83.256328,      0.937000
                1720393800,           2024-07-07 23:10:00,           2024-07-07 17:10:00,      3.520000,     17.407000,          7.975000,                    83.217960,      0.937000
                1720394400,           2024-07-07 23:20:00,           2024-07-07 17:20:00,      3.520000,     17.450000,          7.967000,                    83.208581,      0.937000
                1720395000,           2024-07-07 23:30:00,           2024-07-07 17:30:00,      3.520000,     17.441000,          7.959000,                    83.109533,      0.937000
                1720395600,           2024-07-07 23:40:00,           2024-07-07 17:40:00,      3.520000,     17.390000,          7.976000,                    83.199071,      0.937000
                1720396200,           2024-07-07 23:50:00,           2024-07-07 17:50:00,      3.520000,     17.424000,          7.960000,                    83.090706,      0.937000
                1720396800,           2024-07-08 00:00:00,           2024-07-07 18:00:00,      3.520000,     17.517000,          7.952000,                    83.167185,      0.937000
                1720397400,           2024-07-08 00:10:00,           2024-07-07 18:10:00,      3.520000,     17.602000,          7.958000,                    83.376326,      0.937000
                1720398000,           2024-07-08 00:20:00,           2024-07-07 18:20:00,      3.520000,     17.678000,          7.923000,                    83.139985,      0.937000
                1720398600,           2024-07-08 00:30:00,           2024-07-07 18:30:00,      3.520000,     17.686000,          7.930000,                    83.227176,      0.938000
                1720399200,           2024-07-08 00:40:00,           2024-07-07 18:40:00,      3.520000,     17.678000,          7.930000,                    83.213439,      0.937000
                1720399800,           2024-07-08 00:50:00,           2024-07-07 18:50:00,      3.520000,     17.636000,          7.933000,                    83.172785,      0.937000
                1720400400,           2024-07-08 01:00:00,           2024-07-07 19:00:00,      3.520000,     17.593000,          7.935000,                    83.119896,      0.937000
                1720401000,           2024-07-08 01:10:00,           2024-07-07 19:10:00,      3.520000,     17.483000,          7.921000,                    82.784698,      0.936000
                1720401600,           2024-07-08 01:20:00,           2024-07-07 19:20:00,      3.520000,     17.433000,          7.954000,                    83.043558,      0.937000
                1720402200,           2024-07-08 01:30:00,           2024-07-07 19:30:00,      3.520000,     17.483000,          7.959000,                    83.181847,      0.938000
                1720402800,           2024-07-08 01:40:00,           2024-07-07 19:40:00,      3.520000,     17.500000,          7.943000,                    83.043840,      0.937000
                1720403400,           2024-07-08 01:50:00,           2024-07-07 19:50:00,      3.520000,     17.467000,          7.943000,                    82.987132,      0.937000
                1720404000,           2024-07-08 02:00:00,           2024-07-07 20:00:00,      3.520000,     17.450000,          7.942000,                    82.947477,      0.937000
                1720404600,           2024-07-08 02:10:00,           2024-07-07 20:10:00,      3.520000,     17.509000,          7.935000,                    82.975652,      0.938000
                1720405200,           2024-07-08 02:20:00,           2024-07-07 20:20:00,      3.520000,     17.543000,          7.924000,                    82.918924,      0.937000
                1720405800,           2024-07-08 02:30:00,           2024-07-07 20:30:00,      3.520000,     17.534000,          7.921000,                    82.872104,      0.937000
                1720406400,           2024-07-08 02:40:00,           2024-07-07 20:40:00,      3.520000,     17.475000,          7.934000,                    82.906833,      0.937000
                1720407000,           2024-07-08 02:50:00,           2024-07-07 20:50:00,      3.520000,     17.416000,          7.927000,                    82.732518,      0.937000
                1720407600,           2024-07-08 03:00:00,           2024-07-07 21:00:00,      3.520000,     17.382000,          7.933000,                    82.736805,      0.938000
                1720408200,           2024-07-08 03:10:00,           2024-07-07 21:10:00,      3.520000,     17.297000,          7.943000,                    82.695119,      0.938000
                1720408800,           2024-07-08 03:20:00,           2024-07-07 21:20:00,      3.520000,     17.272000,          7.939000,                    82.610570,      0.938000
                1720409400,           2024-07-08 03:30:00,           2024-07-07 21:30:00,      3.520000,     17.297000,          7.920000,                    82.455664,      0.937000
                1720410000,           2024-07-08 03:40:00,           2024-07-07 21:40:00,      3.520000,     17.306000,          7.928000,                    82.554378,      0.937000
                1720410600,           2024-07-08 03:50:00,           2024-07-07 21:50:00,      3.520000,     17.357000,          7.925000,                    82.610526,      0.938000
                1720411200,           2024-07-08 04:00:00,           2024-07-07 22:00:00,      3.520000,     17.357000,          7.936000,                    82.725191,      0.938000
                1720411800,           2024-07-08 04:10:00,           2024-07-07 22:10:00,      3.520000,     17.331000,          7.915000,                    82.461789,      0.937000
                1720412400,           2024-07-08 04:20:00,           2024-07-07 22:20:00,      3.520000,     17.289000,          7.917000,                    82.410739,      0.937000
                1720413000,           2024-07-08 04:30:00,           2024-07-07 22:30:00,      3.520000,     17.264000,          7.908000,                    82.274320,      0.937000
                1720413600,           2024-07-08 04:40:00,           2024-07-07 22:40:00,      3.520000,     17.221000,          7.927000,                    82.398323,      0.937000
                1720414200,           2024-07-08 04:50:00,           2024-07-07 22:50:00,      3.520000,     17.171000,          7.935000,                    82.395746,      0.937000
                1720414800,           2024-07-08 05:00:00,           2024-07-07 23:00:00,      3.530000,     17.145000,          7.933000,                    82.330415,      0.938000
                1720415400,           2024-07-08 05:10:00,           2024-07-07 23:10:00,      3.530000,     17.086000,          7.933000,                    82.229308,      0.937000
                1720416000,           2024-07-08 05:20:00,           2024-07-07 23:20:00,      3.520000,     17.077000,          7.925000,                    82.130979,      0.937000
                1720416600,           2024-07-08 05:30:00,           2024-07-07 23:30:00,      3.530000,     17.052000,          7.938000,                    82.222845,      0.938000
                1720417200,           2024-07-08 05:40:00,           2024-07-07 23:40:00,      3.530000,     17.077000,          7.939000,                    82.276068,      0.937000
                1720417800,           2024-07-08 05:50:00,           2024-07-07 23:50:00,      3.530000,     17.052000,          7.944000,                    82.284994,      0.937000
                1720418400,           2024-07-08 06:00:00,           2024-07-08 00:00:00,      3.530000,     17.086000,          7.941000,                    82.312232,      0.937000
                1720419000,           2024-07-08 06:10:00,           2024-07-08 00:10:00,      3.530000,     17.094000,          7.941000,                    82.325954,      0.937000
                1720419600,           2024-07-08 06:20:00,           2024-07-08 00:20:00,      3.520000,     17.103000,          7.942000,                    82.351761,      0.938000
                1720420200,           2024-07-08 06:30:00,           2024-07-08 00:30:00,      3.520000,     17.137000,          7.932000,                    82.306328,      0.937000
                1720420800,           2024-07-08 06:40:00,           2024-07-08 00:40:00,      3.520000,     17.145000,          7.933000,                    82.330415,      0.938000
