MiniDOT Logger Concatenated Data File
Sensor:             7450-716626
Concatenation Date: 2024Jun20 13:31:28 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1716059460,           2024-05-18 19:11:00,           2024-05-18 13:11:00,      3.540000,     29.893000,          5.886000,                    77.727277,      0.931000
                1716060060,           2024-05-18 19:21:00,           2024-05-18 13:21:00,      3.530000,     31.191000,          5.786000,                    78.126940,      0.931000
                1716060660,           2024-05-18 19:31:00,           2024-05-18 13:31:00,      3.530000,     32.597000,          5.633000,                    77.889707,      0.930000
                1716061260,           2024-05-18 19:41:00,           2024-05-18 13:41:00,      3.530000,     27.507000,          6.256000,                    79.227673,      0.934000
                1716061860,           2024-05-18 19:51:00,           2024-05-18 13:51:00,      3.530000,     29.643000,          5.941000,                    78.114844,      0.934000
                1716062460,           2024-05-18 20:01:00,           2024-05-18 14:01:00,      3.540000,     30.212000,          5.907000,                    78.435008,      0.934000
                1716063060,           2024-05-18 20:11:00,           2024-05-18 14:11:00,      3.540000,     26.761000,          6.135000,                    76.665139,      0.932000
                1716063660,           2024-05-18 20:21:00,           2024-05-18 14:21:00,      3.540000,     25.781000,          6.309000,                    77.453279,      0.934000
                1716064260,           2024-05-18 20:31:00,           2024-05-18 14:31:00,      3.540000,     27.958000,          6.003000,                    76.634722,      0.935000
                1716064860,           2024-05-18 20:41:00,           2024-05-18 14:41:00,      3.540000,     24.092000,          6.485000,                    77.172345,      0.934000
                1716065460,           2024-05-18 20:51:00,           2024-05-18 14:51:00,      3.540000,     24.445000,          6.372000,                    76.327628,      0.934000
                1716066060,           2024-05-18 21:01:00,           2024-05-18 15:01:00,      3.540000,     24.814000,          6.430000,                    77.550597,      0.935000
                1716066660,           2024-05-18 21:11:00,           2024-05-18 15:11:00,      3.550000,     21.433000,          6.783000,                    76.733740,      0.932000
                1716067260,           2024-05-18 21:21:00,           2024-05-18 15:21:00,      3.540000,     22.210000,          6.581000,                    75.574098,      0.934000
                1716067860,           2024-05-18 21:31:00,           2024-05-18 15:31:00,      3.540000,     22.628000,          6.616000,                    76.586179,      0.935000
                1716068460,           2024-05-18 21:41:00,           2024-05-18 15:41:00,      3.560000,     11.682000,          7.758000,                    71.466995,      0.925000
                1716069060,           2024-05-18 21:51:00,           2024-05-18 15:51:00,      3.560000,      9.762000,          8.824000,                    77.735081,      0.932000
                1716069660,           2024-05-18 22:01:00,           2024-05-18 16:01:00,      3.560000,      9.643000,          8.873000,                    77.946613,      0.934000
                1716070260,           2024-05-18 22:11:00,           2024-05-18 16:11:00,      3.560000,      9.431000,          8.857000,                    77.414962,      0.935000
                1716070860,           2024-05-18 22:21:00,           2024-05-18 16:21:00,      3.560000,      9.301000,          8.849000,                    77.105667,      0.935000
                1716071460,           2024-05-18 22:31:00,           2024-05-18 16:31:00,      3.560000,      9.320000,          8.872000,                    77.341142,      0.935000
                1716072060,           2024-05-18 22:41:00,           2024-05-18 16:41:00,      3.550000,      9.689000,          8.899000,                    78.260340,      0.936000
                1716072660,           2024-05-18 22:51:00,           2024-05-18 16:51:00,      3.560000,      9.532000,          8.820000,                    77.277049,      0.935000
                1716073260,           2024-05-18 23:01:00,           2024-05-18 17:01:00,      3.560000,      9.403000,          8.867000,                    77.450691,      0.935000
                1716073860,           2024-05-18 23:11:00,           2024-05-18 17:11:00,      3.560000,      9.218000,          8.870000,                    77.135552,      0.935000
                1716074460,           2024-05-18 23:21:00,           2024-05-18 17:21:00,      3.560000,      9.190000,          8.867000,                    77.057851,      0.935000
                1716075060,           2024-05-18 23:31:00,           2024-05-18 17:31:00,      3.560000,      9.181000,          8.825000,                    76.676344,      0.935000
                1716075660,           2024-05-18 23:41:00,           2024-05-18 17:41:00,      3.560000,      9.236000,          8.845000,                    76.951249,      0.935000
                1716076260,           2024-05-18 23:51:00,           2024-05-18 17:51:00,      3.560000,      9.153000,          8.826000,                    76.633669,      0.935000
                1716076860,           2024-05-19 00:01:00,           2024-05-18 18:01:00,      3.550000,      9.069000,          8.842000,                    76.618273,      0.935000
                1716077460,           2024-05-19 00:11:00,           2024-05-18 18:11:00,      3.550000,      8.883000,          8.892000,                    76.708169,      0.935000
                1716078060,           2024-05-19 00:21:00,           2024-05-18 18:21:00,      3.550000,      9.283000,          8.926000,                    77.743188,      0.935000
                1716078660,           2024-05-19 00:31:00,           2024-05-18 18:31:00,      3.550000,      9.366000,          8.939000,                    78.010761,      0.935000
                1716079260,           2024-05-19 00:41:00,           2024-05-18 18:41:00,      3.550000,      9.523000,          8.904000,                    77.996330,      0.935000
                1716079860,           2024-05-19 00:51:00,           2024-05-18 18:51:00,      3.550000,      9.523000,          8.888000,                    77.856175,      0.935000
                1716080460,           2024-05-19 01:01:00,           2024-05-18 19:01:00,      3.550000,      9.449000,          8.902000,                    77.841643,      0.935000
                1716081060,           2024-05-19 01:11:00,           2024-05-18 19:11:00,      3.550000,      9.412000,          8.886000,                    77.633295,      0.934000
                1716081660,           2024-05-19 01:21:00,           2024-05-18 19:21:00,      3.550000,      9.357000,          8.890000,                    77.566489,      0.935000
                1716082260,           2024-05-19 01:31:00,           2024-05-18 19:31:00,      3.550000,      9.292000,          8.898000,                    77.515971,      0.934000
                1716082860,           2024-05-19 01:41:00,           2024-05-18 19:41:00,      3.550000,      9.301000,          8.894000,                    77.497774,      0.934000
                1716083460,           2024-05-19 01:51:00,           2024-05-18 19:51:00,      3.550000,      9.274000,          8.898000,                    77.482660,      0.935000
                1716084060,           2024-05-19 02:01:00,           2024-05-18 20:01:00,      3.550000,      9.246000,          8.883000,                    77.300318,      0.934000
                1716084660,           2024-05-19 02:11:00,           2024-05-18 20:11:00,      3.550000,      9.209000,          8.875000,                    77.162428,      0.934000
                1716085260,           2024-05-19 02:21:00,           2024-05-18 20:21:00,      3.550000,      9.134000,          8.874000,                    77.015401,      0.934000
                1716085860,           2024-05-19 02:31:00,           2024-05-18 20:31:00,      3.550000,      9.088000,          8.868000,                    76.878571,      0.934000
                1716086460,           2024-05-19 02:41:00,           2024-05-18 20:41:00,      3.550000,      9.032000,          8.877000,                    76.853338,      0.934000
                1716087060,           2024-05-19 02:51:00,           2024-05-18 20:51:00,      3.550000,      9.042000,          8.880000,                    76.897753,      0.934000
                1716087660,           2024-05-19 03:01:00,           2024-05-18 21:01:00,      3.550000,      9.014000,          8.876000,                    76.811502,      0.934000
                1716088260,           2024-05-19 03:11:00,           2024-05-18 21:11:00,      3.550000,      8.986000,          8.876000,                    76.759898,      0.934000
                1716088860,           2024-05-19 03:21:00,           2024-05-18 21:21:00,      3.540000,      8.949000,          8.876000,                    76.691720,      0.934000
                1716089460,           2024-05-19 03:31:00,           2024-05-18 21:31:00,      3.540000,      8.921000,          8.867000,                    76.562425,      0.934000
                1716090060,           2024-05-19 03:41:00,           2024-05-18 21:41:00,      3.540000,      8.865000,          8.881000,                    76.580108,      0.934000
                1716090660,           2024-05-19 03:51:00,           2024-05-18 21:51:00,      3.540000,      8.883000,          8.860000,                    76.432116,      0.934000
                1716091260,           2024-05-19 04:01:00,           2024-05-18 22:01:00,      3.540000,      8.855000,          8.858000,                    76.363404,      0.934000
                1716091860,           2024-05-19 04:11:00,           2024-05-18 22:11:00,      3.540000,      8.846000,          8.861000,                    76.372722,      0.934000
                1716092460,           2024-05-19 04:21:00,           2024-05-18 22:21:00,      3.540000,      8.827000,          8.864000,                    76.363643,      0.934000
                1716093060,           2024-05-19 04:31:00,           2024-05-18 22:31:00,      3.540000,      8.809000,          8.859000,                    76.287493,      0.934000
                1716093660,           2024-05-19 04:41:00,           2024-05-18 22:41:00,      3.540000,      8.799000,          8.865000,                    76.320775,      0.934000
                1716094260,           2024-05-19 04:51:00,           2024-05-18 22:51:00,      3.540000,      8.771000,          8.867000,                    76.286507,      0.934000
                1716094860,           2024-05-19 05:01:00,           2024-05-18 23:01:00,      3.540000,      8.771000,          8.871000,                    76.320921,      0.934000
                1716095460,           2024-05-19 05:11:00,           2024-05-18 23:11:00,      3.540000,      8.753000,          8.862000,                    76.210415,      0.934000
                1716096060,           2024-05-19 05:21:00,           2024-05-18 23:21:00,      3.540000,      8.771000,          8.862000,                    76.243490,      0.934000
                1716096660,           2024-05-19 05:31:00,           2024-05-18 23:31:00,      3.540000,      8.734000,          8.873000,                    76.270059,      0.934000
                1716097260,           2024-05-19 05:41:00,           2024-05-18 23:41:00,      3.540000,      8.762000,          8.855000,                    76.166741,      0.934000
                1716097860,           2024-05-19 05:51:00,           2024-05-18 23:51:00,      3.540000,      8.762000,          8.853000,                    76.149538,      0.934000
                1716098460,           2024-05-19 06:01:00,           2024-05-19 00:01:00,      3.540000,      8.743000,          8.861000,                    76.183444,      0.934000
                1716099060,           2024-05-19 06:11:00,           2024-05-19 00:11:00,      3.540000,      8.753000,          8.855000,                    76.150217,      0.934000
                1716099660,           2024-05-19 06:21:00,           2024-05-19 00:21:00,      3.540000,      8.743000,          8.856000,                    76.140456,      0.933000
                1716100260,           2024-05-19 06:31:00,           2024-05-19 00:31:00,      3.540000,      8.762000,          8.860000,                    76.209749,      0.934000
                1716100860,           2024-05-19 06:41:00,           2024-05-19 00:41:00,      3.540000,      8.771000,          8.850000,                    76.140249,      0.934000
                1716101460,           2024-05-19 06:51:00,           2024-05-19 00:51:00,      3.540000,      8.771000,          8.851000,                    76.148852,      0.933000
                1716102060,           2024-05-19 07:01:00,           2024-05-19 01:01:00,      3.540000,      8.771000,          8.849000,                    76.131645,      0.933000
                1716102660,           2024-05-19 07:11:00,           2024-05-19 01:11:00,      3.540000,      8.809000,          8.839000,                    76.115267,      0.933000
                1716103260,           2024-05-19 07:21:00,           2024-05-19 01:21:00,      3.540000,      8.781000,          8.852000,                    76.175812,      0.933000
                1716103860,           2024-05-19 07:31:00,           2024-05-19 01:31:00,      3.540000,      8.809000,          8.833000,                    76.063599,      0.933000
                1716104460,           2024-05-19 07:41:00,           2024-05-19 01:41:00,      3.540000,      8.743000,          8.859000,                    76.166249,      0.933000
                1716105060,           2024-05-19 07:51:00,           2024-05-19 01:51:00,      3.540000,      8.762000,          8.845000,                    76.080726,      0.933000
                1716105660,           2024-05-19 08:01:00,           2024-05-19 02:01:00,      3.540000,      8.753000,          8.858000,                    76.176016,      0.934000
                1716106260,           2024-05-19 08:11:00,           2024-05-19 02:11:00,      3.540000,      8.753000,          8.858000,                    76.176016,      0.934000
                1716106860,           2024-05-19 08:21:00,           2024-05-19 02:21:00,      3.540000,      9.107000,          8.931000,                    77.459986,      0.934000
                1716107460,           2024-05-19 08:31:00,           2024-05-19 02:31:00,      3.540000,      9.311000,          8.879000,                    77.385541,      0.933000
                1716108060,           2024-05-19 08:41:00,           2024-05-19 02:41:00,      3.540000,      9.458000,          8.859000,                    77.482237,      0.933000
                1716108660,           2024-05-19 08:51:00,           2024-05-19 02:51:00,      3.540000,      9.449000,          8.858000,                    77.456894,      0.933000
                1716109260,           2024-05-19 09:01:00,           2024-05-19 03:01:00,      3.540000,      9.422000,          8.865000,                    77.468279,      0.933000
                1716109860,           2024-05-19 09:11:00,           2024-05-19 03:11:00,      3.540000,      9.412000,          8.858000,                    77.388671,      0.933000
                1716110460,           2024-05-19 09:21:00,           2024-05-19 03:21:00,      3.540000,      9.357000,          8.864000,                    77.339635,      0.933000
                1716111060,           2024-05-19 09:31:00,           2024-05-19 03:31:00,      3.540000,      9.357000,          8.861000,                    77.313460,      0.933000
                1716111660,           2024-05-19 09:41:00,           2024-05-19 03:41:00,      3.540000,      9.394000,          8.864000,                    77.407883,      0.934000
                1716112260,           2024-05-19 09:51:00,           2024-05-19 03:51:00,      3.540000,      9.403000,          8.855000,                    77.345874,      0.933000
                1716112860,           2024-05-19 10:01:00,           2024-05-19 04:01:00,      3.540000,      9.403000,          8.852000,                    77.319670,      0.933000
                1716113460,           2024-05-19 10:11:00,           2024-05-19 04:11:00,      3.540000,      9.375000,          8.841000,                    77.172071,      0.933000
                1716114060,           2024-05-19 10:21:00,           2024-05-19 04:21:00,      3.540000,      9.357000,          8.849000,                    77.208758,      0.933000
                1716114660,           2024-05-19 10:31:00,           2024-05-19 04:31:00,      3.540000,      9.338000,          8.843000,                    77.121450,      0.933000
                1716115260,           2024-05-19 10:41:00,           2024-05-19 04:41:00,      3.540000,      9.255000,          8.841000,                    76.951378,      0.933000
                1716115860,           2024-05-19 10:51:00,           2024-05-19 04:51:00,      3.540000,      9.144000,          8.848000,                    76.808140,      0.932000
                1716116460,           2024-05-19 11:01:00,           2024-05-19 05:01:00,      3.540000,      9.107000,          8.841000,                    76.679402,      0.933000
                1716117060,           2024-05-19 11:11:00,           2024-05-19 05:11:00,      3.540000,      9.051000,          8.843000,                    76.593876,      0.933000
                1716117660,           2024-05-19 11:21:00,           2024-05-19 05:21:00,      3.540000,      8.995000,          8.855000,                    76.594837,      0.933000
                1716118260,           2024-05-19 11:31:00,           2024-05-19 05:31:00,      3.530000,      8.986000,          8.856000,                    76.586938,      0.933000
                1716118860,           2024-05-19 11:41:00,           2024-05-19 05:41:00,      3.530000,      8.986000,          8.849000,                    76.526402,      0.933000
                1716119460,           2024-05-19 11:51:00,           2024-05-19 05:51:00,      3.530000,      8.949000,          8.858000,                    76.536194,      0.933000
                1716120060,           2024-05-19 12:01:00,           2024-05-19 06:01:00,      3.530000,      8.949000,          8.857000,                    76.527554,      0.933000
                1716120660,           2024-05-19 12:11:00,           2024-05-19 06:11:00,      3.530000,      8.949000,          8.843000,                    76.406589,      0.933000
                1716121260,           2024-05-19 12:21:00,           2024-05-19 06:21:00,      3.530000,      8.911000,          8.848000,                    76.380006,      0.933000
