site,date,depth,temp,,,
 Cottonwood Creek Bay,5/27/20,0,14.02,,,
 Cottonwood Creek Bay,5/27/20,0.5,13.93,,,
 Cottonwood Creek Bay,5/27/20,1,13.84,,,
 Cottonwood Creek Bay,5/27/20,1.5,13.81,,,
 Cottonwood Creek Bay,5/27/20,2,13.73,,,
 Cottonwood Creek Bay,5/27/20,2.5,13.73,,,
 Cottonwood Creek Bay,5/27/20,3,13.69,,,
 Cottonwood Creek Bay,5/27/20,4,13.52,,,
 Cottonwood Creek Bay,5/27/20,5,13.33,,,
 Cottonwood Creek Bay,5/27/20,6,13,,,
 Cottonwood Creek Bay,5/27/20,7,12.69,,,
 Cottonwood Creek Bay,5/27/20,8,12.61,,,
 Cottonwood Creek Bay,5/27/20,9,12.45,,,
 Cottonwood Creek Bay,5/27/20,10,12.25,,,
 Cottonwood Creek Bay,6/24/20,0,21.73,,,
 Cottonwood Creek Bay,6/24/20,0.5,21.73,,,
 Cottonwood Creek Bay,6/24/20,1,20.42,,,
 Cottonwood Creek Bay,6/24/20,1.5,19.32,,,
 Cottonwood Creek Bay,6/24/20,2,18.99,,,
 Cottonwood Creek Bay,6/24/20,2.5,18.81,,,
 Cottonwood Creek Bay,6/24/20,3,18.67,,,
 Cottonwood Creek Bay,6/24/20,4,18.37,,,
 Cottonwood Creek Bay,6/24/20,5,18.04,,,
 Cottonwood Creek Bay,6/24/20,6,17.82,,,
 Cottonwood Creek Bay,6/24/20,7,17.5,,,
 Cottonwood Creek Bay,6/24/20,8,17.14,,,
 Cottonwood Creek Bay,6/24/20,9,17.07,,,
 Cottonwood Creek Bay,6/24/20,10,16.95,,,
 Cottonwood Creek Bay,6/24/20,11,16.94,,,
 Cottonwood Creek Bay,6/24/20,12,16.65,,,
 Cottonwood Creek Bay,7/15/20,0,20.25,,,
 Cottonwood Creek Bay,7/15/20,0.5,20.27,,,
 Cottonwood Creek Bay,7/15/20,1,20.26,,,
 Cottonwood Creek Bay,7/15/20,1.5,20.23,,,
 Cottonwood Creek Bay,7/15/20,2,20.21,,,
 Cottonwood Creek Bay,7/15/20,2.5,20.21,,,
 Cottonwood Creek Bay,7/15/20,3,20.21,,,
 Cottonwood Creek Bay,7/15/20,4,20.19,,,
 Cottonwood Creek Bay,7/15/20,5,20.19,,,
 Cottonwood Creek Bay,7/15/20,6,20.18,,,
 Cottonwood Creek Bay,7/15/20,7,20.18,,,
 Cottonwood Creek Bay,7/15/20,8,20.17,,,
 Cottonwood Creek Bay,7/15/20,9,20.16,,,
 Cottonwood Creek Bay,7/15/20,10,20.15,,,
 Cottonwood Creek Bay,7/15/20,11,19.89,,,
 Cottonwood Creek Bay,7/15/20,12,19.72,,,
 Cottonwood Creek Bay,7/15/20,12.5,19.1,,,
 Cottonwood Creek Bay,8/26/20,0,22.46,,,
 Cottonwood Creek Bay,8/26/20,0.5,22.52,,,
 Cottonwood Creek Bay,8/26/20,1,22.56,,,
 Cottonwood Creek Bay,8/26/20,1.5,22.54,,,
 Cottonwood Creek Bay,8/26/20,2,22.55,,,
 Cottonwood Creek Bay,8/26/20,2.5,22.53,,,
 Cottonwood Creek Bay,8/26/20,3,22.52,,,
 Cottonwood Creek Bay,8/26/20,4,22.49,,,
 Cottonwood Creek Bay,8/26/20,5,22.42,,,
 Cottonwood Creek Bay,8/26/20,6,22.37,,,
 Cottonwood Creek Bay,8/26/20,7,22.25,,,
 Cottonwood Creek Bay,8/26/20,8,22.09,,,
 Cottonwood Creek Bay,8/26/20,9,21.96,,,
 Cottonwood Creek Bay,8/26/20,10,21.71,,,
 Cottonwood Creek Bay,8/26/20,11,21.43,,,
 Cottonwood Creek Bay,8/26/20,12,21.2,,,
 Cottonwood Creek Bay,9/22/20,0,17.23,,,
 Cottonwood Creek Bay,9/22/20,0.5,17.3,,,
 Cottonwood Creek Bay,9/22/20,1,17.27,,,
 Cottonwood Creek Bay,9/22/20,1.5,17.26,,,
 Cottonwood Creek Bay,9/22/20,2,17.3,,,
 Cottonwood Creek Bay,9/22/20,2.5,17.29,,,
 Cottonwood Creek Bay,9/22/20,3,17.28,,,
 Cottonwood Creek Bay,9/22/20,4,17.29,,,
 Cottonwood Creek Bay,9/22/20,5,17.28,,,
 Cottonwood Creek Bay,9/22/20,6,17.28,,,
 Cottonwood Creek Bay,9/22/20,7,17.27,,,
 Cottonwood Creek Bay,9/22/20,8,17.27,,,
 Cottonwood Creek Bay,9/22/20,9,17.24,,,
 Cottonwood Creek Bay,9/22/20,10,17.23,,,
 Cottonwood Creek Bay,9/22/20,11,17.2,,,
 Cottonwood Creek Bay,9/22/20,12,16.87,,,
 Cottonwood Creek Bay,10/13/20,0,14.21,,,
 Cottonwood Creek Bay,10/13/20,0.5,14.25,,,
 Cottonwood Creek Bay,10/13/20,1,14.24,,,
 Cottonwood Creek Bay,10/13/20,1.5,14.24,,,
 Cottonwood Creek Bay,10/13/20,2,14.25,,,
 Cottonwood Creek Bay,10/13/20,2.5,14.24,,,
 Cottonwood Creek Bay,10/13/20,3,14.25,,,
 Cottonwood Creek Bay,10/13/20,4,14.24,,,
 Cottonwood Creek Bay,10/13/20,5,14.22,,,
 Cottonwood Creek Bay,10/13/20,6,14.23,,,
 Cottonwood Creek Bay,10/13/20,7,14.22,,,
 Cottonwood Creek Bay,10/13/20,8,14.21,,,
 Cottonwood Creek Bay,10/13/20,9,14.2,,,
 Cottonwood Creek Bay,10/13/20,10,13.97,,,
 Cottonwood Creek Bay,10/13/20,11,13.89,,,
 Cottonwood Creek Bay,5/18/21,0,14.56,,,
 Cottonwood Creek Bay,5/18/21,0.5,13.78,,,
 Cottonwood Creek Bay,5/18/21,1,13.48,,,
 Cottonwood Creek Bay,5/18/21,1.5,13.3,,,
 Cottonwood Creek Bay,5/18/21,2,13.1,,,
 Cottonwood Creek Bay,5/18/21,2.5,12.6,,,
 Cottonwood Creek Bay,5/18/21,3,12.4,,,
 Cottonwood Creek Bay,5/18/21,4,12,,,
 Cottonwood Creek Bay,5/18/21,5,11.8,,,
 Cottonwood Creek Bay,5/18/21,6,11.35,,,
 Cottonwood Creek Bay,5/18/21,7,11.03,,,
 Cottonwood Creek Bay,5/18/21,8,10.3,,,
 Cottonwood Creek Bay,5/18/21,9,9.8,,,
 Cottonwood Creek Bay,5/18/21,10,9.7,,,
 Cottonwood Creek Bay,5/18/21,11,9.5,,,
 Cottonwood Creek Bay,6/22/21,13.320641,15.92075,,,
 Cottonwood Creek Bay,6/22/21,13.344861,15.91569,,,
 Cottonwood Creek Bay,6/22/21,13.345971,15.91527,,,
 Cottonwood Creek Bay,6/22/21,13.347081,15.91484,,,
 Cottonwood Creek Bay,6/22/21,13.131261,15.90659,,,
 Cottonwood Creek Bay,6/22/21,13.121141,15.90609,,,
 Cottonwood Creek Bay,6/22/21,13.111011,15.90558,,,
 Cottonwood Creek Bay,6/22/21,13.100881,15.90507,,,
 Cottonwood Creek Bay,6/22/21,12.341671,15.89676,,,
 Cottonwood Creek Bay,6/22/21,12.300911,15.89618,,,
 Cottonwood Creek Bay,6/22/21,12.260151,15.89561,,,
 Cottonwood Creek Bay,6/22/21,11.683801,16.18738,,,
 Cottonwood Creek Bay,6/22/21,11.641101,16.20093,,,
 Cottonwood Creek Bay,6/22/21,11.598391,16.21447,,,
 Cottonwood Creek Bay,6/22/21,10.956301,16.54857,,,
 Cottonwood Creek Bay,6/22/21,10.913601,16.57048,,,
 Cottonwood Creek Bay,6/22/21,10.870891,16.59239,,,
 Cottonwood Creek Bay,6/22/21,10.828191,16.6143,,,
 Cottonwood Creek Bay,6/22/21,10.368871,16.72966,,,
 Cottonwood Creek Bay,6/22/21,10.333861,16.74207,,,
 Cottonwood Creek Bay,6/22/21,10.298861,16.75449,,,
 Cottonwood Creek Bay,6/22/21,10.263851,16.76691,,,
 Cottonwood Creek Bay,6/22/21,9.808201,16.77887,,,
 Cottonwood Creek Bay,6/22/21,9.777421,16.78225,,,
 Cottonwood Creek Bay,6/22/21,9.746641,16.78562,,,
 Cottonwood Creek Bay,6/22/21,9.284102,16.87066,,,
 Cottonwood Creek Bay,6/22/21,9.253788,16.87502,,,
 Cottonwood Creek Bay,6/22/21,9.223472,16.87938,,,
 Cottonwood Creek Bay,6/22/21,9.193156,16.88374,,,
 Cottonwood Creek Bay,6/22/21,8.634255,17.05938,,,
 Cottonwood Creek Bay,6/22/21,8.600442,17.06876,,,
 Cottonwood Creek Bay,6/22/21,8.566631,17.07813,,,
 Cottonwood Creek Bay,6/22/21,8.532818,17.0875,,,
 Cottonwood Creek Bay,6/22/21,7.9783,17.28886,,,
 Cottonwood Creek Bay,6/22/21,7.94293,17.30108,,,
 Cottonwood Creek Bay,6/22/21,7.907558,17.3133,,,
 Cottonwood Creek Bay,6/22/21,7.736139,17.40458,,,
 Cottonwood Creek Bay,6/22/21,7.718077,17.41242,,,
 Cottonwood Creek Bay,6/22/21,7.700017,17.42025,,,
 Cottonwood Creek Bay,6/22/21,7.681956,17.42808,,,
 Cottonwood Creek Bay,6/22/21,7.056519,17.51908,,,
 Cottonwood Creek Bay,6/22/21,7.024436,17.52503,,,
 Cottonwood Creek Bay,6/22/21,6.992353,17.53099,,,
 Cottonwood Creek Bay,6/22/21,6.553194,17.63988,,,
 Cottonwood Creek Bay,6/22/21,6.521229,17.64659,,,
 Cottonwood Creek Bay,6/22/21,6.489265,17.65331,,,
 Cottonwood Creek Bay,6/22/21,6.4573,17.66002,,,
 Cottonwood Creek Bay,6/22/21,5.735333,17.87822,,,
 Cottonwood Creek Bay,6/22/21,5.693637,17.89034,,,
 Cottonwood Creek Bay,6/22/21,5.651941,17.90245,,,
 Cottonwood Creek Bay,6/22/21,4.983024,18.06494,,,
 Cottonwood Creek Bay,6/22/21,4.938176,18.07662,,,
 Cottonwood Creek Bay,6/22/21,4.893327,18.08829,,,
 Cottonwood Creek Bay,6/22/21,4.848478,18.09997,,,
 Cottonwood Creek Bay,6/22/21,4.584246,18.22581,,,
 Cottonwood Creek Bay,6/22/21,4.558864,18.23486,,,
 Cottonwood Creek Bay,6/22/21,4.533481,18.24391,,,
 Cottonwood Creek Bay,6/22/21,4.508099,18.25296,,,
 Cottonwood Creek Bay,6/22/21,4.035359,18.29415,,,
 Cottonwood Creek Bay,6/22/21,4.008218,18.29871,,,
 Cottonwood Creek Bay,6/22/21,3.981077,18.30326,,,
 Cottonwood Creek Bay,6/22/21,3.201298,18.38101,,,
 Cottonwood Creek Bay,6/22/21,3.155648,18.38556,,,
 Cottonwood Creek Bay,6/22/21,3.109999,18.39011,,,
 Cottonwood Creek Bay,6/22/21,3.064349,18.39466,,,
 Cottonwood Creek Bay,6/22/21,2.223372,18.92006,,,
 Cottonwood Creek Bay,6/22/21,2.168464,18.94598,,,
 Cottonwood Creek Bay,6/22/21,2.113555,18.97189,,,
 Cottonwood Creek Bay,6/22/21,1.746592,19.26776,,,
 Cottonwood Creek Bay,6/22/21,1.712447,19.29178,,,
 Cottonwood Creek Bay,6/22/21,1.678301,19.3158,,,
 Cottonwood Creek Bay,6/22/21,1.644155,19.33982,,,
 Cottonwood Creek Bay,6/22/21,0.680919,19.41332,,,
 Cottonwood Creek Bay,6/22/21,0.628333,19.4231,,,
 Cottonwood Creek Bay,6/22/21,0.575748,19.43288,,,
 Cottonwood Creek Bay,6/22/21,0.2413443,19.6047,,,
 Cottonwood Creek Bay,6/22/21,0.2066499,19.61442,,,
 Cottonwood Creek Bay,6/22/21,0.1719556,19.62414,,,
 Cottonwood Creek Bay,6/22/21,0.1372612,19.63386,,,
 Cottonwood Creek Bay,6/22/21,0.0132705,19.99312,,,
 Cottonwood Creek Bay,6/22/21,0,20.0131,,,
 Cottonwood Creek Bay,7/21/21,13.578847,17.27932,,,
 Cottonwood Creek Bay,7/21/21,13.579067,17.27922,,,
 Cottonwood Creek Bay,7/21/21,13.497157,17.27728,,,
 Cottonwood Creek Bay,7/21/21,13.493297,17.27723,,,
 Cottonwood Creek Bay,7/21/21,13.489427,17.27718,,,
 Cottonwood Creek Bay,7/21/21,13.485567,17.27713,,,
 Cottonwood Creek Bay,7/21/21,13.204217,17.27071,,,
 Cottonwood Creek Bay,7/21/21,13.189307,17.27037,,,
